layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout
0,0.5,0.133,0.1067,0.1349,0.1257
0,1.0,0.1844,0.1267,0.1778,0.21
0,2.0,0.1337,0.0533,0.1264,0.1624
0,4.0,0.1071,0.0267,0.1,0.1348
0,best,0.2128,0.1667,0.2069,0.2357
1,0.5,0.1214,0.0933,0.1234,0.1138
1,1.0,0.2042,0.14,0.1978,0.2295
1,2.0,0.1587,0.0667,0.1519,0.1857
1,4.0,0.1263,0.0333,0.1167,0.1638
1,best,0.2259,0.1733,0.2194,0.2514
2,0.5,0.1097,0.08,0.1112,0.1038
2,1.0,0.2027,0.1533,0.1958,0.23
2,2.0,0.167,0.0733,0.1594,0.1971
2,4.0,0.1411,0.0333,0.1359,0.1614
2,best,0.219,0.16,0.2096,0.2562
3,0.5,0.1063,0.0733,0.1062,0.1067
3,1.0,0.2072,0.14,0.1967,0.2486
3,2.0,0.1696,0.08,0.1632,0.1948
3,4.0,0.143,0.04,0.1382,0.1619
3,best,0.2235,0.16,0.2126,0.2662
4,0.5,0.0727,0.04,0.0738,0.0681
4,1.0,0.1717,0.1133,0.1663,0.1929
4,2.0,0.1463,0.0533,0.1418,0.1638
4,4.0,0.1278,0.0267,0.121,0.1548
4,best,0.1892,0.1267,0.1821,0.2171
5,0.5,0.0603,0.04,0.0583,0.0681
5,1.0,0.1529,0.1,0.1489,0.1686
5,2.0,0.1392,0.0467,0.1347,0.1571
5,4.0,0.1236,0.0267,0.1156,0.1548
5,best,0.1744,0.1067,0.1681,0.199
6,0.5,0.0506,0.0267,0.0497,0.0543
6,1.0,0.155,0.1067,0.1484,0.181
6,2.0,0.1511,0.0533,0.1458,0.1719
6,4.0,0.1323,0.0267,0.1234,0.1672
6,best,0.1822,0.1067,0.1741,0.2143
7,0.5,0.0316,0.0133,0.0313,0.0329
7,1.0,0.1277,0.0667,0.1242,0.1414
7,2.0,0.1441,0.0533,0.1376,0.1695
7,4.0,0.1313,0.0267,0.1205,0.1738
7,best,0.1712,0.0933,0.1624,0.2057
8,0.5,0.0158,0.0067,0.0148,0.0195
8,1.0,0.0814,0.0467,0.0798,0.0876
8,2.0,0.1046,0.0333,0.0972,0.1338
8,4.0,0.101,0.02,0.087,0.1557
8,best,0.1293,0.06,0.1199,0.1662
9,0.5,0.0133,0.0,0.0126,0.0162
9,1.0,0.062,0.0333,0.0629,0.0586
9,2.0,0.079,0.02,0.0742,0.0981
9,4.0,0.073,0.02,0.0669,0.0971
9,best,0.1003,0.0467,0.096,0.1172
10,0.5,0.0102,0.0067,0.0091,0.0148
10,1.0,0.0344,0.0133,0.036,0.0281
10,2.0,0.0479,0.0133,0.0444,0.0619
10,4.0,0.0444,0.0067,0.0401,0.0614
10,best,0.0603,0.0267,0.0569,0.0738
11,0.5,0.0066,0.0,0.005,0.0129
11,1.0,0.0236,0.0067,0.0221,0.0295
11,2.0,0.0433,0.0067,0.0394,0.0586
11,4.0,0.0423,0.0067,0.0383,0.0581
11,best,0.0537,0.02,0.0495,0.0705
12,0.5,0.0018,0.0,0.0016,0.0029
12,1.0,0.0048,0.0,0.0047,0.0052
12,2.0,0.0079,0.0,0.0068,0.0124
12,4.0,0.0166,0.0,0.0141,0.0267
12,best,0.0188,0.0067,0.0166,0.0272
13,0.5,0.0009,0.0,0.0006,0.0019
13,1.0,0.0027,0.0,0.0019,0.0057
13,2.0,0.0062,0.0,0.005,0.011
13,4.0,0.0113,0.0,0.009,0.0205
13,best,0.013,0.0067,0.0108,0.0214
14,0.5,0.002,0.0,0.0021,0.0019
14,1.0,0.0026,0.0,0.0022,0.0043
14,2.0,0.0068,0.0,0.0059,0.01
14,4.0,0.0122,0.0,0.0105,0.0186
14,best,0.015,0.0067,0.0129,0.0233
15,0.5,0.0013,0.0,0.001,0.0024
15,1.0,0.0012,0.0,0.001,0.0019
15,2.0,0.0018,0.0,0.0015,0.0033
15,4.0,0.0043,0.0,0.004,0.0052
15,best,0.0053,0.0,0.0047,0.0076
16,0.5,0.0015,0.0,0.0015,0.0019
16,1.0,0.0014,0.0,0.001,0.0029
16,2.0,0.0021,0.0,0.0021,0.0024
16,4.0,0.0024,0.0,0.0026,0.0019
16,best,0.0046,0.0,0.0046,0.0048
17,0.5,0.0016,0.0,0.0016,0.0019
17,1.0,0.0015,0.0,0.001,0.0033
17,2.0,0.0016,0.0,0.0015,0.0024
17,4.0,0.0023,0.0,0.0018,0.0043
17,best,0.0043,0.0,0.0036,0.0067
18,0.5,0.0011,0.0,0.0011,0.0009
18,1.0,0.0012,0.0,0.001,0.0019
18,2.0,0.0016,0.0,0.0018,0.0009
18,4.0,0.0015,0.0,0.0012,0.0024
18,best,0.0034,0.0,0.0033,0.0038
19,0.5,0.0013,0.0,0.0012,0.0014
19,1.0,0.0011,0.0,0.0009,0.0019
19,2.0,0.001,0.0,0.0011,0.0005
19,4.0,0.0014,0.0,0.001,0.0029
19,best,0.0034,0.0,0.0032,0.0043
20,0.5,0.0013,0.0,0.0009,0.0029
20,1.0,0.0013,0.0,0.0012,0.0014
20,2.0,0.0017,0.0,0.0019,0.001
20,4.0,0.0014,0.0,0.0012,0.0019
20,best,0.0036,0.0,0.0034,0.0043
21,0.5,0.0009,0.0,0.0007,0.0014
21,1.0,0.001,0.0,0.001,0.001
21,2.0,0.0013,0.0,0.0012,0.0014
21,4.0,0.0021,0.0,0.0023,0.0014
21,best,0.0037,0.0,0.0038,0.0033
22,0.5,0.0011,0.0,0.0012,0.0005
22,1.0,0.001,0.0,0.0009,0.0014
22,2.0,0.001,0.0,0.0006,0.0024
22,4.0,0.0016,0.0,0.0016,0.0019
22,best,0.0029,0.0,0.0025,0.0043
23,0.5,0.0014,0.0,0.001,0.0029
23,1.0,0.001,0.0,0.0007,0.0019
23,2.0,0.0011,0.0,0.0008,0.0019
23,4.0,0.0017,0.0,0.0015,0.0029
23,best,0.0035,0.0,0.0029,0.0057
24,0.5,0.0012,0.0,0.0011,0.0014
24,1.0,0.0015,0.0,0.0012,0.0024
24,2.0,0.0011,0.0,0.0009,0.0019
24,4.0,0.0016,0.0,0.0016,0.0019
24,best,0.0032,0.0,0.0029,0.0043
25,0.5,0.0013,0.0,0.0012,0.0014
25,1.0,0.0004,0.0,0.0005,0.0
25,2.0,0.001,0.0,0.0009,0.0014
25,4.0,0.0016,0.0,0.0016,0.0014
25,best,0.0027,0.0,0.0028,0.0024
26,0.5,0.0009,0.0,0.0009,0.001
26,1.0,0.0012,0.0,0.0012,0.001
26,2.0,0.0014,0.0,0.0012,0.0019
26,4.0,0.001,0.0,0.0007,0.0019
26,best,0.0028,0.0,0.0027,0.0033
27,0.5,0.001,0.0,0.001,0.0009
27,1.0,0.0012,0.0,0.0012,0.001
27,2.0,0.0012,0.0,0.0012,0.001
27,4.0,0.0009,0.0,0.0009,0.001
27,best,0.0026,0.0,0.0027,0.0024
