layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout,mean_shared_control
0,0.5,0.0032,0.0,0.0037,0.0011,0.0025
0,1.0,0.0501,0.0,0.0572,0.0207,0.0025
0,2.0,0.0818,0.02,0.0788,0.0941,0.014
0,4.0,0.0494,0.0267,0.0495,0.0492,0.0076
0,best,0.1007,0.0333,0.1014,0.0982,
1,0.5,0.01,0.0,0.0116,0.0033,0.0032
1,1.0,0.1051,0.0133,0.108,0.093,0.0093
1,2.0,0.0931,0.0267,0.0951,0.0848,0.0104
1,4.0,0.0764,0.02,0.077,0.0737,0.0062
1,best,0.1219,0.03,0.1256,0.107,
2,0.5,0.0158,0.0,0.0164,0.0133,0.0023
2,1.0,0.1164,0.0267,0.1196,0.103,0.0051
2,2.0,0.103,0.05,0.105,0.0948,0.0053
2,4.0,0.1134,0.0633,0.1165,0.1007,0.0082
2,best,0.149,0.07,0.1547,0.1256,
3,0.5,0.016,0.0,0.0169,0.0126,0.0023
3,1.0,0.1272,0.0333,0.1316,0.1093,0.0052
3,2.0,0.1418,0.08,0.1445,0.1307,0.0076
3,4.0,0.1658,0.1133,0.1745,0.1304,0.0078
3,best,0.2002,0.1467,0.2105,0.1578,
4,0.5,0.0171,0.0,0.0191,0.0089,0.0024
4,1.0,0.1299,0.04,0.1322,0.1207,0.0055
4,2.0,0.1499,0.1133,0.1523,0.14,0.0075
4,4.0,0.1786,0.17,0.1894,0.1344,0.0099
4,best,0.2142,0.1966,0.2257,0.1667,
5,0.5,0.0149,0.0,0.0161,0.01,0.003
5,1.0,0.1465,0.0533,0.1503,0.1307,0.0049
5,2.0,0.2055,0.18,0.2088,0.1922,0.0103
5,4.0,0.2419,0.21,0.258,0.1756,0.0159
5,best,0.2713,0.2366,0.2871,0.2059,
6,0.5,0.0143,0.0,0.016,0.0074,0.0025
6,1.0,0.1651,0.08,0.1738,0.1293,0.0043
6,2.0,0.2445,0.24,0.2569,0.1933,0.0107
6,4.0,0.2755,0.2333,0.2945,0.1974,0.0168
6,best,0.3027,0.2833,0.3227,0.2204,
7,0.5,0.0182,0.0,0.0201,0.0104,0.0029
7,1.0,0.1663,0.0933,0.1758,0.1274,0.0049
7,2.0,0.2432,0.23,0.2562,0.19,0.0109
7,4.0,0.2905,0.27,0.3116,0.2037,0.0183
7,best,0.3086,0.28,0.3308,0.217,
8,0.5,0.038,0.0067,0.0425,0.0196,0.0025
8,1.0,0.2695,0.2667,0.2928,0.1737,0.0065
8,2.0,0.3782,0.4,0.4054,0.2667,0.0211
8,4.0,0.3718,0.3734,0.3932,0.2837,0.0323
8,best,0.4098,0.4433,0.4355,0.3041,
9,0.5,0.0205,0.0067,0.0217,0.0156,0.0024
9,1.0,0.2291,0.1567,0.2464,0.1578,0.005
9,2.0,0.3536,0.3567,0.3723,0.277,0.0175
9,4.0,0.3602,0.3634,0.3816,0.2719,0.0293
9,best,0.3904,0.3767,0.413,0.2974,
10,0.5,0.0129,0.0,0.0138,0.0093,0.002
10,1.0,0.2092,0.1533,0.2231,0.1519,0.0037
10,2.0,0.3489,0.3866,0.3695,0.2644,0.0184
10,4.0,0.3297,0.3367,0.3496,0.2481,0.0359
10,best,0.3675,0.3866,0.3892,0.2785,
11,0.5,0.0215,0.0034,0.0221,0.0193,0.0028
11,1.0,0.2439,0.1867,0.2626,0.167,0.0044
11,2.0,0.3896,0.4434,0.4111,0.3011,0.0227
11,4.0,0.3718,0.4,0.398,0.2645,0.0478
11,best,0.4156,0.4567,0.439,0.3193,
12,0.5,0.0261,0.0034,0.0274,0.0208,0.0025
12,1.0,0.2677,0.2333,0.2875,0.1863,0.0067
12,2.0,0.396,0.4266,0.4173,0.3085,0.0254
12,4.0,0.3574,0.3567,0.3828,0.2533,0.0507
12,best,0.4104,0.44,0.4329,0.3178,
13,0.5,0.0244,0.0067,0.0251,0.0215,0.0033
13,1.0,0.2257,0.1734,0.2409,0.1633,0.0059
13,2.0,0.3621,0.3733,0.3808,0.2848,0.0278
13,4.0,0.3263,0.33,0.3471,0.2407,0.047
13,best,0.3795,0.3867,0.3992,0.2989,
