layer,cos_task_a0.0,cos_task_a0.5,cos_task_a1.0,cos_task_a2.0,cos_task_a4.0,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0
0,0.17059,0.17059,0.17059,0.17059,0.17059,0.0,0.0,0.0,0.0,0.0
1,0.19928,0.20272,0.20382,0.20441,0.20472,0.0,0.00345,0.00454,0.00513,0.00544
2,0.23392,0.23627,0.23764,0.23823,0.23854,0.0,0.00235,0.00372,0.00431,0.00462
3,0.17427,0.18179,0.18409,0.18525,0.1859,0.0,0.00752,0.00982,0.01098,0.01163
4,0.16487,0.17856,0.18344,0.18517,0.18562,0.0,0.01369,0.01856,0.0203,0.02074
5,0.21747,0.22911,0.23813,0.24137,0.24212,0.0,0.01165,0.02067,0.0239,0.02465
6,0.22499,0.24004,0.25427,0.25788,0.25864,0.0,0.01505,0.02928,0.03289,0.03365
7,0.23208,0.23687,0.25218,0.25654,0.25713,0.0,0.0048,0.0201,0.02446,0.02505
8,0.19227,0.19807,0.21462,0.21877,0.21855,0.0,0.0058,0.02235,0.0265,0.02628
9,0.27433,0.26134,0.28099,0.28808,0.28987,0.0,-0.01299,0.00665,0.01375,0.01553
10,0.26491,0.27043,0.28656,0.29123,0.29254,0.0,0.00552,0.02165,0.02632,0.02764
11,0.28065,0.28889,0.29724,0.29427,0.29338,0.0,0.00824,0.01659,0.01362,0.01273
12,0.29769,0.30217,0.30572,0.30139,0.30019,0.0,0.00448,0.00803,0.0037,0.0025
13,0.25991,0.27672,0.27825,0.26877,0.26596,0.0,0.01681,0.01834,0.00886,0.00605
14,0.3282,0.34939,0.34976,0.34555,0.34308,0.0,0.02119,0.02156,0.01735,0.01488
15,0.3071,0.33012,0.33276,0.3297,0.3291,0.0,0.02301,0.02566,0.02259,0.022
16,0.31088,0.34716,0.35888,0.35924,0.35538,0.0,0.03628,0.04801,0.04836,0.0445
17,0.30956,0.35463,0.37398,0.38013,0.38837,0.0,0.04507,0.06442,0.07057,0.07881
18,0.29791,0.3537,0.36849,0.36997,0.37672,0.0,0.05579,0.07058,0.07206,0.07881
19,0.31522,0.37145,0.3909,0.39729,0.40166,0.0,0.05623,0.07568,0.08208,0.08644
20,0.32779,0.36263,0.3779,0.39373,0.40958,0.0,0.03484,0.0501,0.06594,0.08178
21,0.32932,0.36139,0.38093,0.3951,0.40739,0.0,0.03206,0.05161,0.06578,0.07807
22,0.33477,0.37835,0.41224,0.42379,0.43734,0.0,0.04357,0.07747,0.08901,0.10257
23,0.35358,0.39635,0.42856,0.43754,0.44623,0.0,0.04277,0.07499,0.08396,0.09266
24,0.38778,0.42544,0.46877,0.47465,0.4774,0.0,0.03766,0.08099,0.08687,0.08962
25,0.37,0.41843,0.46703,0.47124,0.47134,0.0,0.04842,0.09703,0.10124,0.10134
26,0.39136,0.41211,0.45663,0.46181,0.46588,0.0,0.02075,0.06527,0.07045,0.07453
27,0.30076,0.13485,0.1252,0.13837,0.13085,0.0,-0.16591,-0.17555,-0.16239,-0.16991
