alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.38907,0.46549,0.0,0.0,91.18864,109.04166,0.0,0.0
0.0,heldout,0.38255,0.46494,0.0,0.0,89.66915,108.95998,0.0,0.0
0.0,all,0.38778,0.46538,0.0,0.0,90.88791,109.0255,0.0,0.0
0.5,train,0.42585,0.4564,0.03679,-0.00908,101.54169,108.7521,10.35305,-0.28957
0.5,heldout,0.42376,0.45133,0.04121,-0.01361,101.27807,107.7162,11.60892,-1.24378
0.5,all,0.42544,0.4554,0.03766,-0.00998,101.48952,108.54707,10.60161,-0.47842
1.0,train,0.47074,0.48421,0.08167,0.01872,110.76595,113.64968,19.57731,4.60801
1.0,heldout,0.46077,0.47126,0.07823,0.00632,110.11326,112.29648,20.44411,3.33649
1.0,all,0.46877,0.48165,0.08099,0.01627,110.63677,113.38186,19.74886,4.35636
2.0,train,0.47777,0.4844,0.0887,0.01891,112.43115,113.58017,21.24251,4.53851
2.0,heldout,0.46198,0.4646,0.07943,-0.00034,110.3746,110.6517,20.70545,1.69172
2.0,all,0.47465,0.48048,0.08687,0.0151,112.02413,113.00058,21.13622,3.97508
4.0,train,0.48074,0.4884,0.09167,0.02292,115.17757,116.4844,23.98893,7.44274
4.0,heldout,0.46386,0.46695,0.08131,0.002,111.13616,111.44653,21.46701,2.48655
4.0,all,0.4774,0.48415,0.08962,0.01878,114.37771,115.48733,23.4898,6.46183
