task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.0176,0.10954,0.11986,0.11614,0.0,-0.0508,0.01851,0.02615,0.03082,0.0,3.45008,27.35184,33.77155,32.94382,0.0,-12.94616,5.49311,11.05076,12.31056
adjective_to_noun,train,0.0,0.01929,0.10648,0.14367,0.12681,0.0,-0.01425,0.05684,0.08093,0.06092,0.0,1.46264,25.86297,39.37581,37.27042,0.0,-6.70992,14.12454,24.52707,21.627
adverb_to_adjective,train,0.0,0.05969,0.14315,0.14702,0.14039,0.0,0.03032,0.09592,0.08912,0.08762,0.0,19.17695,45.75328,49.86688,48.04591,0.0,12.45486,34.58135,35.87945,35.39709
ag_news,train,0.0,0.10122,0.1151,0.12669,0.03089,0.0,-0.02097,0.01052,0.01307,0.03187,0.0,31.31895,30.39424,38.47803,4.3793,0.0,2.83033,6.43312,12.00412,4.14024
agent_noun_to_verb,train,0.0,0.01338,0.13087,0.15931,0.15346,0.0,-0.02129,0.06239,0.07821,0.07284,0.0,2.61736,35.80568,50.70248,49.55759,0.0,-5.57645,19.68716,31.30346,30.27427
animal_class,train,0.0,0.07541,0.1003,0.07377,0.10212,0.0,0.0227,0.02131,0.01381,0.02669,0.0,23.26188,28.41089,16.23403,30.90135,0.0,10.59473,9.23534,1.91604,12.49863
animal_plant_object,train,0.0,0.08072,0.11239,0.0961,0.10894,0.0,0.02665,0.02865,0.00935,0.02382,0.0,26.26046,35.34,27.24423,34.35992,0.0,13.28672,14.85371,6.29583,13.55325
antonym,train,0.0,-0.03788,0.04804,0.06028,0.01863,0.0,-0.04344,0.03032,0.03105,-0.02654,0.0,-8.40874,3.39043,5.55721,1.19138,0.0,-9.6638,-1.27287,-1.66161,-9.50421
article_choice,train,0.0,0.05455,0.04869,0.05209,0.05871,0.0,0.00824,-0.00643,-0.02894,-0.02501,0.0,13.68105,10.37148,10.77908,12.94252,0.0,2.71634,-2.74048,-8.38423,-6.87402
capitalize,train,0.0,-0.00139,0.05893,0.10995,0.11926,0.0,-0.01463,0.01824,0.05504,0.06248,0.0,1.76833,11.3961,26.47359,34.04242,0.0,-1.13847,1.83469,13.6561,20.73276
capitalize_first_letter,train,0.0,0.06107,0.0874,0.0606,0.10545,0.0,-0.0181,0.00907,-0.02006,0.01332,0.0,12.16831,18.74057,10.29563,23.25984,0.0,-6.49435,0.30264,-8.83479,1.66336
city-country,train,0.0,0.00743,0.01871,-0.01061,0.00574,0.0,-0.02308,-0.02664,-0.05628,-0.02665,0.0,6.80677,10.28912,1.44676,12.29919,0.0,-0.65329,-0.90514,-9.74266,4.13914
commonsense_qa,train,0.0,0.09346,0.07147,0.05334,0.08874,0.0,0.03961,-0.00443,-0.02815,0.0157,0.0,17.14624,11.51321,10.50234,17.76682,0.0,4.96455,-5.60428,-8.44302,0.92444
compound_first,train,0.0,-0.00426,0.04029,0.08291,0.11219,0.0,-0.01915,0.01037,0.04868,0.07431,0.0,-1.20921,5.02559,13.41005,25.7547,0.0,-4.73989,-2.23857,5.13998,16.82185
compound_head,train,0.0,0.05196,0.10311,0.10598,0.11125,0.0,-0.00072,0.04517,0.04543,0.04406,0.0,14.78847,28.97866,29.11128,29.63577,0.0,2.53365,15.5208,14.99265,13.89825
concrete_abstract,train,0.0,0.11769,0.16454,0.15068,0.15893,0.0,0.05393,0.06532,0.04508,0.06702,0.0,32.45469,48.14803,39.90179,43.84151,0.0,17.73843,24.75366,14.95084,22.27699
contains_letter_e,heldout,0.0,0.04959,0.08793,0.08639,0.09118,0.0,-0.00227,-0.00584,-0.0178,-0.02465,0.0,11.88474,21.61938,20.92674,22.81051,0.0,-0.25521,-0.41695,-3.55627,-4.47469
count_digits,heldout,0.0,0.08366,0.09368,0.08104,0.06468,0.0,0.02092,0.02257,-0.00253,-0.04044,0.0,19.38612,20.66685,17.7283,14.63007,0.0,4.84866,4.09233,-1.72381,-9.77477
