property,direction,layer,alpha,overall,coherent_only,unscorable,incoherent,n
us_uk,alt,12,2.0,0.017,0.017,0.833,0.0,60
us_uk,alt,16,32.0,0.1,0.1,0.883,0.0,60
us_uk,alt,20,16.0,0.1,0.102,0.864,0.017,60
us_uk,alt,24,32.0,0.483,0.483,0.517,0.0,60
us_uk,nat,2,32.0,0.15,0.15,0.833,0.0,60
us_uk,nat,4,2.0,0.183,0.186,0.797,0.017,60
us_uk,nat,6,4.0,0.2,0.203,0.78,0.017,60
us_uk,nat,8,0.5,0.117,0.119,0.864,0.017,60
us_uk,nat,10,1.0,0.2,0.2,0.8,0.0,60
us_uk,nat,12,8.0,0.183,0.19,0.793,0.033,60
us_uk,nat,16,16.0,0.167,0.169,0.814,0.017,60
us_uk,nat,20,0.5,0.2,0.207,0.793,0.033,60
us_uk,nat,24,32.0,0.817,0.86,0.14,0.05,60
