icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2,test_r2,test_r2_testmean_baseline,train_r2
1,pre_label_token,0,4096,4096,0.1,0.19795136153697968,True,3400,1190,0.19782809913158417,0.2171173656688017,810.3038940429688,889.312762605042,8.478048341142852e-08,-0.1416727984516628,0.0
1,pre_label_token,1,4096,4096,3162277.6601683795,0.19789524376392365,False,3400,1190,0.19735370576381683,0.21655577651592864,808.3607788085938,887.0124803046218,0.0025866540469783317,-0.13871978242843652,0.002398008017313047
1,pre_label_token,2,4096,4096,10000000.0,0.19792486727237701,False,3400,1190,0.19764961302280426,0.21684375089757582,809.5728149414062,888.1920168067227,0.0012603006420098817,-0.14023404416040242,0.0009022282959975092
1,pre_label_token,3,4096,4096,3162277.6601683795,0.1979164332151413,False,3400,1190,0.19740305840969086,0.21652680725610557,808.5628051757812,886.8938156512605,0.002720080764264554,-0.13856745276180926,0.0021485356415955614
1,pre_label_token,4,4096,4096,3162277.6601683795,0.19790810346603394,False,3400,1190,0.19737157225608826,0.216542351346056,808.4339599609375,886.9574711134454,0.0026484877409026497,-0.13864918857607011,0.002307694799171367
1,pre_label_token,5,4096,4096,3162277.6601683795,0.19790667295455933,False,3400,1190,0.19735902547836304,0.21649775625276965,808.3826293945312,886.7748096113445,0.0028538839761056423,-0.13841469326155398,0.0023711174260898638
1,pre_label_token,6,4096,4096,3162277.6601683795,0.1979140043258667,False,3400,1190,0.19736535847187042,0.21657873682615136,808.408447265625,887.1064797794118,0.0024809033705852634,-0.13884051510932793,0.002339104817490889
1,pre_label_token,7,4096,4096,3162277.6601683795,0.1979205459356308,False,3400,1190,0.1973663568496704,0.2165670042278386,808.4125366210938,887.058462447479,0.002534941412553726,-0.13877882134150066,0.0023340581238999736
1,pre_label_token,8,4096,4096,3162277.6601683795,0.1979198306798935,False,3400,1190,0.1973615139722824,0.21656665160876362,808.392822265625,887.0569984243698,0.002536565506711219,-0.13877696715722165,0.002358538354005013
1,pre_label_token,9,4096,4096,3162277.6601683795,0.19791816174983978,False,3400,1190,0.19735218584537506,0.21655912158869894,808.3545532226562,887.0261554621849,0.002571247299220425,-0.13873737189475532,0.0024056910433767342
1,pre_label_token,10,4096,4096,3162277.6601683795,0.19791027903556824,False,3400,1190,0.19733640551567078,0.2166014711396033,808.2899169921875,887.1996192226891,0.0023761935909024645,-0.13896005942665868,0.0024854589316269937
1,pre_label_token,11,4096,4096,3162277.6601683795,0.19791637361049652,False,3400,1190,0.19733558595180511,0.21661255620106928,808.2866821289062,887.245049894958,0.002325137976387004,-0.13901834823790105,0.002489601739798619
1,pre_label_token,12,4096,4096,3162277.6601683795,0.19792242348194122,False,3400,1190,0.1973380744457245,0.21661993235099217,808.2968139648438,887.275262605042,0.002291164879510088,-0.1390571344017728,0.0024770226677138796
1,pre_label_token,13,4096,4096,3162277.6601683795,0.19792388379573822,False,3400,1190,0.19733546674251556,0.21665872205205325,808.2860107421875,887.434112394958,0.0021125071399369366,-0.13926110310056905,0.002490204330078183
1,pre_label_token,14,4096,4096,3162277.6601683795,0.1979236602783203,False,3400,1190,0.197331964969635,0.216687853196088,808.271728515625,887.5534532563025,0.0019783348157874636,-0.13941428400634215,0.002507905419538825
1,pre_label_token,15,4096,4096,3162277.6601683795,0.19792336225509644,False,3400,1190,0.19732977449893951,0.2166675215007878,808.2626953125,887.4701549369748,0.002071978608460756,-0.1393073734264394,0.002518978015924822
1,pre_label_token,16,4096,4096,3162277.6601683795,0.19792501628398895,False,3400,1190,0.1973322033882141,0.21667792055787158,808.2727661132812,887.5127297794118,0.002024082595306287,-0.13936205500644805,0.0025067002389798088
1,pre_label_token,17,4096,4096,3162277.6601683795,0.19792142510414124,False,3400,1190,0.19732601940631866,0.2167115107303908,808.2473754882812,887.6503479516807,0.001869372862310148,-0.13953868291524008,0.0025379596097293566
1,pre_label_token,18,4096,4096,3162277.6601683795,0.1979190558195114,False,3400,1190,0.1973251849412918,0.21671464423171613,808.2439575195312,887.6632155987395,0.001854940571046737,-0.13955515987099165,0.002542177741685969
1,pre_label_token,19,4096,4096,3162277.6601683795,0.1979186236858368,False,3400,1190,0.19732166826725006,0.2167290631462546,808.2294311523438,887.7222426470588,0.0017885298844966258,-0.13963097915178047,0.0025599541549314875
1,pre_label_token,20,4096,4096,3162277.6601683795,0.19792407751083374,False,3400,1190,0.1973223239183426,0.2167762419756721,808.2322998046875,887.915487132353,0.0015712334684667706,-0.13987906058019517,0.002556639908394276
