layer,train_accuracy,test_accuracy,train_log_loss,test_log_loss
0,0.5,0.4548736462093863,0.6931471805599452,0.6931471805599453
1,1.0,0.8077617328519856,0.0014611171124119726,0.5527116373451778
2,1.0,0.805956678700361,0.0016436354318969414,0.5690106254322492
3,1.0,0.7689530685920578,0.0016783377056957826,0.6805475550367684
4,1.0,0.8113718411552346,0.0014307181407962413,0.510959992723881
5,1.0,0.9142599277978339,0.001111766888533299,0.22888373773565873
6,1.0,0.9052346570397112,0.0010772243844498475,0.24446092504840108
7,1.0,0.9711191335740073,0.0007385868103103078,0.07418121524998228
8,1.0,0.983754512635379,0.000661935047481746,0.05181348377600177
9,1.0,0.9972924187725631,0.00016372231081599343,0.01021998164375293
10,1.0,0.9972924187725631,0.0001390973606044995,0.005121741703340861
11,1.0,0.9972924187725631,0.00012138290758430728,0.004869900362621593
12,1.0,0.9981949458483754,0.00011165400983176606,0.004290012479607251
13,1.0,0.9990974729241877,0.00010407234465530227,0.003539589113581723
14,1.0,0.9990974729241877,0.00014025036732286594,0.004604639070908039
15,1.0,0.9990974729241877,0.0001596237096669544,0.005047074854884182
16,1.0,0.9990974729241877,0.00015569264670600358,0.004858587890017556
17,1.0,0.9981949458483754,0.00017331899717645948,0.006112060585618091
18,1.0,0.9981949458483754,0.00019158370081623772,0.006803754550628194
19,1.0,0.9981949458483754,0.00022800021389591784,0.007685333576684063
20,1.0,0.9963898916967509,0.0002723459981415173,0.00871912658881331
21,1.0,0.9963898916967509,0.00029387753286924987,0.00941894873012771
22,1.0,0.9963898916967509,0.00032324334405505514,0.010338105175030584
23,1.0,0.9963898916967509,0.0003459391629866128,0.011672631888345079
24,1.0,0.9945848375451264,0.0003666842531326875,0.012409611278098186
25,1.0,0.9945848375451264,0.0003805834375042154,0.013471918858397243
26,1.0,0.9945848375451264,0.0003936568379480751,0.014714398606317403
27,1.0,0.9954873646209387,0.00042061685771992944,0.01595654582724068
28,1.0,0.9945848375451264,0.0004319026742939573,0.017623230594491376
