condition,task_group,mean_acc,median_acc
zero_shot,train,0.0019,0.0
zero_shot,heldout,0.001,0.0
zero_shot,all,0.0017,0.0
random6_unsteered,train,0.0024,0.0
random6_unsteered,heldout,0.0024,0.0
random6_unsteered,all,0.0024,0.0
random6_steered_best,train,0.4857,0.4667
random6_steered_best,heldout,0.5243,0.53
random6_steered_best,all,0.4935,0.4733
dummy6_steered_best,train,0.4355,0.3667
dummy6_steered_best,heldout,0.4924,0.4567
dummy6_steered_best,all,0.4471,0.3733
real_1shot,train,0.2082,0.1867
real_1shot,heldout,0.2071,0.2
real_1shot,all,0.208,0.1867
real_6shot,train,0.6298,0.62
real_6shot,heldout,0.6281,0.62
real_6shot,all,0.6295,0.62
random6_steer_a0.5,train,0.0256,0.0067
random6_steer_a0.5,heldout,0.0457,0.02
random6_steer_a0.5,all,0.0297,0.0067
random6_steer_a1.0,train,0.2425,0.18
random6_steer_a1.0,heldout,0.2714,0.2034
random6_steer_a1.0,all,0.2484,0.18
random6_steer_a2.0,train,0.4492,0.42
random6_steer_a2.0,heldout,0.4914,0.46
random6_steer_a2.0,all,0.4578,0.4267
random6_steer_a4.0,train,0.4658,0.4
random6_steer_a4.0,heldout,0.4895,0.45
random6_steer_a4.0,all,0.4706,0.4
