family,style,k,n,accuracy,ci_lo,ci_hi,style_ok,wrong_style,unscorable,style_ok_but_unfaithful,judge_ok,capped,unjudged
sentence_caps,nat,0,200,0.565,0.496,0.632,0.96,0.0,0.04,0.395,0.575,0.03,0
sentence_caps,nat,1,200,0.68,0.612,0.741,0.96,0.0,0.04,0.28,0.68,0.025,0
sentence_caps,nat,2,200,0.74,0.675,0.796,0.995,0.0,0.005,0.255,0.74,0.01,0
sentence_caps,nat,3,200,0.705,0.638,0.764,0.985,0.0,0.015,0.28,0.71,0.015,0
sentence_caps,nat,4,200,0.77,0.707,0.823,0.99,0.0,0.01,0.22,0.77,0.005,0
sentence_caps,alt,0,200,0.0,0.0,0.019,0.0,0.98,0.02,0.0,0.53,0.02,0
sentence_caps,alt,1,200,0.095,0.062,0.144,0.115,0.86,0.025,0.02,0.675,0.025,0
sentence_caps,alt,2,200,0.565,0.496,0.632,0.825,0.155,0.02,0.26,0.665,0.01,0
sentence_caps,alt,3,200,0.665,0.597,0.727,0.905,0.09,0.005,0.24,0.725,0.015,0
sentence_caps,alt,4,200,0.68,0.612,0.741,0.915,0.075,0.01,0.235,0.71,0.015,0
all_caps,nat,0,200,0.515,0.446,0.583,0.98,0.0,0.02,0.465,0.515,0.025,0
all_caps,nat,1,200,0.69,0.623,0.75,0.96,0.0,0.04,0.27,0.69,0.025,0
all_caps,nat,2,200,0.72,0.654,0.778,0.985,0.0,0.015,0.265,0.72,0.015,0
all_caps,nat,3,200,0.71,0.644,0.768,1.0,0.0,0.0,0.29,0.71,0.03,0
all_caps,nat,4,200,0.755,0.691,0.809,0.99,0.0,0.01,0.235,0.755,0.015,0
all_caps,alt,0,200,0.0,0.0,0.019,0.005,0.965,0.03,0.005,0.525,0.01,0
all_caps,alt,1,200,0.32,0.259,0.388,0.84,0.06,0.1,0.52,0.355,0.265,0
all_caps,alt,2,200,0.34,0.278,0.408,0.98,0.01,0.01,0.64,0.345,0.48,0
all_caps,alt,3,200,0.36,0.297,0.429,0.975,0.015,0.01,0.615,0.37,0.38,0
all_caps,alt,4,200,0.355,0.292,0.423,0.995,0.005,0.0,0.64,0.36,0.38,0
double_space,nat,0,200,0.71,0.644,0.768,0.985,0.005,0.01,0.275,0.715,0.02,0
double_space,nat,1,200,0.745,0.68,0.8,0.99,0.0,0.01,0.245,0.75,0.015,0
double_space,nat,2,200,0.755,0.691,0.809,0.99,0.005,0.005,0.235,0.76,0.01,0
double_space,nat,3,200,0.69,0.623,0.75,0.99,0.005,0.005,0.3,0.69,0.025,0
double_space,nat,4,200,0.765,0.702,0.818,0.99,0.01,0.0,0.225,0.775,0.0,0
double_space,alt,0,200,0.0,0.0,0.019,0.0,0.99,0.01,0.0,0.685,0.04,0
double_space,alt,1,200,0.4,0.335,0.469,0.595,0.385,0.02,0.195,0.68,0.045,0
double_space,alt,2,200,0.54,0.471,0.608,0.85,0.14,0.01,0.31,0.65,0.045,0
double_space,alt,3,200,0.595,0.526,0.661,0.9,0.09,0.01,0.305,0.655,0.015,0
double_space,alt,4,200,0.745,0.68,0.8,0.925,0.075,0.0,0.18,0.81,0.005,0
us_uk,nat,0,200,0.645,0.577,0.708,0.72,0.095,0.185,0.075,0.86,0.0,0
us_uk,nat,1,200,0.67,0.602,0.731,0.77,0.075,0.155,0.1,0.87,0.0,0
us_uk,nat,2,200,0.705,0.638,0.764,0.79,0.065,0.145,0.085,0.86,0.005,0
us_uk,nat,3,200,0.65,0.582,0.713,0.72,0.08,0.2,0.07,0.84,0.0,0
us_uk,nat,4,200,0.715,0.649,0.773,0.81,0.05,0.14,0.095,0.87,0.0,0
us_uk,alt,0,200,0.075,0.046,0.12,0.085,0.69,0.225,0.01,0.855,0.005,0
