alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.17831,0.27483,0.0,0.0,15.96962,24.67783,0.0,0.0
0.0,heldout,0.20009,0.27517,0.0,0.0,17.7907,24.46334,0.0,0.0
0.0,all,0.18273,0.2749,0.0,0.0,16.33911,24.63431,0.0,0.0
0.5,train,0.29751,0.35297,0.11919,0.07814,26.5589,31.52241,10.58928,6.84458
0.5,heldout,0.30696,0.35082,0.10687,0.07565,27.18024,31.12272,9.38954,6.65938
0.5,all,0.29942,0.35254,0.11669,0.07763,26.68497,31.44131,10.34585,6.807
1.0,train,0.4083,0.37656,0.22998,0.10173,37.3368,34.42046,21.36719,9.74263
1.0,heldout,0.41871,0.38162,0.21862,0.10645,38.09192,34.75009,20.30122,10.28676
1.0,all,0.41041,0.37759,0.22768,0.10269,37.49002,34.48735,21.1509,9.85303
2.0,train,0.42107,0.37647,0.24276,0.10164,38.66578,34.5475,22.69616,9.86966
2.0,heldout,0.43502,0.38389,0.23493,0.10872,39.78905,35.12215,21.99835,10.65881
2.0,all,0.4239,0.37798,0.24117,0.10308,38.89369,34.66409,22.55458,10.02978
4.0,train,0.4039,0.36911,0.22559,0.09427,36.49475,33.29562,20.52513,8.61779
4.0,heldout,0.41789,0.37565,0.2178,0.10048,37.72152,33.89572,19.93082,9.43239
4.0,all,0.40674,0.37043,0.224,0.09553,36.74366,33.41738,20.40455,8.78307
