task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.14097,0.27824,0.29114,0.28253,0.0,0.07316,0.09526,0.08988,0.0879,0.0,13.3342,25.10575,26.67941,25.83923,0.0,7.65995,8.97041,8.83823,8.59896
adjective_to_noun,train,0.0,0.09346,0.21048,0.27711,0.27176,0.0,0.06737,0.0929,0.13681,0.13515,0.0,8.42686,20.0411,27.87458,27.10121,0.0,6.21555,9.68224,15.25965,14.85801
ag_news,heldout,0.0,0.06675,0.19746,0.22086,0.20733,0.0,0.05061,0.10433,0.10613,0.09549,0.0,5.11372,18.16851,21.01551,19.01842,0.0,3.6162,9.67349,10.40739,8.83085
agent_noun_to_verb,train,0.0,0.10195,0.22934,0.28338,0.27476,0.0,0.07593,0.10302,0.1426,0.13738,0.0,8.98908,21.38559,27.70952,26.58519,0.0,6.61871,10.02689,14.91589,14.13301
animal_class,train,0.0,0.16101,0.23571,0.23849,0.22294,0.0,0.0986,0.11457,0.11444,0.1062,0.0,14.83064,23.64595,24.24769,21.95652,0.0,9.26914,12.53763,12.82216,11.31454
animal_plant_object,train,0.0,0.09031,0.20748,0.20331,0.18332,0.0,0.074,0.12001,0.11857,0.10892,0.0,7.21675,19.68651,19.62778,17.32559,0.0,5.68349,11.9048,12.07526,10.73972
antonym,train,0.0,0.07082,0.20093,0.2338,0.22851,0.0,0.07819,0.10454,0.08655,0.07519,0.0,6.01906,21.59861,25.30699,24.579,0.0,6.6322,12.67257,11.33632,10.0608
article_choice,train,0.0,0.11613,0.16947,0.16745,0.13282,0.0,0.07927,0.10437,0.11281,0.11207,0.0,9.13548,15.11071,14.84992,11.01036,0.0,5.90828,9.3337,10.00589,9.16302
capitalize,train,0.0,0.05638,0.18643,0.22269,0.21343,0.0,0.07578,0.12233,0.12957,0.11747,0.0,5.00568,17.56023,20.02491,18.66158,0.0,6.73815,12.0853,11.90902,10.28791
capitalize_first_letter,train,0.0,0.13134,0.17138,0.17296,0.13954,0.0,0.06321,0.0736,0.08537,0.08381,0.0,11.92709,16.4194,16.72701,12.83396,0.0,5.95893,7.69965,8.9094,7.95285
city-country,train,0.0,0.09459,0.24663,0.27032,0.263,0.0,0.08018,0.10256,0.09172,0.08335,0.0,7.04542,19.94622,22.43129,21.87946,0.0,5.38898,7.42127,6.90076,6.24176
compound_first,train,0.0,0.09835,0.20315,0.25436,0.24277,0.0,0.07181,0.10557,0.14075,0.13555,0.0,8.41544,18.9376,25.95702,24.58142,0.0,6.0239,10.32318,15.76534,15.01261
concrete_abstract,train,0.0,0.07058,0.14631,0.14,0.12046,0.0,0.05854,0.09789,0.10091,0.09661,0.0,5.04148,12.42478,12.37595,10.33683,0.0,3.90342,8.1561,8.90963,8.21386
contains_letter_e,train,0.0,0.08343,0.14364,0.14171,0.11958,0.0,0.06284,0.08909,0.08967,0.0849,0.0,6.03139,11.9188,11.47938,8.86285,0.0,4.36051,7.25385,7.07248,6.03012
country-capital,train,0.0,0.13062,0.25846,0.27303,0.2638,0.0,0.07758,0.07494,0.06063,0.0554,0.0,11.69132,24.19585,25.21872,23.74388,0.0,6.91438,7.54815,5.9795,5.00678
day_after_textual_date,train,0.0,0.12404,0.2402,0.23005,0.1864,0.0,0.09869,0.12289,0.10397,0.08921,0.0,11.72559,23.16783,21.45571,16.07507,0.0,9.44635,12.39923,9.54924,6.09671
ends_with_ing,heldout,0.0,0.08304,0.14204,0.13837,0.11497,0.0,0.05867,0.0841,0.08464,0.07938,0.0,5.95524,11.92361,11.33732,8.57676,0.0,3.92694,6.87683,6.69737,5.59651
english-french,heldout,0.0,0.09534,0.22912,0.2418,0.22773,0.0,0.07328,0.06369,0.04206,0.03906,0.0,8.80354,20.67458,21.91866,20.37037,0.0,7.05475,6.02657,4.18152,3.65929
english-italian,train,0.0,0.09512,0.22812,0.24163,0.23235,0.0,0.06505,0.05457,0.04205,0.04188,0.0,8.71851,20.65151,22.1772,21.03014,0.0,6.30267,5.35891,4.52953,4.2161
english-portuguese,train,0.0,0.09578,0.22344,0.23688,0.22908,0.0,0.07255,0.0639,0.04846,0.04649,0.0,9.17829,20.63449,21.77465,20.71859,0.0,7.56971,6.56647,5.08996,4.5847
