icl_example_index,token_role,layer,mean_cosine_all,n_tasks_all,n_examples_all,mean_cosine_correct,n_tasks_correct,n_examples_correct
1,pre_label_token,0,-0.006774827241817297,29,4930,-0.006774827131423457,29,2925
1,pre_label_token,1,0.09130516725367513,29,4930,0.09131623888067131,29,2925
1,pre_label_token,2,0.08614038708138055,29,4930,0.08615974645162451,29,2925
1,pre_label_token,3,0.06299726128706644,29,4930,0.06303533632308245,29,2925
1,pre_label_token,4,0.061934029265981294,29,4930,0.06192971807743969,29,2925
1,pre_label_token,5,0.06105297437371236,29,4930,0.06096207577301639,29,2925
1,pre_label_token,6,0.08038646692474341,29,4930,0.08029604488020313,29,2925
1,pre_label_token,7,0.0917497200184855,29,4930,0.0917192079640668,29,2925
1,pre_label_token,8,0.09591996618385973,29,4930,0.09587180595202692,29,2925
1,pre_label_token,9,0.10257183130958984,29,4930,0.1025341064508619,29,2925
1,pre_label_token,10,0.11409225006555689,29,4930,0.11399552161837447,29,2925
1,pre_label_token,11,0.11834669190234151,29,4930,0.11828646462025313,29,2925
1,pre_label_token,12,0.12662203841168304,29,4930,0.1267487341216926,29,2925
1,pre_label_token,13,0.12433496875495746,29,4930,0.12436339965668218,29,2925
1,pre_label_token,14,0.1273039222277444,29,4930,0.12759085950152627,29,2925
1,pre_label_token,15,0.12522315606474876,29,4930,0.12558495022099594,29,2925
1,pre_label_token,16,0.12100551932536323,29,4930,0.12125983590195918,29,2925
1,pre_label_token,17,0.1210079289458949,29,4930,0.12111314822887552,29,2925
1,pre_label_token,18,0.11655889477195411,29,4930,0.11670514363153227,29,2925
1,pre_label_token,19,0.11417500494882979,29,4930,0.11422133233783574,29,2925
1,pre_label_token,20,0.11196250295073822,29,4930,0.11206271293862112,29,2925
1,pre_label_token,21,0.10768979376760023,29,4930,0.10778987780213356,29,2925
1,pre_label_token,22,0.10463398450921321,29,4930,0.10477620896337361,29,2925
1,pre_label_token,23,0.1021355521576158,29,4930,0.1022764862161772,29,2925
1,pre_label_token,24,0.10354154858866642,29,4930,0.1036544027898846,29,2925
1,pre_label_token,25,0.09538831943967219,29,4930,0.09547768459366314,29,2925
1,pre_label_token,26,0.09123902835337253,29,4930,0.09131119271804547,29,2925
1,pre_label_token,27,0.08054965096204703,29,4930,0.08061661588124416,29,2925
1,pre_label_token,28,0.086973930933866,29,4930,0.08702652087306668,29,2925
1,first_label_token,0,-0.011527536236199325,29,4930,-0.011565508116197226,29,2925
1,first_label_token,1,0.08975297174866087,29,4930,0.08959979970200822,29,2925
1,first_label_token,2,0.08370270209531461,29,4930,0.08356865630324545,29,2925
1,first_label_token,3,0.0690320613633456,29,4930,0.06890695626397841,29,2925
1,first_label_token,4,0.07647647207667088,29,4930,0.07647545186096225,29,2925
1,first_label_token,5,0.08123940354662723,29,4930,0.08119541210732584,29,2925
1,first_label_token,6,0.09149187899612148,29,4930,0.09126628861473553,29,2925
1,first_label_token,7,0.10539707199445572,29,4930,0.1051006848474258,29,2925
1,first_label_token,8,0.11185260097785242,29,4930,0.11153941402404473,29,2925
1,first_label_token,9,0.12132540883111029,29,4930,0.12117006570293472,29,2925
1,first_label_token,10,0.1295061923707996,29,4930,0.12928158669042047,29,2925
1,first_label_token,11,0.1281013269105862,29,4930,0.1280390172875647,29,2925
