family,direction,context,target,k_ctx,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k,step3_context_k
py_snake_camel,nat2alt,nat,alt,3,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.995,0.005,0.96,0.355,9.1,0.915,0.975
py_snake_camel,nat2alt,nat,alt,3,nat2alt_top1,4,1.0,,200,0.865,0.811,0.906,0.94,0.06,0.0,0.925,0.375,9.1,0.915,0.975
py_snake_camel,nat2alt,nat,alt,3,nat2alt_top2,8,1.0,,200,0.77,0.707,0.823,0.94,0.06,0.0,0.83,0.365,9.1,0.915,0.975
py_snake_camel,alt2nat,alt,nat,3,base,0,0.0,,200,0.025,0.011,0.057,0.025,0.975,0.0,0.91,0.345,8.4,0.975,0.915
py_snake_camel,alt2nat,alt,nat,3,alt2nat_top1,3,2.0,,200,0.89,0.839,0.926,0.94,0.045,0.015,0.945,0.305,8.4,0.975,0.915
py_snake_camel,alt2nat,alt,nat,3,alt2nat_top2,6,2.0,,200,0.855,0.8,0.897,0.97,0.03,0.0,0.885,0.36,8.4,0.975,0.915
js_camel_snake,nat2alt,nat,alt,3,base,0,0.0,,200,0.0,0.0,0.019,0.0,1.0,0.0,0.94,0.34,5.8,0.885,0.92
js_camel_snake,nat2alt,nat,alt,3,nat2alt_top1,2,2.0,,200,0.87,0.816,0.91,0.945,0.045,0.01,0.91,0.38,5.8,0.885,0.92
js_camel_snake,nat2alt,nat,alt,3,nat2alt_top2,8,2.0,,200,0.76,0.696,0.814,0.925,0.05,0.025,0.825,0.43,5.8,0.885,0.92
js_camel_snake,alt2nat,alt,nat,3,base,0,0.0,,200,0.01,0.003,0.036,0.015,0.965,0.02,0.91,0.38,6.2,0.92,0.885
js_camel_snake,alt2nat,alt,nat,3,alt2nat_top1,1,1.0,,200,0.855,0.8,0.897,0.99,0.0,0.01,0.865,0.335,6.2,0.92,0.885
js_camel_snake,alt2nat,alt,nat,3,alt2nat_top2,2,1.0,,200,0.87,0.816,0.91,0.985,0.005,0.01,0.885,0.325,6.2,0.92,0.885
py_const_naming,nat2alt,nat,alt,3,base,0,0.0,,200,0.0,0.0,0.019,0.005,0.805,0.19,0.83,0.22,10.7,0.47,0.665
py_const_naming,nat2alt,nat,alt,3,nat2alt_top1,11,4.0,,200,0.415,0.349,0.484,0.605,0.02,0.375,0.67,0.345,10.7,0.47,0.665
py_const_naming,nat2alt,nat,alt,3,nat2alt_top2,1,2.0,,200,0.35,0.287,0.418,0.5,0.03,0.47,0.62,0.4,10.7,0.47,0.665
py_const_naming,alt2nat,alt,nat,3,base,0,0.0,,200,0.015,0.005,0.043,0.015,0.65,0.335,0.74,0.37,8.4,0.665,0.47
py_const_naming,alt2nat,alt,nat,3,alt2nat_top1,4,2.0,,200,0.6,0.531,0.665,0.735,0.005,0.26,0.755,0.31,8.4,0.665,0.47
py_const_naming,alt2nat,alt,nat,3,alt2nat_top2,7,2.0,,200,0.535,0.466,0.603,0.665,0.01,0.325,0.725,0.34,8.4,0.665,0.47
py_class_naming,nat2alt,nat,alt,3,base,0,0.0,,200,0.18,0.133,0.239,0.19,0.455,0.355,0.935,0.265,6.7,0.555,0.5
py_class_naming,nat2alt,nat,alt,3,nat2alt_top1,17,2.0,,200,0.325,0.264,0.393,0.515,0.08,0.405,0.735,0.275,6.7,0.555,0.5
py_class_naming,nat2alt,nat,alt,3,nat2alt_top2,12,1.0,,200,0.37,0.306,0.439,0.555,0.065,0.38,0.745,0.26,6.7,0.555,0.5
py_class_naming,alt2nat,alt,nat,3,base,0,0.0,,200,0.01,0.003,0.036,0.01,0.685,0.305,0.9,0.255,6.9,0.5,0.555
py_class_naming,alt2nat,alt,nat,3,alt2nat_top1,7,1.0,,200,0.44,0.373,0.509,0.47,0.18,0.35,0.91,0.255,6.9,0.5,0.555
py_class_naming,alt2nat,alt,nat,3,alt2nat_top2,2,2.0,,200,0.38,0.316,0.449,0.42,0.185,0.395,0.91,0.185,6.9,0.5,0.555
py_private,nat2alt,nat,alt,3,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.43,0.57,0.97,0.12,3.0,0.355,0.43
py_private,nat2alt,nat,alt,3,nat2alt_top1,3,2.0,,200,0.375,0.311,0.444,0.38,0.01,0.61,0.955,0.13,3.0,0.355,0.43
