analysis,n_rows,n90_pcs,n95_pcs,stable_rank_raw,stable_rank_centered
cosine_perhead__unit_r_task,55,26,33,,
cosine_perhead__unit_pooled_perprompt,8250,232,533,3.14,6.64
cosine_perhead__unit_within_task_median,150,90,112,,
cosine_perhead__unit_task_mean_of_r,55,26,33,,
