family,target,layer,alpha,target_rate,unscorable
py_fstring,alt,24,0.5,0.24,0.64
py_fstring,alt,24,1.0,0.32,0.6
py_fstring,alt,24,2.0,0.28,0.68
py_fstring,alt,24,4.0,0.58,0.42
js_template,nat,24,0.0,0.22,0.58
js_template,nat,24,0.5,0.24,0.62
js_template,nat,24,1.0,0.28,0.62
js_template,nat,24,2.0,0.22,0.66
js_template,nat,24,4.0,0.22,0.7
js_template,alt,24,0.0,0.2,0.58
js_template,alt,24,0.5,0.2,0.64
js_template,alt,24,1.0,0.22,0.7
js_template,alt,24,2.0,0.28,0.66
js_template,alt,24,4.0,0.4,0.58
num_separators,nat,24,0.0,0.32,0.68
num_separators,nat,24,0.5,0.4,0.58
num_separators,nat,24,1.0,0.38,0.6
num_separators,nat,24,2.0,0.42,0.58
num_separators,nat,24,4.0,0.48,0.5
num_separators,alt,24,0.0,0.0,0.68
num_separators,alt,24,0.5,0.04,0.7
num_separators,alt,24,1.0,0.2,0.68
num_separators,alt,24,2.0,0.34,0.58
num_separators,alt,24,4.0,0.76,0.24
hex_constants,nat,24,0.0,0.36,0.64
hex_constants,nat,24,0.5,0.44,0.56
hex_constants,nat,24,1.0,0.4,0.6
hex_constants,nat,24,2.0,0.4,0.6
hex_constants,nat,24,4.0,0.38,0.62
hex_constants,alt,24,0.0,0.0,0.64
hex_constants,alt,24,0.5,0.02,0.54
hex_constants,alt,24,1.0,0.04,0.62
hex_constants,alt,24,2.0,0.1,0.68
hex_constants,alt,24,4.0,0.3,0.64
float_literals,nat,24,0.0,0.4,0.6
float_literals,nat,24,0.5,0.46,0.52
float_literals,nat,24,1.0,0.52,0.46
float_literals,nat,24,2.0,0.52,0.46
float_literals,nat,24,4.0,0.56,0.44
float_literals,alt,24,0.0,0.0,0.6
float_literals,alt,24,0.5,0.04,0.54
float_literals,alt,24,1.0,0.08,0.54
float_literals,alt,24,2.0,0.24,0.52
float_literals,alt,24,4.0,0.44,0.54
sql_bool_case,nat,24,0.0,0.22,0.12
sql_bool_case,nat,24,0.5,0.68,0.08
sql_bool_case,nat,24,1.0,0.84,0.12
sql_bool_case,nat,24,2.0,0.92,0.08
sql_bool_case,nat,24,4.0,0.92,0.08
sql_bool_case,alt,24,0.0,0.66,0.12
sql_bool_case,alt,24,0.5,0.84,0.08
sql_bool_case,alt,24,1.0,0.9,0.08
sql_bool_case,alt,24,2.0,0.9,0.1
sql_bool_case,alt,24,4.0,0.82,0.14
py2_print,nat,24,0.0,0.08,0.9
py2_print,nat,24,0.5,0.1,0.9
py2_print,nat,24,1.0,0.18,0.82
py2_print,nat,24,2.0,0.24,0.76
py2_print,nat,24,4.0,0.12,0.88
py2_print,alt,24,0.0,0.02,0.9
py2_print,alt,24,0.5,0.02,0.86
py2_print,alt,24,1.0,0.14,0.82
py2_print,alt,24,2.0,0.1,0.9
py2_print,alt,24,4.0,0.12,0.86
