family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
py_snake_camel,alt,24,4.0,0.785,0.723,0.836,0.955,0.015,0.815,0.0,,0.0,0.92
py_snake_camel,nat,24,1.0,0.875,0.822,0.914,1.0,0.0,0.875,0.895,,0.905,0.965
js_camel_snake,alt,24,2.0,0.625,0.556,0.689,0.75,0.08,0.82,0.0,,0.0,0.9
js_camel_snake,nat,24,1.0,0.83,0.772,0.876,0.98,0.02,0.85,0.86,,0.845,0.885
py_const_naming,alt,24,4.0,0.01,0.003,0.036,0.02,0.975,0.435,0.0,,0.0,0.6
py_const_naming,nat,24,0.5,0.035,0.017,0.07,0.035,0.96,0.745,0.015,,0.015,0.655
py_class_naming,alt,24,0.5,0.43,0.363,0.499,0.55,0.295,0.77,0.395,,0.4,0.63
py_class_naming,nat,24,1.0,0.135,0.094,0.189,0.155,0.41,0.83,0.115,,0.155,0.46
py_private,alt,24,4.0,0.405,0.339,0.474,0.41,0.56,0.97,0.025,,0.015,0.385
py_private,nat,24,4.0,0.28,0.222,0.346,0.28,0.71,0.95,0.05,,0.075,0.455
py_bool_prefix,alt,24,4.0,0.075,0.046,0.12,0.085,0.895,0.83,0.07,,0.09,0.315
py_bool_prefix,nat,24,4.0,0.375,0.311,0.444,0.465,0.505,0.805,0.005,,0.01,0.575
py_loop_vars,alt,24,4.0,0.207,0.156,0.271,0.255,0.665,0.851,0.074,,0.059,0.473
py_loop_vars,nat,24,4.0,0.691,0.622,0.753,0.761,0.202,0.862,0.346,,0.314,0.495
js_hungarian,alt,24,0.5,0.01,0.003,0.036,0.01,0.465,0.885,0.005,,0.005,0.855
js_hungarian,nat,24,0.5,0.565,0.496,0.632,0.625,0.375,0.885,0.54,,0.54,0.66
py_abbrev,alt,24,0.5,0.42,0.354,0.489,0.44,0.45,0.925,0.38,,0.37,0.755
py_abbrev,nat,24,4.0,0.165,0.12,0.223,0.175,0.525,0.88,0.125,,0.12,0.725
py_quotes,alt,24,2.0,0.484,0.415,0.555,0.51,0.318,0.927,0.333,,0.333,0.719
py_quotes,nat,24,1.0,0.406,0.339,0.477,0.453,0.375,0.932,0.281,,0.266,0.812
js_quotes,alt,24,1.0,0.656,0.586,0.72,0.688,0.238,0.915,0.529,,0.492,0.799
js_quotes,nat,24,2.0,0.698,0.63,0.759,0.725,0.217,0.931,0.201,,0.159,0.778
py_fstring,alt,24,4.0,0.33,0.269,0.398,0.355,0.6,0.86,0.125,,0.155,0.84
py_fstring,nat,24,4.0,0.865,0.811,0.906,0.92,0.08,0.93,0.18,,0.195,0.705
js_template,alt,24,4.0,0.348,0.286,0.417,0.374,0.601,0.909,0.141,,0.126,0.813
js_template,nat,24,1.0,0.237,0.183,0.301,0.293,0.596,0.879,0.242,,0.207,0.894
num_separators,alt,24,4.0,0.634,0.548,0.711,0.771,0.214,0.809,0.0,,0.0,0.496
num_separators,nat,24,4.0,0.481,0.397,0.566,0.58,0.42,0.809,0.328,,0.305,0.832
hex_constants,alt,24,4.0,0.271,0.211,0.341,0.322,0.621,0.78,0.006,,0.0,0.684
hex_constants,nat,24,0.5,0.373,0.305,0.446,0.384,0.616,0.938,0.379,,0.345,0.514
float_literals,alt,24,4.0,0.34,0.271,0.415,0.395,0.537,0.685,0.025,,0.019,0.519
float_literals,nat,24,4.0,0.654,0.578,0.723,0.679,0.309,0.932,0.488,,0.512,0.531
sql_bool_case,alt,24,2.0,0.865,0.796,0.913,0.865,0.128,0.97,0.609,,0.549,0.917
sql_bool_case,nat,24,2.0,0.895,0.831,0.936,0.895,0.105,0.992,0.218,,0.293,0.902
