task,group,norm_m,norm_meanfree,cos_m_shared,real_1shot,real_6shot,dummy1_baseline,dummy1_meanfree_a0.5,dummy1_meanfree_a1.0,dummy1_meanfree_a2.0,dummy1_meanfree_a4.0,dummy1_meanfree_a8.0,dummy1_meanfree_best,dummy6_baseline,dummy6_meanfree_a0.5,dummy6_meanfree_a1.0,dummy6_meanfree_a2.0,dummy6_meanfree_a4.0,dummy6_meanfree_a8.0,dummy6_meanfree_best,dummy1_fullvec_best,dummy1_shared_best,dummy6_fullvec_best
adjective_to_adverb,train,62.025,29.938,0.8758,0.2533,0.7067,0.0,0.0067,0.0067,0.0467,0.08,0.0733,0.08,0.0,0.0,0.0,0.3467,0.44,0.3067,0.44,0.1067,0.0067,0.7
adjective_to_noun,train,59.526,23.187,0.921,0.12,0.3133,0.0067,0.0067,0.0067,0.0267,0.1,0.12,0.12,0.0,0.0,0.0,0.0733,0.3333,0.2733,0.3333,0.2067,0.0467,0.4067
ag_news,heldout,56.348,35.23,0.7804,0.1533,0.3333,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0333,0.0467,0.0133,0.0467,0.0067,0.0,0.1133
agent_noun_to_verb,train,59.353,24.15,0.9135,0.2333,0.5867,0.0067,0.0067,0.0267,0.0467,0.1,0.0533,0.1,0.0,0.0,0.0,0.0667,0.3467,0.24,0.3467,0.2067,0.0267,0.6
animal_class,train,62.911,30.427,0.8753,0.2333,0.6533,0.0067,0.0,0.0133,0.0933,0.04,0.0267,0.0933,0.0,0.0,0.0467,0.3533,0.26,0.0733,0.3533,0.08,0.0267,0.36
animal_plant_object,train,60.769,28.876,0.8799,0.08,0.5933,0.0,0.0,0.0,0.0,0.0333,0.02,0.0333,0.0,0.0,0.0,0.06,0.12,0.1067,0.12,0.0267,0.0067,0.1933
antonym,train,56.022,20.838,0.9282,0.0333,0.32,0.0067,0.0,0.0,0.02,0.0133,0.0333,0.0333,0.0,0.0,0.0067,0.0467,0.2133,0.1533,0.2133,0.04,0.0067,0.2067
article_choice,train,54.137,30.115,0.831,0.06,0.5333,0.0,0.0,0.0067,0.0267,0.0333,0.02,0.0333,0.0,0.0,0.0,0.0733,0.2133,0.16,0.2133,0.0267,0.0,0.2467
capitalize,train,59.239,25.397,0.9034,0.2733,0.9067,0.0,0.0067,0.02,0.02,0.0733,0.0267,0.0733,0.0,0.0,0.0267,0.3933,0.7467,0.6933,0.7467,0.2667,0.0067,0.8933
capitalize_first_letter,train,54.644,26.215,0.8774,0.0733,0.6067,0.0,0.0,0.0133,0.04,0.0267,0.0067,0.04,0.0,0.0,0.02,0.4067,0.3,0.1,0.4067,0.12,0.0,0.76
city-country,train,59.44,28.654,0.8761,0.3533,0.74,0.0,0.0,0.0133,0.06,0.02,0.0,0.06,0.0,0.0,0.0067,0.1533,0.2133,0.0733,0.2133,0.06,0.0067,0.5733
compound_first,train,58.717,23.19,0.9187,0.1133,0.5467,0.0133,0.0133,0.0133,0.0,0.0333,0.0533,0.0533,0.0,0.0,0.0067,0.0533,0.2333,0.2467,0.2467,0.1333,0.0667,0.4867
concrete_abstract,train,64.553,37.905,0.8094,0.02,0.4267,0.0,0.0,0.0,0.02,0.0267,0.0133,0.0267,0.0,0.0,0.0,0.0533,0.1333,0.1067,0.1333,0.02,0.0,0.3067
contains_letter_e,train,60.181,33.538,0.8303,0.2267,0.54,0.0,0.0,0.0133,0.1067,0.04,0.0267,0.1067,0.0,0.0,0.0133,0.34,0.2667,0.1067,0.34,0.0333,0.0067,0.3667
country-capital,train,56.971,31.149,0.8373,0.46,0.7533,0.0133,0.0267,0.1,0.4133,0.28,0.18,0.4133,0.0,0.0,0.14,0.64,0.6,0.2267,0.64,0.24,0.0067,0.6933
day_after_textual_date,train,57.439,39.83,0.7205,0.4267,0.9533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0667,0.0,0.0067,0.0667,0.0,0.0,0.0867
ends_with_ing,heldout,60.306,33.857,0.8275,0.26,0.5133,0.0,0.0,0.0,0.0667,0.0733,0.0133,0.0733,0.0,0.0,0.0,0.22,0.2867,0.1333,0.2867,0.04,0.0067,0.34
english-french,heldout,51.839,21.247,0.9121,0.1867,0.5533,0.0,0.0,0.0,0.0733,0.0133,0.0067,0.0733,0.0,0.0,0.0,0.2933,0.4333,0.0267,0.4333,0.1333,0.0,0.48
english-italian,train,50.29,22.334,0.896,0.2333,0.5467,0.0,0.0,0.0,0.1533,0.04,0.0067,0.1533,0.0,0.0,0.0,0.2867,0.3333,0.1133,0.3333,0.2467,0.0067,0.5067
english-portuguese,train,52.052,22.616,0.9007,0.28,0.54,0.0,0.0,0.0067,0.0933,0.06,0.0133,0.0933,0.0,0.0,0.0,0.4267,0.4067,0.1467,0.4267,0.1933,0.0,0.5667
english-spanish,train,52.383,22.489,0.9032,0.2933,0.5667,0.0,0.0,0.0067,0.1133,0.0467,0.0,0.1133,0.0,0.0,0.0,0.3,0.32,0.08,0.32,0.2733,0.0,0.5467
first_digit,heldout,54.925,30.117,0.8363,0.06,0.6067,0.0067,0.0,0.02,0.0067,0.02,0.0067,0.02,0.0,0.0,0.0067,0.1,0.0467,0.0467,0.1,0.0533,0.0333,0.26
first_three_letters,train,53.164,23.552,0.8965,0.1,0.3067,0.0,0.0067,0.0133,0.02,0.04,0.0467,0.0467,0.0,0.0,0.0133,0.2,0.3,0.2667,0.3,0.14,0.0067,0.3733
french-english,heldout,53.769,19.497,0.9319,0.4533,0.62,0.0067,0.0067,0.0133,0.08,0.1867,0.2533,0.2533,0.0,0.0,0.0,0.0267,0.1867,0.3867,0.3867,0.3933,0.08,0.6867
french_noun_gender,train,66.134,39.466,0.8024,0.1867,0.6533,0.0,0.0,0.0,0.0133,0.0133,0.0,0.0133,0.0,0.0,0.0133,0.1333,0.16,0.0333,0.16,0.02,0.0,0.3267
german-english,train,52.731,19.854,0.9264,0.2933,0.6533,0.0133,0.0133,0.02,0.0667,0.2533,0.2467,0.2533,0.0,0.0,0.0,0.0533,0.42,0.4867,0.4867,0.42,0.0267,0.7067
german_noun_gender,train,54.968,31.143,0.824,0.0933,0.38,0.0,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0267,0.1267,0.02,0.1267,0.0,0.0,0.0933
gerund_to_base,heldout,59.983,25.05,0.9086,0.2133,0.72,0.0067,0.0267,0.0533,0.1067,0.16,0.0467,0.16,0.0,0.0,0.02,0.1733,0.58,0.4933,0.58,0.3533,0.0667,0.86
gerund_to_past,train,62.043,27.777,0.8942,0.1733,0.6067,0.0,0.0,0.0133,0.0667,0.06,0.04,0.0667,0.0,0.0067,0.0067,0.2533,0.4933,0.3933,0.4933,0.0533,0.0133,0.5867
hypernym_category,train,54.792,20.921,0.9242,0.12,0.32,0.0,0.0067,0.0,0.0333,0.08,0.0667,0.08,0.0,0.0,0.0,0.1,0.3,0.18,0.3,0.0667,0.0133,0.3267
initials_two_words,heldout,51.787,26.322,0.8612,0.04,0.6933,0.0,0.0,0.0,0.0267,0.0067,0.0067,0.0267,0.0,0.0,0.0,0.5133,0.54,0.3267,0.54,0.0467,0.0,0.5933
iso_date_to_month,train,61.002,35.476,0.8135,0.3333,0.9733,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0,0.08,0.0533,0.0,0.08,0.0067,0.0,0.22
iso_date_year_plus_one,train,56.173,34.149,0.794,0.1133,0.8467,0.0,0.0,0.0,0.0067,0.0133,0.0,0.0133,0.0,0.0,0.0,0.06,0.0467,0.0133,0.06,0.0,0.0,0.0867
landmark-country,train,58.677,29.139,0.868,0.1533,0.5,0.0,0.0,0.0067,0.0133,0.0133,0.0133,0.0133,0.0,0.0,0.04,0.2933,0.2533,0.0533,0.2933,0.0533,0.0,0.4
language_identification,train,61.99,32.839,0.8482,0.12,0.7667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.1133,0.0333,0.1133,0.0067,0.0,0.1467
larger_of_pair,train,62.855,37.646,0.8008,0.24,0.56,0.0,0.0067,0.0067,0.02,0.0133,0.0,0.02,0.0,0.0,0.0067,0.2,0.1133,0.02,0.2,0.0533,0.0267,0.3133
larger_than_1000,train,60.274,36.293,0.7984,0.18,0.5267,0.0,0.0,0.0067,0.02,0.02,0.0067,0.02,0.0,0.0,0.0,0.26,0.1867,0.0267,0.26,0.0133,0.0067,0.3
lowercase_first_letter,train,55.716,29.368,0.8498,0.16,0.6533,0.0,0.0,0.0133,0.0533,0.02,0.0,0.0533,0.0,0.0,0.0,0.3333,0.3,0.0667,0.3333,0.16,0.0,0.7467
lowercase_word,train,58.696,25.715,0.8989,0.4267,0.9733,0.0,0.0,0.0533,0.0867,0.2,0.0733,0.2,0.0,0.0,0.0133,0.46,0.7333,0.5733,0.7333,0.6,0.0133,0.9867
national_parks,train,57.658,29.787,0.8562,0.2933,0.5267,0.0133,0.0,0.0333,0.0467,0.02,0.0067,0.0467,0.0,0.0,0.08,0.3333,0.1533,0.0133,0.3333,0.0533,0.0067,0.3067
natural_manmade,train,65.241,36.228,0.8317,0.02,0.6467,0.0,0.0,0.0,0.0133,0.0,0.0,0.0133,0.0,0.0,0.0,0.0333,0.06,0.0133,0.06,0.0067,0.0,0.0867
next_item,train,50.511,22.599,0.8943,0.1133,0.5,0.0067,0.02,0.0467,0.0733,0.1267,0.1267,0.1267,0.0,0.0067,0.0067,0.26,0.38,0.36,0.38,0.0733,0.0333,0.3667
next_month_of_date,train,58.656,33.313,0.8231,0.1467,0.6733,0.0,0.0,0.0133,0.0467,0.0133,0.0133,0.0467,0.0,0.0,0.0133,0.1267,0.04,0.0,0.1267,0.02,0.0133,0.1333
next_number_digits,train,57.528,35.766,0.7832,0.2533,0.8867,0.0067,0.0,0.0467,0.2333,0.12,0.0133,0.2333,0.0,0.0,0.0467,0.5933,0.6733,0.0733,0.6733,0.22,0.02,0.8933
