task,group,norm_m,norm_meanfree,cos_m_shared,real_1shot,real_6shot,dummy1_baseline,dummy1_meanfree_a0.5,dummy1_meanfree_a1.0,dummy1_meanfree_a2.0,dummy1_meanfree_a4.0,dummy1_meanfree_a8.0,dummy1_meanfree_best,dummy6_baseline,dummy6_meanfree_a0.5,dummy6_meanfree_a1.0,dummy6_meanfree_a2.0,dummy6_meanfree_a4.0,dummy6_meanfree_a8.0,dummy6_meanfree_best,dummy1_fullvec_best,dummy1_shared_best,dummy6_fullvec_best
number_word_to_digits,train,56.355,32.492,0.8171,0.5467,0.7067,0.0,0.0267,0.0933,0.1733,0.0867,0.0267,0.1733,0.0,0.0067,0.0333,0.4267,0.3533,0.16,0.4267,0.28,0.0067,0.3733
park-country,train,57.795,30.603,0.8483,0.2933,0.52,0.0,0.0,0.0333,0.0733,0.0267,0.0,0.0733,0.0,0.0,0.0267,0.3733,0.2133,0.0,0.3733,0.0533,0.0,0.3133
past_to_base,heldout,60.22,25.302,0.9075,0.2133,0.76,0.0067,0.0,0.0267,0.1,0.1133,0.0533,0.1133,0.0,0.0,0.0067,0.2733,0.58,0.4067,0.58,0.2267,0.0667,0.7467
person-instrument,train,63.18,37.359,0.8064,0.1333,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0667,0.1,0.0067,0.1,0.0067,0.0,0.2
person-sport,train,64.744,36.857,0.8222,0.2933,0.7,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.1533,0.1467,0.0,0.1533,0.0133,0.0,0.3133
person_place_thing,heldout,61.116,29.603,0.8749,0.04,0.62,0.0,0.0,0.0,0.0267,0.0133,0.0133,0.0267,0.0,0.0,0.0,0.0667,0.2533,0.1867,0.2533,0.0133,0.0,0.1667
plural_to_singular,train,59.954,24.416,0.9133,0.1933,0.8267,0.0,0.02,0.0,0.0933,0.0933,0.08,0.0933,0.0,0.0,0.0133,0.3933,0.7067,0.7533,0.7533,0.3933,0.0467,0.8733
pos_label,heldout,61.569,41.168,0.7436,0.1267,0.56,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0133,0.1467,0.18,0.08,0.18,0.0067,0.0,0.1533
present-past,train,63.36,29.284,0.8868,0.24,0.78,0.0,0.0067,0.0,0.0933,0.0933,0.08,0.0933,0.0,0.0,0.0133,0.42,0.6267,0.56,0.6267,0.1,0.0133,0.76
prev_number_digits,train,61.489,36.568,0.8039,0.0867,0.8133,0.0,0.0,0.04,0.06,0.02,0.0067,0.06,0.0,0.0,0.0133,0.6733,0.6133,0.04,0.6733,0.0733,0.0067,0.44
product-company,train,58.298,29.401,0.8635,0.1,0.4733,0.0,0.0,0.0,0.0,0.0467,0.0067,0.0467,0.0,0.0,0.02,0.1333,0.2,0.0333,0.2,0.0267,0.0067,0.2533
sentiment,train,62.306,37.846,0.7944,0.2267,0.6667,0.0,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0,0.2533,0.4733,0.1,0.4733,0.0267,0.0,0.48
singular-plural,train,61.524,28.251,0.8883,0.4667,0.9,0.0,0.0,0.0133,0.1533,0.2467,0.18,0.2467,0.0,0.0,0.06,0.76,0.7333,0.5667,0.76,0.6067,0.02,0.9333
singular_or_plural,train,66.079,46.011,0.7178,0.1533,0.6133,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0,0.04,0.0733,0.04,0.0733,0.0133,0.0,0.18
smaller_of_pair,heldout,62.178,36.058,0.8147,0.2867,0.4933,0.0,0.0133,0.0067,0.02,0.0,0.02,0.02,0.0,0.0,0.0333,0.1733,0.2,0.04,0.2,0.0867,0.0133,0.4333
spanish-english,heldout,54.585,20.197,0.929,0.4667,0.7133,0.0067,0.0067,0.02,0.1067,0.2333,0.1333,0.2333,0.0,0.0,0.0067,0.0267,0.0467,0.4,0.4,0.4667,0.0733,0.7267
spanish_noun_gender,train,65.559,39.646,0.7964,0.1667,0.62,0.0,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0,0.0533,0.1267,0.0267,0.1267,0.0,0.0,0.22
starts_with_vowel,train,62.934,39.085,0.7838,0.0867,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.02
third_person_to_base,train,60.072,24.905,0.91,0.2267,0.8533,0.0,0.0067,0.0133,0.1,0.0733,0.04,0.1,0.0,0.0,0.0267,0.42,0.7667,0.7133,0.7667,0.4333,0.0267,0.8933
titlecase_phrase,train,59.262,32.001,0.8417,0.1667,0.92,0.0,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0867,0.0133,0.0,0.0867,0.0333,0.0,0.7
uppercase_word,heldout,57.2,26.951,0.882,0.22,0.9267,0.0,0.0,0.0267,0.0467,0.0533,0.02,0.0533,0.0,0.0,0.1,0.56,0.8267,0.64,0.8267,0.2467,0.0,0.9333
us-city-state,train,58.864,30.397,0.8564,0.4333,0.6533,0.0067,0.0,0.0667,0.0733,0.0133,0.0067,0.0733,0.0,0.0,0.1,0.3933,0.2467,0.0133,0.3933,0.0467,0.0133,0.3
verb_tense_label,train,60.414,34.837,0.817,0.0667,0.32,0.0067,0.0,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0667,0.04,0.0667,0.0,0.0,0.06
verb_to_third_person,train,61.06,27.464,0.8931,0.2867,0.7667,0.0,0.0,0.04,0.2,0.1467,0.0867,0.2,0.0,0.0,0.0267,0.5867,0.6867,0.62,0.6867,0.26,0.0067,0.74
word_polarity,heldout,63.056,33.296,0.8492,0.18,0.68,0.0,0.0,0.0,0.0267,0.0133,0.0133,0.0267,0.0,0.0,0.0,0.0867,0.4267,0.18,0.4267,0.0067,0.0,0.4
