lambda,fold_task,acc,nll,n_active
0.01,national_parks,0.5125,2.0513,34
0.01,english-spanish,0.3200,4.1041,32
0.01,next_capital_letter,0.0250,3.6246,34
0.01,commonsense_qa,0.2400,1.8420,34
0.01,capitalize_last_letter,0.0625,3.3081,34
0.01,country-capital,0.8125,1.3666,34
0.01,english-french,0.2200,4.3896,29
0.01,ag_news,0.5000,2.5481,34
0.01,sentiment,0.5200,2.0752,34
0.01,present-past,0.6000,1.4436,34
0.01,person-occupation,0.1875,4.5047,34
0.01,prev_item,0.3875,3.2068,34
0.01,capitalize_second_letter,0.1500,3.0621,34
0.01,lowercase_last_letter,0.1000,3.4357,34
0.01,singular-plural,0.6500,1.0634,34
0.01,person-sport,0.5250,2.5687,34
0.01,park-country,0.5500,2.1145,34
0.01,english-german,0.0900,5.5388,30
0.01,person-instrument,0.5250,2.6497,34
0.01,next_item,0.5375,2.2370,34
0.02,national_parks,0.5375,2.0849,25
0.02,english-spanish,0.2700,4.4169,22
0.02,next_capital_letter,0.0250,3.6572,25
0.02,commonsense_qa,0.2200,1.8393,25
0.02,capitalize_last_letter,0.0375,3.3377,25
0.02,country-capital,0.8125,1.3755,25
0.02,english-french,0.1300,4.9489,23
0.02,ag_news,0.4900,2.5487,25
0.02,sentiment,0.4600,2.4331,25
0.02,present-past,0.5875,1.4429,25
0.02,person-occupation,0.1875,4.5133,25
0.02,prev_item,0.1500,3.6074,24
0.02,capitalize_second_letter,0.1375,3.1028,25
0.02,lowercase_last_letter,0.0875,3.4838,25
0.02,singular-plural,0.6500,1.0843,25
0.02,person-sport,0.5250,2.6238,25
0.02,park-country,0.5500,2.1744,25
0.02,english-german,0.0600,6.1632,20
0.02,person-instrument,0.5125,2.6740,25
0.02,next_item,0.5250,2.4410,24
0.05,national_parks,0.5125,2.2221,16
0.05,english-spanish,0.2300,4.7258,16
0.05,next_capital_letter,0.0250,3.6622,16
0.05,commonsense_qa,0.2300,1.8373,16
0.05,capitalize_last_letter,0.0500,3.3457,16
0.05,country-capital,0.8000,1.4163,16
0.05,english-french,0.1300,4.9678,16
0.05,ag_news,0.5000,2.5595,16
0.05,sentiment,0.3500,2.9798,16
0.05,present-past,0.5875,1.4529,16
0.05,person-occupation,0.1875,4.5220,16
0.05,prev_item,0.0500,3.8423,16
0.05,capitalize_second_letter,0.1500,3.1275,16
0.05,lowercase_last_letter,0.0250,3.9722,16
0.05,singular-plural,0.6250,1.1342,16
0.05,person-sport,0.5375,2.4967,16
0.05,park-country,0.5375,2.3328,16
0.05,english-german,0.0200,8.3369,14
0.05,person-instrument,0.4375,3.1019,16
0.05,next_item,0.4500,2.6471,16
0.1,national_parks,0.5250,2.2531,15
0.1,english-spanish,0.1500,5.3001,14
0.1,next_capital_letter,0.0125,3.6627,16
0.1,commonsense_qa,0.2300,1.8346,16
0.1,capitalize_last_letter,0.0500,3.3534,14
0.1,country-capital,0.3125,2.7219,13
0.1,english-french,0.1500,5.3002,14
0.1,ag_news,0.4400,2.9142,16
0.1,sentiment,0.0100,4.8818,16
0.1,present-past,0.5000,1.6036,16
0.1,person-occupation,0.1750,5.1510,14
0.1,prev_item,0.0500,3.8965,16
0.1,capitalize_second_letter,0.1375,3.1825,14
0.1,lowercase_last_letter,0.0000,4.4797,15
0.1,singular-plural,0.3875,1.5301,13
0.1,person-sport,0.4375,2.8965,15
0.1,park-country,0.5250,2.3517,14
0.1,english-german,0.0200,8.3534,14
0.1,person-instrument,0.2750,4.1474,15
0.1,next_item,0.4125,2.7264,14
0.2,national_parks,0.5250,2.3549,11
0.2,english-spanish,0.0800,6.1023,11
0.2,next_capital_letter,0.0125,3.7440,11
0.2,commonsense_qa,0.2200,1.9169,11
0.2,capitalize_last_letter,0.0500,3.4418,11
0.2,country-capital,0.0250,4.8419,10
0.2,english-french,0.1300,5.6526,11
0.2,ag_news,0.0000,5.6651,10
0.2,sentiment,0.0000,7.4284,10
0.2,present-past,0.1375,2.2631,11
0.2,person-occupation,0.0375,5.8289,11
0.2,prev_item,0.0625,4.1011,11
0.2,capitalize_second_letter,0.1250,3.2568,11
0.2,lowercase_last_letter,0.0000,4.9604,11
0.2,singular-plural,0.1750,2.2402,11
0.2,person-sport,0.2500,3.6794,11
0.2,park-country,0.5000,2.3874,11
0.2,english-german,0.0300,8.5972,11
0.2,person-instrument,0.1000,5.2040,11
0.2,next_item,0.3000,3.0888,11
0.5,national_parks,0.4750,2.7524,83
0.5,english-spanish,0.0300,7.7346,83
0.5,next_capital_letter,0.0000,4.1313,83
0.5,commonsense_qa,0.2100,2.1924,83
0.5,capitalize_last_letter,0.0250,3.9127,83
0.5,country-capital,0.0625,4.2681,83
0.5,english-french,0.0400,6.8386,83
0.5,ag_news,0.0100,5.5534,83
0.5,sentiment,0.0000,7.3649,83
0.5,present-past,0.0375,3.0623,83
0.5,person-occupation,0.0000,7.2410,83
0.5,prev_item,0.0750,4.3386,83
0.5,capitalize_second_letter,0.0625,3.5642,83
0.5,lowercase_last_letter,0.0000,5.3025,83
0.5,singular-plural,0.0750,2.9044,83
0.5,person-sport,0.0000,5.6739,83
0.5,park-country,0.5125,2.6211,83
0.5,english-german,0.0000,9.6809,83
0.5,person-instrument,0.0250,7.1469,83
0.5,next_item,0.2125,3.3467,83
