task,group,icl_index,split,row_index,pc1,pc2,pc3
ag_news,train,1,train,0,-19.5202,23.3733,-11.0899
ag_news,train,1,train,1,-19.8761,24.8694,-15.2803
ag_news,train,1,train,2,-19.3899,23.7859,-15.1011
ag_news,train,1,train,3,-18.5372,25.3158,-17.6996
ag_news,train,1,train,4,-20.7846,25.5937,-16.0273
ag_news,train,1,train,5,-18.9157,24.6212,-14.9357
ag_news,train,1,train,6,-21.2627,26.1151,-18.1825
ag_news,train,1,train,7,-17.5103,18.6788,-14.5903
ag_news,train,1,train,8,-21.0602,24.5294,-14.9127
ag_news,train,1,train,9,-19.5592,21.5629,-15.5561
ag_news,train,1,train,10,-19.9001,25.5559,-13.8552
ag_news,train,1,train,11,-17.8882,23.0916,-14.3952
ag_news,train,1,train,12,-17.887,23.0815,-14.3893
ag_news,train,1,train,13,-19.0639,22.0364,-14.868
ag_news,train,1,train,14,-19.1387,22.8032,-16.5901
ag_news,train,1,train,15,-17.25,22.6714,-16.9617
ag_news,train,1,train,16,-19.3259,23.586,-12.8041
ag_news,train,1,train,17,-17.5216,22.2826,-14.8226
ag_news,train,1,train,18,-18.2092,20.2884,-11.8855
ag_news,train,1,train,19,-19.423,21.7604,-13.1855
ag_news,train,1,train,20,-18.3797,20.8372,-14.7432
ag_news,train,1,train,21,-17.1761,21.0022,-16.7436
ag_news,train,1,train,22,-20.7152,25.5379,-15.2166
ag_news,train,1,train,23,-19.763,22.8578,-16.8988
ag_news,train,1,train,24,-18.8002,18.6237,-12.2199
ag_news,train,1,train,25,-21.4713,25.8191,-13.5882
ag_news,train,1,train,26,-19.6074,23.9103,-14.8328
ag_news,train,1,train,27,-19.066,22.5761,-16.961
ag_news,train,1,train,28,-20.2386,24.1115,-15.7929
ag_news,train,1,train,29,-20.809,23.3895,-14.6483
ag_news,train,1,train,30,-21.4593,24.6173,-16.0879
ag_news,train,1,train,31,-19.4184,21.7252,-14.9309
ag_news,train,1,train,32,-18.7496,25.0148,-14.1749
ag_news,train,1,train,33,-18.503,16.7157,-13.126
ag_news,train,1,train,34,-19.8611,24.6789,-14.6668
ag_news,train,1,train,35,-19.1727,27.7035,-15.6118
ag_news,train,1,train,36,-20.9077,23.0513,-15.803
ag_news,train,1,train,37,-19.7135,22.8496,-14.3019
ag_news,train,1,train,38,-19.9285,22.567,-15.924
ag_news,train,1,train,39,-19.0804,24.7345,-14.677
ag_news,train,1,train,40,-21.9041,23.5558,-15.1639
ag_news,train,1,train,41,-18.3415,21.557,-13.7315
ag_news,train,1,train,42,-19.0572,23.0895,-15.2782
ag_news,train,1,train,43,-20.3769,24.8266,-16.862
ag_news,train,1,train,44,-17.7506,22.6193,-14.3803
ag_news,train,1,train,45,-18.5633,21.9933,-15.7074
ag_news,train,1,train,46,-21.9434,24.2775,-15.477
ag_news,train,1,train,47,-20.9272,23.8675,-16.3137
ag_news,train,1,train,48,-19.2109,21.8283,-13.403
ag_news,train,1,train,49,-21.4568,24.1968,-16.3057
ag_news,train,1,train,50,-20.6042,23.7147,-15.0235
ag_news,train,1,train,51,-18.9195,23.4817,-16.844
ag_news,train,1,train,52,-20.0207,25.4153,-17.0796
ag_news,train,1,train,53,-17.2267,22.1119,-15.8779
ag_news,train,1,train,54,-21.6893,24.0781,-13.8441
ag_news,train,1,train,55,-20.6973,23.5447,-14.645
ag_news,train,1,train,56,-19.2069,19.2129,-14.4863
ag_news,train,1,train,57,-18.7406,22.7059,-15.6262
ag_news,train,1,train,58,-21.1119,20.4299,-14.356
ag_news,train,1,train,59,-17.7599,22.8734,-14.7893
ag_news,train,1,train,60,-19.859,25.839,-16.4043
ag_news,train,1,train,61,-19.4422,21.5705,-14.2238
ag_news,train,1,train,62,-18.633,20.595,-15.4903
ag_news,train,1,train,63,-18.5654,21.8134,-12.19
ag_news,train,1,train,64,-19.7808,24.0458,-15.6172
ag_news,train,1,train,65,-21.0082,24.226,-16.4675
ag_news,train,1,train,66,-18.7594,21.9916,-16.7973
ag_news,train,1,train,67,-19.8451,24.2975,-17.0114
ag_news,train,1,train,68,-20.5645,21.4449,-14.0959
ag_news,train,1,train,69,-17.3125,25.3314,-16.7972
ag_news,train,1,train,70,-22.9144,23.1897,-12.7539
ag_news,train,1,train,71,-20.2691,25.4143,-15.1517
ag_news,train,1,train,72,-17.4936,21.94,-14.2879
ag_news,train,1,train,73,-19.2837,23.1136,-15.7836
ag_news,train,1,train,74,-20.5332,20.827,-15.3777
ag_news,train,1,train,75,-18.2227,10.7212,-12.7398
ag_news,train,1,train,76,-19.2809,22.3281,-16.8257
ag_news,train,1,train,77,-18.4355,20.7464,-14.6063
ag_news,train,1,train,78,-18.2587,24.4731,-16.8938
ag_news,train,1,train,79,-18.8619,22.4625,-16.3045
ag_news,train,1,train,80,-19.473,21.7781,-15.5594
ag_news,train,1,train,81,-21.8596,24.4581,-14.6886
ag_news,train,1,train,82,-21.0611,24.5333,-14.9136
ag_news,train,1,train,83,-19.5554,22.1346,-14.3703
ag_news,train,1,train,84,-19.3239,21.8372,-15.633
ag_news,train,1,train,85,-20.861,25.9703,-16.0014
ag_news,train,1,train,86,-19.4515,25.3149,-14.6908
ag_news,train,1,train,87,-19.2872,22.6746,-15.8508
ag_news,train,1,train,88,-16.8191,19.6332,-14.4765
ag_news,train,1,train,89,-19.6086,19.2627,-14.9589
ag_news,train,1,train,90,-20.5128,24.7068,-17.9831
ag_news,train,1,train,91,-19.7051,19.839,-13.704
ag_news,train,1,train,92,-19.519,22.164,-14.7163
ag_news,train,1,train,93,-19.2608,22.2139,-15.0612
ag_news,train,1,train,94,-18.6061,22.8055,-14.3899
ag_news,train,1,train,95,-19.6541,26.2544,-11.5381
ag_news,train,1,train,96,-19.6513,24.1723,-13.568
ag_news,train,1,train,97,-20.7133,22.9106,-16.173
ag_news,train,1,train,98,-20.2572,23.6656,-12.815
ag_news,train,1,train,99,-20.8111,23.8318,-17.24
ag_news,train,1,train,100,-18.9272,23.0113,-15.9323
ag_news,train,1,train,101,-18.4708,20.1421,-13.682
ag_news,train,1,train,102,-20.6062,24.5949,-16.9566
ag_news,train,1,train,103,-21.4723,25.8214,-13.5854
ag_news,train,1,train,104,-16.6463,21.1116,-15.7544
ag_news,train,1,train,105,-18.9015,21.2047,-14.5991
ag_news,train,1,train,106,-18.2242,23.7888,-15.3801
ag_news,train,1,train,107,-20.1876,23.4343,-13.8289
ag_news,train,1,train,108,-20.7881,26.99,-14.5127
ag_news,train,1,train,109,-20.6068,25.1436,-15.8657
ag_news,train,1,train,110,-20.3733,19.6446,-14.4062
ag_news,train,1,train,111,-21.1496,25.7181,-15.8065
ag_news,train,1,train,112,-20.4177,25.4572,-14.7669
ag_news,train,1,train,113,-18.8995,23.8204,-16.6148
ag_news,train,1,train,114,-20.0935,23.9952,-15.2979
ag_news,train,1,train,115,-16.7926,22.1452,-16.4047
ag_news,train,1,train,116,-17.1248,22.625,-16.1828
ag_news,train,1,train,117,-19.1594,26.1521,-16.7119
ag_news,train,1,train,118,-19.8954,23.8713,-14.5096
ag_news,train,1,train,119,-19.3001,24.3703,-14.3646
ag_news,train,1,train,120,-20.3879,24.1216,-16.0886
ag_news,train,1,train,121,-19.9547,23.9379,-13.4229
ag_news,train,1,train,122,-20.8035,21.8413,-15.3565
ag_news,train,1,train,123,-19.7817,23.8502,-17.772
ag_news,train,1,train,124,-20.5183,24.2924,-15.3248
ag_news,train,1,train,125,-20.8185,26.1171,-15.3927
ag_news,train,1,train,126,-20.1099,26.2642,-15.3992
ag_news,train,1,train,127,-19.9277,24.6845,-14.6956
ag_news,train,1,train,128,-20.6789,25.3475,-14.7862
ag_news,train,1,train,129,-18.9935,19.1264,-12.212
ag_news,train,1,test,130,-21.8393,25.7132,-13.5788
