task,group,icl_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
ag_news,train,1,-19.6005,23.2118,-15.1482,14.2443,12.9296,1.82977,4.97676,-6.2853,4.57913,-0.60861
ag_news,train,2,-19.4956,5.90182,-4.3236,24.4554,14.8114,6.38222,18.3967,6.2933,-7.82133,-9.8868
ag_news,train,3,-20.5933,-3.37745,-2.70126,25.799,14.6342,4.7736,23.9302,2.61578,-6.72134,-11.0813
ag_news,train,4,-21.0214,-6.49169,-2.31507,25.9145,14.2206,3.70177,25.3352,0.882767,-5.5462,-11.4046
ag_news,train,5,-21.1432,-7.74222,-2.15719,25.6643,14.0837,3.34978,25.4942,0.225183,-5.09908,-11.4284
ag_news,train,6,-21.3991,-8.83144,-2.01511,25.6634,13.8764,3.25979,25.8996,-0.314749,-4.84656,-11.6513
ag_news,train,7,-21.3262,-9.37889,-1.83725,25.5753,13.6365,3.05438,26.0005,-0.63116,-4.49903,-11.6526
ag_news,train,8,-21.4222,-9.8253,-1.69419,25.5103,13.4642,2.86462,26.1778,-0.945452,-4.16189,-11.6748
ag_news,train,9,-21.4289,-10.0428,-1.48852,25.6613,13.5106,2.90536,26.4569,-1.08949,-3.95281,-11.7755
ag_news,train,10,-21.4102,-10.1329,-1.41223,25.5322,13.2492,2.70632,26.2355,-1.20979,-3.74198,-11.7631
capitalize_last_letter,train,1,-15.5098,34.8264,-14.7425,-3.68851,-1.08901,-3.2393,-0.538489,-6.86765,6.40814,0.0430367
capitalize_last_letter,train,2,3.95215,25.6431,6.69847,-5.26435,-0.449488,1.58096,-2.34058,17.9042,-10.7925,-4.0776
capitalize_last_letter,train,3,10.5204,12.7222,14.5738,-6.13875,3.85493,-1.78376,-2.29251,12.2584,-5.43755,-2.01144
capitalize_last_letter,train,4,12.0983,7.05598,17.105,-5.86281,7.71632,-4.55825,-2.09945,7.36263,-0.524788,-1.7051
capitalize_last_letter,train,5,12.3928,4.41355,17.9866,-4.99445,9.96837,-6.47156,-1.63861,4.66423,2.49761,-1.57272
capitalize_last_letter,train,6,12.567,2.81511,18.4887,-4.56024,10.9507,-7.3893,-1.61524,3.31418,4.38758,-1.9845
capitalize_last_letter,train,7,12.4053,1.41545,18.8608,-4.07229,12.0655,-8.30407,-1.35071,1.86644,5.73354,-1.8382
capitalize_last_letter,train,8,12.7802,0.709141,19.3072,-3.75251,12.8157,-8.93729,-1.18844,1.08649,6.63058,-1.90339
capitalize_last_letter,train,9,12.5449,0.0592612,19.3787,-3.39925,13.4024,-9.48589,-1.1289,0.472079,7.49708,-1.83341
