family,target,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,top1,baseline
docstring_quotes,nat,2,0.5,49,0.0816,0.0322,0.1919,0.0816,0.7755,0.8571,1.743,0.0,0.0816
docstring_quotes,nat,2,1.0,49,0.1224,0.0573,0.2424,0.1224,0.7959,0.8776,1.7379,0.0,0.0816
docstring_quotes,nat,2,2.0,49,0.0612,0.021,0.1652,0.0816,0.7755,0.9184,1.7436,0.0,0.0816
docstring_quotes,nat,2,4.0,49,0.102,0.0444,0.2176,0.1224,0.7143,0.8776,1.7506,0.0,0.0816
docstring_quotes,nat,4,0.5,49,0.0408,0.0113,0.1371,0.0408,0.7143,0.9592,1.75,0.0,0.0816
docstring_quotes,nat,4,1.0,49,0.1429,0.071,0.2667,0.1837,0.6735,0.7755,1.7379,0.0,0.0816
docstring_quotes,nat,4,2.0,49,0.1224,0.0573,0.2424,0.1224,0.7755,0.8776,1.7277,0.0,0.0816
docstring_quotes,nat,4,4.0,49,0.0612,0.021,0.1652,0.0612,0.7551,0.9388,1.7175,0.0,0.0816
docstring_quotes,nat,6,0.5,49,0.0408,0.0113,0.1371,0.0408,0.8163,0.9592,1.7455,0.0,0.0816
docstring_quotes,nat,6,1.0,49,0.0816,0.0322,0.1919,0.102,0.7755,0.898,1.7481,0.0,0.0816
docstring_quotes,nat,6,2.0,49,0.0408,0.0113,0.1371,0.0612,0.7347,0.9388,1.7468,0.0,0.0816
docstring_quotes,nat,6,4.0,49,0.0816,0.0322,0.1919,0.102,0.8367,0.8776,1.7449,0.0,0.0816
docstring_quotes,nat,8,0.5,49,0.1429,0.071,0.2667,0.1429,0.8776,0.8571,1.736,0.0,0.0816
docstring_quotes,nat,8,1.0,49,0.1429,0.071,0.2667,0.1429,0.7959,0.8367,1.7353,0.0,0.0816
docstring_quotes,nat,8,2.0,49,0.0816,0.0322,0.1919,0.102,0.7755,0.898,1.7245,0.0,0.0816
docstring_quotes,nat,8,4.0,49,0.1224,0.0573,0.2424,0.1633,0.8163,0.8163,1.7213,0.0,0.0816
docstring_quotes,nat,10,0.5,49,0.0204,0.0036,0.1069,0.0408,0.8163,0.9388,1.7449,0.0,0.0816
docstring_quotes,nat,10,1.0,49,0.0816,0.0322,0.1919,0.102,0.7551,0.898,1.7519,0.0,0.0816
docstring_quotes,nat,10,2.0,49,0.1224,0.0573,0.2424,0.1429,0.7143,0.8571,1.7443,0.0,0.0816
docstring_quotes,nat,10,4.0,49,0.1224,0.0573,0.2424,0.1224,0.8367,0.8776,1.7672,0.0,0.0816
docstring_quotes,nat,12,0.5,49,0.0816,0.0322,0.1919,0.1224,0.6939,0.8571,1.7411,0.0,0.0816
docstring_quotes,nat,12,1.0,49,0.0612,0.021,0.1652,0.102,0.6939,0.898,1.7404,0.0,0.0816
docstring_quotes,nat,12,2.0,49,0.0204,0.0036,0.1069,0.0408,0.7755,0.9592,1.7532,0.0,0.0816
docstring_quotes,nat,12,4.0,49,0.0816,0.0322,0.1919,0.102,0.7143,0.8776,1.7589,0.0,0.0816
docstring_quotes,nat,14,0.5,49,0.0816,0.0322,0.1919,0.102,0.7551,0.898,1.7417,0.0,0.0816
docstring_quotes,nat,14,1.0,49,0.1429,0.071,0.2667,0.1429,0.8367,0.8367,1.7379,0.0,0.0816
docstring_quotes,nat,14,2.0,49,0.102,0.0444,0.2176,0.102,0.8571,0.8776,1.7404,0.0,0.0816
docstring_quotes,nat,14,4.0,49,0.0,0.0,0.0727,0.0,0.7347,1.0,1.729,0.0,0.0816
docstring_quotes,nat,16,0.5,49,0.1429,0.071,0.2667,0.1633,0.7347,0.8367,1.7411,0.0,0.0816
docstring_quotes,nat,16,1.0,49,0.0612,0.021,0.1652,0.0816,0.7347,0.9184,1.7526,0.0,0.0816
docstring_quotes,nat,16,2.0,49,0.0204,0.0036,0.1069,0.0204,0.8163,0.9592,1.7589,0.0,0.0816
docstring_quotes,nat,16,4.0,49,0.1837,0.0998,0.3136,0.2041,0.7959,0.7959,1.7685,0.0,0.0816
docstring_quotes,nat,18,0.5,49,0.1224,0.0573,0.2424,0.1429,0.8163,0.8571,1.7659,0.0,0.0816
docstring_quotes,nat,18,1.0,49,0.0612,0.021,0.1652,0.0612,0.8163,0.9388,1.7596,0.0,0.0816
docstring_quotes,nat,18,2.0,49,0.0612,0.021,0.1652,0.0612,0.7551,0.9388,1.7915,0.0,0.0816
docstring_quotes,nat,18,4.0,49,0.0408,0.0113,0.1371,0.0816,0.7551,0.9184,1.8667,0.0,0.0816
docstring_quotes,nat,20,0.5,49,0.1429,0.071,0.2667,0.1429,0.7755,0.8367,1.7672,0.0,0.0816
docstring_quotes,nat,20,1.0,49,0.0816,0.0322,0.1919,0.0816,0.7551,0.9184,1.8119,0.0,0.0816
docstring_quotes,nat,20,2.0,49,0.102,0.0444,0.2176,0.1633,0.7551,0.8163,1.8846,0.0,0.0816
docstring_quotes,nat,20,4.0,49,0.0204,0.0036,0.1069,0.0408,0.7347,0.9388,2.0561,0.0,0.0816
docstring_quotes,nat,22,0.5,49,0.0612,0.021,0.1652,0.0816,0.8163,0.8776,1.773,0.0,0.0816
docstring_quotes,nat,22,1.0,49,0.0612,0.021,0.1652,0.0612,0.7551,0.9388,1.817,0.0,0.0816
docstring_quotes,nat,22,2.0,49,0.0612,0.021,0.1652,0.0612,0.8367,0.9388,1.8992,0.0,0.0816
docstring_quotes,nat,22,4.0,49,0.0816,0.0322,0.1919,0.0816,0.7755,0.9184,2.0772,0.0,0.0816
docstring_quotes,nat,24,0.5,49,0.0816,0.0322,0.1919,0.0816,0.7755,0.898,2.9509,0.0,0.0816
docstring_quotes,nat,24,1.0,49,0.1429,0.071,0.2667,0.1633,0.8571,0.8367,4.0663,0.0,0.0816
docstring_quotes,nat,24,2.0,49,0.1633,0.0851,0.2904,0.1837,0.7755,0.8163,5.102,0.0,0.0816
docstring_quotes,nat,24,4.0,49,0.0612,0.021,0.1652,0.102,0.7755,0.898,4.0332,0.0204,0.0816
docstring_quotes,nat,26,0.5,49,0.0816,0.0322,0.1919,0.1224,0.7959,0.8776,5.6346,0.0,0.0816
docstring_quotes,nat,26,1.0,49,0.0816,0.0322,0.1919,0.0816,0.7347,0.9184,6.6582,0.0,0.0816
docstring_quotes,nat,26,2.0,49,0.0,0.0,0.0727,0.0204,0.6735,0.9592,4.1716,0.0,0.0816
docstring_quotes,nat,26,4.0,49,0.0,0.0,0.0727,0.0,0.6122,1.0,2.8418,0.0,0.0816
docstring_quotes,alt,2,0.5,49,0.0,0.0,0.0727,0.0,0.8571,0.9184,-1.7449,0.0,0.0204
docstring_quotes,alt,2,1.0,49,0.0,0.0,0.0727,0.0,0.7755,0.8776,-1.7328,0.0,0.0204
docstring_quotes,alt,2,2.0,49,0.0204,0.0036,0.1069,0.0204,0.7551,0.8367,-1.7526,0.0,0.0204
docstring_quotes,alt,2,4.0,49,0.0204,0.0036,0.1069,0.0204,0.8776,0.9388,-1.7423,0.0,0.0204
docstring_quotes,alt,4,0.5,49,0.0,0.0,0.0727,0.0,0.8163,0.898,-1.7443,0.0,0.0204
docstring_quotes,alt,4,1.0,49,0.0204,0.0036,0.1069,0.0204,0.8163,0.9184,-1.7557,0.0,0.0204
docstring_quotes,alt,4,2.0,49,0.0204,0.0036,0.1069,0.0408,0.7959,0.8367,-1.7455,0.0,0.0204
docstring_quotes,alt,4,4.0,49,0.0,0.0,0.0727,0.0,0.7959,0.9184,-1.7532,0.0,0.0204
docstring_quotes,alt,6,0.5,49,0.0204,0.0036,0.1069,0.0204,0.8776,0.8776,-1.7455,0.0,0.0204
docstring_quotes,alt,6,1.0,49,0.0,0.0,0.0727,0.0,0.8776,0.898,-1.7302,0.0,0.0204
docstring_quotes,alt,6,2.0,49,0.0,0.0,0.0727,0.0,0.8571,0.9388,-1.7455,0.0,0.0204
docstring_quotes,alt,6,4.0,49,0.0,0.0,0.0727,0.0,0.7551,0.8367,-1.7411,0.0,0.0204
docstring_quotes,alt,8,0.5,49,0.0204,0.0036,0.1069,0.0204,0.7959,0.8776,-1.7474,0.0,0.0204
docstring_quotes,alt,8,1.0,49,0.0,0.0,0.0727,0.0,0.7551,0.898,-1.7519,0.0,0.0204
docstring_quotes,alt,8,2.0,49,0.0,0.0,0.0727,0.0204,0.7959,0.8571,-1.7666,0.0,0.0204
docstring_quotes,alt,8,4.0,49,0.0,0.0,0.0727,0.0,0.7755,0.898,-1.7864,0.0,0.0204
docstring_quotes,alt,10,0.5,49,0.0,0.0,0.0727,0.0,0.8571,0.9184,-1.7417,0.0,0.0204
docstring_quotes,alt,10,1.0,49,0.0204,0.0036,0.1069,0.0408,0.7755,0.9388,-1.7321,0.0,0.0204
docstring_quotes,alt,10,2.0,49,0.0,0.0,0.0727,0.0204,0.7347,0.8571,-1.736,0.0,0.0204
docstring_quotes,alt,10,4.0,49,0.0204,0.0036,0.1069,0.0204,0.8571,0.8367,-1.7392,0.0,0.0204
docstring_quotes,alt,12,0.5,49,0.0,0.0,0.0727,0.0,0.8163,0.9388,-1.7334,0.0,0.0204
docstring_quotes,alt,12,1.0,49,0.0204,0.0036,0.1069,0.0204,0.8571,0.9184,-1.7455,0.0,0.0204
docstring_quotes,alt,12,2.0,49,0.0,0.0,0.0727,0.0,0.7755,0.8367,-1.7302,0.0,0.0204
docstring_quotes,alt,12,4.0,49,0.0,0.0,0.0727,0.0,0.8163,0.898,-1.7245,0.0,0.0204
docstring_quotes,alt,14,0.5,49,0.0,0.0,0.0727,0.0,0.6327,0.8571,-1.743,0.0,0.0204
docstring_quotes,alt,14,1.0,49,0.0,0.0,0.0727,0.0,0.7959,0.9388,-1.7411,0.0,0.0204
docstring_quotes,alt,14,2.0,49,0.0,0.0,0.0727,0.0,0.7143,0.898,-1.7474,0.0,0.0204
docstring_quotes,alt,14,4.0,49,0.0204,0.0036,0.1069,0.0204,0.7959,0.9388,-1.7557,0.0,0.0204
docstring_quotes,alt,16,0.5,49,0.0408,0.0113,0.1371,0.0408,0.8776,0.7959,-1.7423,0.0,0.0204
docstring_quotes,alt,16,1.0,49,0.0,0.0,0.0727,0.0,0.7551,0.9388,-1.736,0.0,0.0204
docstring_quotes,alt,16,2.0,49,0.0,0.0,0.0727,0.0,0.7959,0.8776,-1.7372,0.0,0.0204
docstring_quotes,alt,16,4.0,49,0.0204,0.0036,0.1069,0.0204,0.6939,0.9388,-1.7296,0.0,0.0204
docstring_quotes,alt,18,0.5,49,0.0,0.0,0.0727,0.0,0.7551,0.898,-1.727,0.0,0.0204
docstring_quotes,alt,18,1.0,49,0.0,0.0,0.0727,0.0,0.7551,0.8163,-1.7181,0.0,0.0204
docstring_quotes,alt,18,2.0,49,0.0204,0.0036,0.1069,0.0204,0.7347,0.8776,-1.6926,0.0,0.0204
docstring_quotes,alt,18,4.0,49,0.0408,0.0113,0.1371,0.0408,0.7959,0.8776,-1.6505,0.0,0.0204
docstring_quotes,alt,20,0.5,49,0.0204,0.0036,0.1069,0.0204,0.8571,0.9184,-1.7156,0.0,0.0204
docstring_quotes,alt,20,1.0,49,0.0408,0.0113,0.1371,0.0408,0.7755,0.898,-1.6747,0.0,0.0204
docstring_quotes,alt,20,2.0,49,0.0408,0.0113,0.1371,0.0408,0.7755,0.8571,-1.6454,0.0,0.0204
docstring_quotes,alt,20,4.0,49,0.0,0.0,0.0727,0.0,0.7755,0.898,-1.5389,0.0,0.0204
docstring_quotes,alt,22,0.5,49,0.0,0.0,0.0727,0.0,0.7551,0.8776,-1.706,0.0,0.0204
docstring_quotes,alt,22,1.0,49,0.0204,0.0036,0.1069,0.0204,0.8163,0.898,-1.6786,0.0,0.0204
docstring_quotes,alt,22,2.0,49,0.0,0.0,0.0727,0.0,0.7143,0.9184,-1.6122,0.0,0.0204
docstring_quotes,alt,22,4.0,49,0.0,0.0,0.0727,0.0,0.6531,0.898,-1.4943,0.0,0.0204
docstring_quotes,alt,24,0.5,49,0.0204,0.0036,0.1069,0.0204,0.7551,0.9184,-0.6167,0.0,0.0204
docstring_quotes,alt,24,1.0,49,0.0,0.0,0.0727,0.0,0.6939,0.9796,0.4171,0.0,0.0204
docstring_quotes,alt,24,2.0,49,0.0204,0.0036,0.1069,0.0204,0.8163,0.9592,2.2022,0.0,0.0204
docstring_quotes,alt,24,4.0,49,0.0816,0.0322,0.1919,0.0816,0.7755,0.898,4.3202,0.0,0.0204
docstring_quotes,alt,26,0.5,49,0.0816,0.0322,0.1919,0.102,0.7959,0.8367,3.3731,0.0,0.0204
docstring_quotes,alt,26,1.0,49,0.0408,0.0113,0.1371,0.0612,0.7959,0.8571,6.2423,0.0,0.0204
docstring_quotes,alt,26,2.0,49,0.0,0.0,0.0727,0.0,0.7347,1.0,6.0131,0.0,0.0204
docstring_quotes,alt,26,4.0,49,0.0,0.0,0.0727,0.0204,0.4898,0.9592,0.9011,0.0,0.0204
hex_constants,nat,2,0.5,49,0.8776,0.7576,0.9427,0.9796,0.8776,0.0204,6.5906,0.7755,0.898
hex_constants,nat,2,1.0,49,0.8571,0.7333,0.929,1.0,0.8571,0.0,6.5931,0.7755,0.898
hex_constants,nat,2,2.0,49,0.9184,0.8081,0.9678,0.9592,0.9592,0.0408,6.6046,0.7755,0.898
hex_constants,nat,2,4.0,49,0.9184,0.8081,0.9678,0.9592,0.9592,0.0408,6.6237,0.7755,0.898
hex_constants,nat,4,0.5,49,0.9592,0.8629,0.9887,0.9796,0.9796,0.0204,6.6033,0.7755,0.898
hex_constants,nat,4,1.0,49,0.9184,0.8081,0.9678,1.0,0.9184,0.0,6.6084,0.7755,0.898
hex_constants,nat,4,2.0,49,0.9592,0.8629,0.9887,1.0,0.9592,0.0,6.6301,0.7755,0.898
hex_constants,nat,4,4.0,49,0.9388,0.8348,0.979,0.9796,0.9592,0.0204,6.6633,0.7755,0.898
hex_constants,nat,6,0.5,49,0.898,0.7824,0.9556,0.9592,0.9388,0.0204,6.6033,0.7755,0.898
hex_constants,nat,6,1.0,49,0.898,0.7824,0.9556,0.9592,0.9388,0.0408,6.6224,0.7755,0.898
hex_constants,nat,6,2.0,49,0.898,0.7824,0.9556,0.9796,0.9184,0.0204,6.6352,0.7755,0.898
