quantity,mean,lo,hi
unsteered,0.0002,0.0,0.0005
steer,0.3874,0.3273,0.4481
steer_own_zero,0.0004,0.0,0.0009
steer_cf_zero,0.2355,0.1778,0.2959
steering_gain,0.3872,0.328,0.4475
drop_own_fv_ablation,0.3871,0.3282,0.4471
drop_cf_fv_ablation,0.152,0.1136,0.1943
drop_own_minus_cf,0.2351,0.1771,0.2956
frac_gain_removed_own,0.9995,,
frac_gain_removed_cf,0.3925,,
n_tasks_own_drop_gt_cf,58.0,,
n_tasks,69.0,,
