family,direction,context,target,k_ctx,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,unsteered_accuracy,unsteered_ci_lo,unsteered_ci_hi,unsteered_judge_ok,cf_accuracy,reference,reach,pass_50,sig_vs_unsteered
py_snake_camel,alt2nat,alt,nat,3,3,2.0,200,0.89,0.839,0.926,0.94,0.045,0.015,0.945,0.025,0.011,0.057,0.91,,0.975,0.913,True,True
py_snake_camel,nat2alt,nat,alt,3,4,1.0,200,0.865,0.811,0.906,0.94,0.06,0.0,0.925,0.0,0.0,0.019,0.96,,0.915,0.945,True,True
js_camel_snake,alt2nat,alt,nat,3,2,1.0,200,0.87,0.816,0.91,0.985,0.005,0.01,0.885,0.01,0.003,0.036,0.91,,0.92,0.946,True,True
js_camel_snake,nat2alt,nat,alt,3,2,2.0,200,0.87,0.816,0.91,0.945,0.045,0.01,0.91,0.0,0.0,0.019,0.94,,0.885,0.983,True,True
py_const_naming,alt2nat,alt,nat,3,4,2.0,200,0.6,0.531,0.665,0.735,0.005,0.26,0.755,0.015,0.005,0.043,0.74,,0.665,0.902,True,True
py_const_naming,nat2alt,nat,alt,3,11,4.0,200,0.415,0.349,0.484,0.605,0.02,0.375,0.67,0.0,0.0,0.019,0.83,,0.47,0.883,True,True
py_class_naming,alt2nat,alt,nat,3,7,1.0,200,0.44,0.373,0.509,0.47,0.18,0.35,0.91,0.01,0.003,0.036,0.9,,0.5,0.88,True,True
py_class_naming,nat2alt,nat,alt,3,12,1.0,200,0.37,0.306,0.439,0.555,0.065,0.38,0.745,0.18,0.133,0.239,0.935,,0.555,0.667,True,True
py_private,alt2nat,alt,nat,3,0,1.0,200,0.385,0.32,0.454,0.395,0.005,0.6,0.91,0.035,0.017,0.07,0.995,,0.43,0.895,True,True
py_private,nat2alt,nat,alt,3,1,4.0,200,0.405,0.339,0.474,0.46,0.005,0.535,0.91,0.0,0.0,0.019,0.97,,0.355,1.141,True,True
py_bool_prefix,alt2nat,alt,nat,3,8,4.0,200,0.345,0.283,0.413,0.675,0.055,0.27,0.555,0.0,0.0,0.019,0.855,,0.82,0.421,False,True
py_bool_prefix,nat2alt,nat,alt,3,5,4.0,200,0.2,0.15,0.261,0.315,0.03,0.655,0.54,0.015,0.005,0.043,0.915,,0.42,0.476,False,True
py_loop_vars,alt2nat,alt,nat,3,6,2.0,188,0.399,0.332,0.47,0.527,0.005,0.468,0.723,0.037,0.018,0.075,0.851,,0.495,0.806,True,True
py_loop_vars,nat2alt,nat,alt,3,22,4.0,188,0.117,0.079,0.171,0.314,0.059,0.628,0.436,0.005,0.001,0.03,0.862,,0.505,0.232,False,True
js_hungarian,alt2nat,alt,nat,3,16,4.0,200,0.465,0.397,0.534,0.665,0.025,0.31,0.665,0.03,0.014,0.064,0.95,,0.68,0.684,True,True
js_hungarian,nat2alt,nat,alt,3,5,4.0,200,0.185,0.137,0.245,0.4,0.28,0.32,0.485,0.0,0.0,0.019,0.925,,0.84,0.22,False,True
py_abbrev,alt2nat,alt,nat,3,7,4.0,200,0.315,0.255,0.382,0.595,0.08,0.325,0.525,0.03,0.014,0.064,0.955,,0.665,0.474,False,True
py_abbrev,nat2alt,nat,alt,3,1,2.0,200,0.41,0.344,0.479,0.61,0.16,0.23,0.69,0.05,0.027,0.09,0.92,,0.715,0.573,True,True
py_quotes,alt2nat,alt,nat,3,8,2.0,192,0.828,0.768,0.875,0.901,0.078,0.021,0.911,0.12,0.081,0.173,0.932,,0.865,0.957,True,True
py_quotes,nat2alt,nat,alt,3,0,2.0,192,0.844,0.786,0.888,0.885,0.099,0.016,0.948,0.057,0.032,0.1,0.932,,0.849,0.994,True,True
js_quotes,alt2nat,alt,nat,3,6,2.0,189,0.799,0.736,0.85,0.899,0.016,0.085,0.889,0.021,0.008,0.053,0.915,,0.831,0.961,True,True
js_quotes,nat2alt,nat,alt,3,0,1.0,189,0.847,0.788,0.891,0.894,0.032,0.074,0.947,0.058,0.033,0.101,0.968,,0.815,1.039,True,True
py_fstring,alt2nat,alt,nat,3,7,4.0,200,0.56,0.491,0.627,0.64,0.15,0.21,0.87,0.06,0.035,0.102,0.955,,0.685,0.818,True,True
py_fstring,nat2alt,nat,alt,3,6,4.0,200,0.56,0.491,0.627,0.635,0.11,0.255,0.89,0.04,0.02,0.077,0.935,,0.765,0.732,True,True
js_template,alt2nat,alt,nat,3,6,4.0,198,0.586,0.516,0.652,0.854,0.02,0.126,0.707,0.04,0.021,0.078,0.955,,0.843,0.695,True,True
js_template,nat2alt,nat,alt,3,2,4.0,198,0.515,0.446,0.584,0.631,0.025,0.343,0.788,0.01,0.003,0.036,0.939,,0.697,0.739,True,True
num_separators,alt2nat,alt,nat,3,0,0.5,131,0.786,0.708,0.848,0.87,0.008,0.122,0.901,0.221,0.159,0.3,0.939,,0.771,1.019,True,True
num_separators,nat2alt,nat,alt,3,22,4.0,131,0.679,0.595,0.753,0.832,0.023,0.145,0.809,0.008,0.001,0.042,0.908,,0.55,1.235,True,True
hex_constants,alt2nat,alt,nat,3,15,2.0,177,0.316,0.252,0.388,0.35,0.034,0.616,0.859,0.062,0.035,0.108,0.927,,0.525,0.602,True,True
hex_constants,nat2alt,nat,alt,3,7,4.0,177,0.633,0.56,0.7,0.718,0.102,0.181,0.881,0.0,0.0,0.021,0.904,,0.701,0.903,True,True
float_literals,alt2nat,alt,nat,3,3,4.0,162,0.451,0.376,0.527,0.506,0.099,0.395,0.864,0.142,0.097,0.204,0.833,,0.537,0.84,True,True
float_literals,nat2alt,nat,alt,3,17,2.0,162,0.5,0.424,0.576,0.556,0.179,0.265,0.877,0.222,0.165,0.292,0.889,,0.5,1.0,True,True
sql_bool_case,alt2nat,alt,nat,3,0,1.0,133,0.932,0.876,0.964,0.932,0.015,0.053,1.0,0.0,-0.0,0.028,1.0,,0.895,1.041,True,True
sql_bool_case,nat2alt,nat,alt,3,10,1.0,133,0.917,0.858,0.953,0.925,0.038,0.038,0.992,0.008,0.001,0.041,0.977,,0.947,0.968,True,True
py2_print,alt2nat,alt,nat,3,8,4.0,200,0.57,0.501,0.637,0.6,0.03,0.37,0.88,0.0,0.0,0.019,0.935,,0.765,0.745,True,True
py2_print,nat2alt,nat,alt,3,8,4.0,200,0.58,0.511,0.646,0.69,0.01,0.3,0.84,0.0,0.0,0.019,0.97,,0.68,0.853,True,True
py2_iter,alt2nat,alt,nat,3,14,2.0,144,0.792,0.718,0.85,0.854,0.021,0.125,0.91,0.222,0.162,0.297,0.854,,0.785,1.009,True,True
py2_iter,nat2alt,nat,alt,3,8,4.0,144,0.5,0.419,0.581,0.597,0.229,0.174,0.812,0.0,0.0,0.026,0.896,,0.59,0.847,True,True
py2_except,alt2nat,alt,nat,3,4,1.0,177,0.955,0.913,0.977,0.966,0.0,0.034,0.989,0.006,0.001,0.031,0.994,,0.966,0.989,True,True
py2_except,nat2alt,nat,alt,3,2,1.0,177,0.932,0.885,0.961,0.938,0.023,0.04,0.989,0.0,0.0,0.021,1.0,,0.921,1.012,True,True
js_var,alt2nat,alt,nat,3,10,2.0,200,0.615,0.546,0.68,0.69,0.0,0.31,0.89,0.045,0.024,0.083,0.885,,0.685,0.898,True,True
js_var,nat2alt,nat,alt,3,1,4.0,200,0.655,0.587,0.717,0.745,0.005,0.25,0.875,0.005,0.001,0.028,0.935,,0.615,1.065,True,True
js_arrow,alt2nat,alt,nat,3,5,4.0,196,0.5,0.431,0.569,0.791,0.0,0.209,0.689,0.046,0.024,0.085,0.857,,0.658,0.76,True,True
js_arrow,nat2alt,nat,alt,3,7,4.0,196,0.255,0.199,0.32,0.367,0.204,0.429,0.653,0.005,0.001,0.028,0.842,,0.48,0.531,True,True
js_semicolons,alt2nat,alt,nat,3,0,1.0,146,0.767,0.692,0.828,0.829,0.027,0.144,0.911,0.041,0.019,0.087,0.89,,0.76,1.009,True,True
js_semicolons,nat2alt,nat,alt,3,5,4.0,146,0.678,0.599,0.748,0.712,0.0,0.288,0.897,0.027,0.011,0.068,0.938,,0.664,1.021,True,True
js_strict_eq,alt2nat,alt,nat,3,4,1.0,107,0.748,0.658,0.82,0.86,0.0,0.14,0.86,0.168,0.109,0.25,0.888,,0.785,0.953,True,True
js_strict_eq,nat2alt,nat,alt,3,23,4.0,107,0.701,0.608,0.779,0.85,0.037,0.112,0.841,0.0,0.0,0.035,0.879,,0.682,1.028,True,True
trailing_commas,alt2nat,alt,nat,3,4,4.0,130,0.654,0.569,0.73,0.692,0.231,0.077,0.885,0.231,0.167,0.31,0.9,,0.769,0.85,True,True
trailing_commas,nat2alt,nat,alt,3,2,4.0,130,0.715,0.633,0.786,0.715,0.146,0.138,0.946,0.169,0.114,0.243,0.946,,0.662,1.08,True,True
py_paren_if,alt2nat,alt,nat,3,2,2.0,199,0.603,0.534,0.668,0.819,0.02,0.161,0.729,0.055,0.031,0.096,0.935,,0.804,0.75,True,True
