family,direction,unsteered,best_layer,best_alpha,best_rate,best_layer_9,best_alpha_9,best_rate_9,rate_L0,gain_full_vs_9
py_snake_camel,nat2alt,0.0,4,1.0,1.0,4,1.0,1.0,0.98,0.0
py_snake_camel,alt2nat,0.02,3,2.0,1.0,6,2.0,1.0,0.96,0.0
js_camel_snake,nat2alt,0.0,2,2.0,0.96,2,2.0,0.96,0.86,0.0
js_camel_snake,alt2nat,0.02,1,1.0,1.0,2,1.0,1.0,0.98,0.0
py_const_naming,nat2alt,0.02,11,4.0,0.64,4,2.0,0.58,0.22,0.06
py_const_naming,alt2nat,0.02,4,2.0,0.7,4,2.0,0.7,0.44,0.0
py_class_naming,nat2alt,0.1,17,2.0,0.64,12,1.0,0.62,0.5,0.02
py_class_naming,alt2nat,0.04,7,1.0,0.52,2,2.0,0.52,0.46,0.0
py_private,nat2alt,0.0,3,2.0,0.52,2,4.0,0.52,0.48,0.0
py_private,alt2nat,0.02,0,1.0,0.6,2,4.0,0.6,0.6,0.0
py_bool_prefix,nat2alt,0.0,11,4.0,0.28,12,4.0,0.26,0.14,0.02
py_bool_prefix,alt2nat,0.04,8,4.0,0.72,8,4.0,0.72,0.7,0.0
py_loop_vars,nat2alt,0.02,22,4.0,0.32,16,4.0,0.28,0.18,0.04
py_loop_vars,alt2nat,0.04,15,2.0,0.62,6,2.0,0.52,0.3,0.1
js_hungarian,nat2alt,0.0,5,4.0,0.44,6,4.0,0.38,0.06,0.06
js_hungarian,alt2nat,0.02,16,4.0,0.8,16,4.0,0.8,0.5,0.0
py_abbrev,nat2alt,0.08,3,4.0,0.8,2,4.0,0.76,0.56,0.04
py_abbrev,alt2nat,0.02,7,4.0,0.64,4,4.0,0.52,0.32,0.12
py_quotes,nat2alt,0.12,0,2.0,0.94,6,4.0,0.94,0.94,0.0
py_quotes,alt2nat,0.1,8,2.0,0.96,8,2.0,0.96,0.86,0.0
js_quotes,nat2alt,0.04,17,2.0,0.98,6,2.0,0.96,0.96,0.02
js_quotes,alt2nat,0.0,6,2.0,0.96,6,2.0,0.96,0.88,0.0
py_fstring,nat2alt,0.04,6,4.0,0.58,6,4.0,0.58,0.22,0.0
py_fstring,alt2nat,0.1,4,4.0,0.6,4,4.0,0.6,0.24,0.0
js_template,nat2alt,0.04,2,4.0,0.72,2,4.0,0.72,0.6,0.0
js_template,alt2nat,0.08,0,4.0,0.92,6,4.0,0.92,0.92,0.0
num_separators,nat2alt,0.0,21,4.0,0.8,16,2.0,0.74,0.32,0.06
num_separators,alt2nat,0.22,4,2.0,0.9,4,2.0,0.9,0.88,0.0
hex_constants,nat2alt,0.0,7,4.0,0.6,8,4.0,0.6,0.1,0.0
hex_constants,alt2nat,0.08,20,2.0,0.44,20,2.0,0.44,0.26,0.0
float_literals,nat2alt,0.14,16,4.0,0.56,16,4.0,0.56,0.4,0.0
float_literals,alt2nat,0.18,3,4.0,0.56,2,2.0,0.5,0.34,0.06
sql_bool_case,nat2alt,0.0,10,1.0,0.94,10,1.0,0.94,0.92,0.0
sql_bool_case,alt2nat,0.0,0,1.0,0.94,4,1.0,0.94,0.94,0.0
py2_print,nat2alt,0.0,8,4.0,0.58,8,4.0,0.58,0.46,0.0
py2_print,alt2nat,0.0,8,4.0,0.54,8,4.0,0.54,0.4,0.0
py2_iter,nat2alt,0.0,8,4.0,0.7,8,4.0,0.7,0.46,0.0
py2_iter,alt2nat,0.18,14,2.0,0.9,4,1.0,0.86,0.8,0.04
