lam,lofo_r2,lofo_r2_per_dim
0.0001,-0.7638130973111987,-0.9178560376167297
0.001,-0.7368554827990914,-0.8878821730613708
0.01,-0.5573706003651588,-0.6883506178855896
0.1,-0.18294670092997678,-0.2721458077430725
1.0,0.03294300478608436,-0.03183155506849289
10.0,0.08133771379829591,0.0268581323325634
100.0,0.07027966138596287,0.02533567324280739
1000.0,0.03110006356017303,0.007626933511346579
