property,direction,layer,alpha,overall,coherent_only,unscorable,incoherent,n
double_space,nat,12,8.0,0.9,0.9,0.1,0.0,60
double_space,nat,16,16.0,0.983,0.983,0.017,0.0,60
double_space,nat,20,1.0,0.9,0.9,0.1,0.0,60
double_space,nat,24,8.0,0.983,0.983,0.017,0.0,60
em_dash,alt,2,0.5,0.0,0.0,1.0,0.167,60
em_dash,alt,4,0.5,0.0,0.0,0.961,0.15,60
em_dash,alt,6,0.5,0.0,0.0,0.981,0.117,60
em_dash,alt,8,2.0,0.0,0.0,1.0,0.183,60
em_dash,alt,10,32.0,0.017,0.023,0.955,0.267,60
em_dash,alt,12,0.5,0.017,0.02,0.98,0.167,60
em_dash,alt,16,32.0,0.067,0.125,0.844,0.467,60
em_dash,alt,20,16.0,0.983,0.983,0.017,0.0,60
em_dash,alt,24,8.0,0.933,0.966,0.034,0.033,60
em_dash,nat,2,2.0,0.0,0.0,1.0,0.2,60
em_dash,nat,4,4.0,0.033,0.042,0.958,0.2,60
em_dash,nat,6,16.0,0.0,0.0,1.0,0.267,60
em_dash,nat,8,0.125,0.017,0.018,0.982,0.083,60
em_dash,nat,10,0.125,0.017,0.02,0.98,0.15,60
em_dash,nat,12,16.0,0.033,0.049,0.951,0.317,60
em_dash,nat,16,32.0,0.15,0.257,0.743,0.417,60
em_dash,nat,20,8.0,0.95,0.966,0.034,0.017,60
em_dash,nat,24,4.0,0.883,0.898,0.102,0.017,60
num_words,alt,2,2.0,0.067,0.067,0.767,0.0,60
num_words,alt,4,2.0,0.067,0.07,0.807,0.05,60
num_words,alt,6,16.0,0.183,0.19,0.672,0.033,60
num_words,alt,8,32.0,0.3,0.31,0.517,0.033,60
num_words,alt,10,32.0,0.667,0.667,0.283,0.0,60
num_words,alt,12,32.0,0.517,0.525,0.288,0.017,60
num_words,alt,16,32.0,0.6,0.61,0.203,0.017,60
num_words,alt,20,8.0,0.833,0.833,0.1,0.0,60
num_words,alt,24,16.0,0.65,0.65,0.133,0.0,60
num_words,nat,2,0.25,0.133,0.136,0.763,0.017,60
num_words,nat,4,0.5,0.167,0.167,0.8,0.0,60
num_words,nat,6,1.0,0.15,0.15,0.75,0.0,60
num_words,nat,8,16.0,0.25,0.25,0.633,0.0,60
num_words,nat,10,32.0,0.433,0.441,0.492,0.017,60
num_words,nat,12,16.0,0.333,0.333,0.533,0.0,60
num_words,nat,16,16.0,0.633,0.633,0.35,0.0,60
num_words,nat,20,32.0,0.65,0.65,0.35,0.0,60
num_words,nat,24,8.0,0.617,0.617,0.367,0.0,60
ordinal_words,alt,2,2.0,0.167,0.167,0.833,0.0,60
ordinal_words,alt,4,1.0,0.1,0.1,0.9,0.0,60
ordinal_words,alt,6,1.0,0.167,0.167,0.833,0.0,60
ordinal_words,alt,8,0.125,0.117,0.117,0.883,0.0,60
ordinal_words,alt,10,32.0,0.3,0.305,0.695,0.017,60
ordinal_words,alt,12,32.0,0.1,0.107,0.893,0.067,60
ordinal_words,alt,16,32.0,0.767,0.821,0.179,0.067,60
ordinal_words,alt,20,8.0,0.767,0.793,0.207,0.033,60
ordinal_words,alt,24,16.0,0.783,0.797,0.203,0.017,60
ordinal_words,nat,2,0.5,0.0,0.0,0.833,0.0,60
ordinal_words,nat,4,0.5,0.0,0.0,0.9,0.0,60
ordinal_words,nat,6,0.5,0.0,0.0,0.917,0.0,60
ordinal_words,nat,8,1.0,0.0,0.0,0.833,0.0,60
ordinal_words,nat,10,0.125,0.0,0.0,0.833,0.0,60
ordinal_words,nat,12,0.5,0.0,0.0,0.883,0.0,60
ordinal_words,nat,16,8.0,0.033,0.035,0.684,0.05,60
ordinal_words,nat,20,16.0,0.15,0.158,0.509,0.05,60
ordinal_words,nat,24,2.0,0.017,0.017,0.881,0.017,60
oxford_comma,alt,2,0.5,0.283,0.283,0.35,0.0,60
oxford_comma,alt,4,0.125,0.183,0.183,0.433,0.0,60
oxford_comma,alt,6,0.5,0.133,0.133,0.4,0.0,60
oxford_comma,alt,8,2.0,0.15,0.15,0.333,0.0,60
oxford_comma,alt,10,16.0,0.583,0.583,0.25,0.0,60
oxford_comma,alt,12,32.0,0.75,0.75,0.117,0.0,60
oxford_comma,alt,16,32.0,0.983,0.983,0.017,0.0,60
oxford_comma,alt,20,16.0,0.967,0.983,0.017,0.017,60
oxford_comma,alt,24,16.0,1.0,1.0,0.0,0.0,60
oxford_comma,nat,2,4.0,0.25,0.25,0.533,0.0,60
oxford_comma,nat,4,4.0,0.433,0.433,0.367,0.0,60
oxford_comma,nat,6,32.0,0.35,0.356,0.475,0.017,60
oxford_comma,nat,8,0.5,0.467,0.467,0.333,0.0,60
oxford_comma,nat,10,4.0,0.667,0.667,0.267,0.0,60
oxford_comma,nat,12,2.0,0.533,0.542,0.305,0.017,60
oxford_comma,nat,16,16.0,0.7,0.7,0.3,0.0,60
oxford_comma,nat,20,8.0,0.7,0.7,0.3,0.0,60
oxford_comma,nat,24,4.0,0.617,0.627,0.373,0.017,60
percent_sign,alt,2,0.125,0.183,0.183,0.333,0.0,60
percent_sign,alt,4,8.0,0.217,0.217,0.167,0.0,60
percent_sign,alt,6,1.0,0.167,0.167,0.333,0.0,60
percent_sign,alt,8,8.0,0.983,0.983,0.0,0.0,60
percent_sign,alt,10,8.0,1.0,1.0,0.0,0.0,60
percent_sign,alt,12,16.0,1.0,1.0,0.0,0.0,60
percent_sign,alt,16,4.0,1.0,1.0,0.0,0.0,60
percent_sign,alt,20,4.0,0.967,0.967,0.0,0.0,60
percent_sign,alt,24,4.0,1.0,1.0,0.0,0.0,60
percent_sign,nat,2,0.25,0.5,0.508,0.339,0.017,60
percent_sign,nat,4,16.0,0.95,0.95,0.0,0.0,60
percent_sign,nat,6,8.0,0.983,0.983,0.017,0.0,60
percent_sign,nat,8,8.0,0.967,0.983,0.0,0.017,60
percent_sign,nat,10,4.0,0.983,0.983,0.0,0.0,60
percent_sign,nat,12,4.0,0.967,0.967,0.0,0.0,60
percent_sign,nat,16,8.0,1.0,1.0,0.0,0.0,60
