token_role,k,feature_dim,target_dim,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
pre_label_token,1,2,2,260,130,0.6135856509208679,10.16921615600586,1.2271714210510254,20.33843231201172
pre_label_token,2,4,4,260,130,0.49235618114471436,6.524923801422119,1.9694247245788574,26.099695205688477
first_label_token,1,2,2,260,130,2.992633819580078,7.343745231628418,5.985267639160156,14.687490463256836
first_label_token,2,4,4,260,130,1.7387124300003052,5.323629379272461,6.9548492431640625,21.294519424438477
last_label_token,1,2,2,260,130,1.8161414861679077,9.112095832824707,3.6322829723358154,18.22419548034668
last_label_token,2,4,4,260,130,1.3406500816345215,6.010930061340332,5.362600326538086,24.04372215270996
last_prompt_token,1,2,2,260,130,0.619834840297699,9.384734153747559,1.239669680595398,18.769468307495117
last_prompt_token,2,4,4,260,130,0.47626397013664246,5.398737907409668,1.9050558805465698,21.594951629638672
