token_role,k,feature_dim,target_dim,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
pre_label_token,1,2,2,2600,1170,15.21923542022705,10.697564125061035,30.438472747802734,21.395130157470703
pre_label_token,2,4,4,2600,1170,14.24640941619873,10.592201232910156,56.98563766479492,42.368804931640625
pre_label_token,3,6,6,2600,1170,10.423822402954102,8.894859313964844,62.542938232421875,53.36915588378906
pre_label_token,4,8,8,2600,1170,9.37306022644043,7.696439266204834,74.98448181152344,61.5715217590332
pre_label_token,5,10,10,2600,1170,5.852087020874023,6.808844089508057,58.52086639404297,68.08843994140625
pre_label_token,6,12,12,2600,1170,4.922025680541992,5.88972806930542,59.064308166503906,70.6767349243164
pre_label_token,7,14,14,2600,1170,4.524435520172119,5.69545316696167,63.34209060668945,79.73634338378906
pre_label_token,8,16,16,2600,1170,3.9029481410980225,5.747300148010254,62.44716262817383,91.9568099975586
pre_label_token,9,18,18,2600,1170,3.703925609588623,6.39021635055542,66.67066192626953,115.02389526367188
pre_label_token,10,20,20,2600,1170,3.6166696548461914,6.661925792694092,72.33338928222656,133.23851013183594
first_label_token,1,2,2,2600,1170,20.57330322265625,10.476405143737793,41.1466064453125,20.952810287475586
first_label_token,2,4,4,2600,1170,20.392723083496094,13.526253700256348,81.57089233398438,54.10501480102539
first_label_token,3,6,6,2600,1170,14.538345336914062,12.746866226196289,87.2300796508789,76.48119354248047
first_label_token,4,8,8,2600,1170,14.086688995361328,12.03152847290039,112.69351196289062,96.25222778320312
first_label_token,5,10,10,2600,1170,9.95731258392334,9.46935749053955,99.5731201171875,94.69357299804688
first_label_token,6,12,12,2600,1170,8.127486228942871,9.053096771240234,97.52983093261719,108.63715362548828
first_label_token,7,14,14,2600,1170,7.387548923492432,8.426103591918945,103.42569732666016,117.9654541015625
first_label_token,8,16,16,2600,1170,6.29497766494751,7.336139678955078,100.71964263916016,117.37823486328125
first_label_token,9,18,18,2600,1170,5.498310089111328,7.3197760581970215,98.96958923339844,131.75596618652344
first_label_token,10,20,20,2600,1170,4.8114471435546875,6.880018711090088,96.22894287109375,137.60037231445312
last_label_token,1,2,2,2600,1170,20.073989868164062,11.602261543273926,40.147979736328125,23.20452308654785
last_label_token,2,4,4,2600,1170,19.904117584228516,16.84659194946289,79.61646270751953,67.38636779785156
last_label_token,3,6,6,2600,1170,15.395075798034668,11.723849296569824,92.37045288085938,70.34309387207031
last_label_token,4,8,8,2600,1170,13.662785530090332,11.849695205688477,109.30228424072266,94.79755401611328
last_label_token,5,10,10,2600,1170,9.535533905029297,9.14760971069336,95.35533905029297,91.4760971069336
last_label_token,6,12,12,2600,1170,7.670032978057861,9.147761344909668,92.0403823852539,109.77313995361328
last_label_token,7,14,14,2600,1170,6.65700626373291,7.264859199523926,93.1980972290039,101.70802307128906
last_label_token,8,16,16,2600,1170,5.373318195343018,6.015664577484131,85.97309112548828,96.25064086914062
last_label_token,9,18,18,2600,1170,4.579181671142578,5.4193010330200195,82.42526245117188,97.54740905761719
last_label_token,10,20,20,2600,1170,4.888765335083008,5.426556587219238,97.77531433105469,108.53113555908203
last_prompt_token,1,2,2,2600,1170,14.70101547241211,9.775742530822754,29.402034759521484,19.551485061645508
last_prompt_token,2,4,4,2600,1170,13.819114685058594,9.871652603149414,55.276458740234375,39.486610412597656
last_prompt_token,3,6,6,2600,1170,10.18204116821289,8.359153747558594,61.092254638671875,50.15492630004883
last_prompt_token,4,8,8,2600,1170,9.221561431884766,7.312747955322266,73.77249145507812,58.501983642578125
last_prompt_token,5,10,10,2600,1170,5.639907360076904,6.484372138977051,56.39907455444336,64.84371948242188
last_prompt_token,6,12,12,2600,1170,4.678450584411621,5.745439529418945,56.14140701293945,68.94527435302734
last_prompt_token,7,14,14,2600,1170,4.321597576141357,5.635927677154541,60.50236892700195,78.90298461914062
last_prompt_token,8,16,16,2600,1170,3.7238762378692627,5.652840614318848,59.5820198059082,90.44544982910156
last_prompt_token,9,18,18,2600,1170,3.5259268283843994,6.26765775680542,63.46669006347656,112.81784057617188
last_prompt_token,10,20,20,2600,1170,3.442518711090088,6.734651565551758,68.8503646850586,134.69302368164062
