layer,train_accuracy,test_accuracy,train_log_loss,test_log_loss
0,1.0,0.5225631768953068,0.0015922472062358003,0.7785164523199202
1,1.0,0.5703971119133574,0.0017294540711442232,0.816079198852171
2,1.0,0.5694945848375451,0.0016466736035753039,0.7640092071955867
3,1.0,0.5595667870036101,0.0016223796194536615,0.7680990906801846
4,1.0,0.5749097472924187,0.0016032960567530772,0.740744938032488
5,1.0,0.6931407942238267,0.0015659944730883443,0.6068541528705045
6,1.0,0.7770758122743683,0.0014925592422968517,0.4780303604635942
7,1.0,0.8384476534296029,0.0014582452144424084,0.39255807436262685
8,1.0,0.9250902527075813,0.0012266971547200555,0.21961302228892274
9,1.0,0.9449458483754513,0.001148522883667043,0.17297511432301357
10,1.0,0.9503610108303249,0.0011300671443776238,0.15689901392648198
11,1.0,0.9648014440433214,0.001075191027126654,0.13496839351382373
12,1.0,0.9629963898916968,0.0010755304308003762,0.13403969373050265
13,1.0,0.9648014440433214,0.0010207430322849314,0.12765236513339948
14,1.0,0.9629963898916968,0.0010358364597801988,0.13918217238216288
15,1.0,0.9530685920577617,0.001057994925000833,0.15290020708067356
16,1.0,0.953971119133574,0.0010900809394856312,0.16276525003647446
17,1.0,0.9503610108303249,0.0011124476943982229,0.17087847857402316
18,1.0,0.9476534296028881,0.0011419132629470288,0.18484114858900635
19,1.0,0.9395306859205776,0.0011643819025008912,0.2002616594079167
20,1.0,0.9323104693140795,0.0011810252935029841,0.21400504429596764
21,1.0,0.924187725631769,0.001193998839480045,0.21787839801119124
22,1.0,0.9250902527075813,0.001231680792301322,0.22765699094558353
23,1.0,0.924187725631769,0.0012498063793082896,0.23421301537296918
24,1.0,0.9214801444043321,0.0012661408671751288,0.2369854576780608
25,1.0,0.9169675090252708,0.001269095390453496,0.24357469770296197
26,1.0,0.9187725631768953,0.001274124970091176,0.24977559687817363
27,1.0,0.9097472924187726,0.0012858204092871613,0.25515926488401625
28,1.0,0.9115523465703971,0.001277433453214185,0.26192149991749814
