task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
singular-plural,train,0.0,0.092,0.17315,0.16267,0.11663,0.0,0.05584,0.0822,0.07075,0.05192,0.0,10.00034,18.1352,15.64052,10.48133,0.0,6.76345,9.2618,6.45348,3.79012
singular_or_plural,train,0.0,0.08934,0.12219,0.09178,0.05672,0.0,0.05531,0.0756,0.06521,0.04851,0.0,9.18859,12.62505,8.96985,5.13671,0.0,5.90013,8.09798,6.30585,4.14388
smaller_of_pair,heldout,0.0,0.11743,0.17446,0.15509,0.11836,0.0,0.05281,0.06899,0.05737,0.04073,0.0,10.90917,15.36217,12.93462,9.23535,0.0,5.22401,6.01536,4.28889,2.30139
spanish-english,heldout,0.0,0.07944,0.12038,0.12488,0.11132,0.0,0.03525,0.05106,0.0486,0.03506,0.0,8.81016,13.00208,12.88437,11.20496,0.0,4.51067,6.21505,5.48126,3.85353
spanish_noun_gender,train,0.0,0.07312,0.10345,0.07277,0.04164,0.0,0.04472,0.06361,0.05004,0.03524,0.0,7.1108,10.01243,6.71757,3.57458,0.0,4.43859,6.22876,4.44121,2.74392
starts_with_vowel,train,0.0,0.04985,0.09965,0.082,0.05371,0.0,0.04086,0.06464,0.05278,0.03793,0.0,5.12721,9.35214,7.12653,4.26562,0.0,4.32596,5.88406,4.12272,2.48789
third_person_to_base,train,0.0,0.07884,0.16312,0.16072,0.10758,0.0,0.04972,0.08948,0.09026,0.06603,0.0,8.35093,17.07318,16.05913,9.90809,0.0,5.54404,9.75094,9.01353,5.62091
titlecase_phrase,train,0.0,0.06005,0.10018,0.05495,0.03318,0.0,0.04507,0.0624,0.03482,0.02168,0.0,6.08544,9.66156,4.56896,2.483,0.0,4.89716,6.14581,2.28447,0.92179
uppercase_word,heldout,0.0,0.07196,0.12437,0.0961,0.04883,0.0,0.03945,0.06187,0.05267,0.03475,0.0,7.26807,12.25651,8.53232,3.95251,0.0,4.23311,6.21794,3.94433,2.04012
us-city-state,train,0.0,0.06282,0.16268,0.14245,0.10925,0.0,0.02642,0.03725,0.02118,0.00946,0.0,5.48603,13.11423,10.66538,7.63447,0.0,2.0205,1.60508,-0.45884,-1.68318
verb_tense_label,train,0.0,0.05067,0.1036,0.08296,0.05747,0.0,0.02935,0.05413,0.04547,0.03291,0.0,4.82702,9.6346,7.43265,4.96962,0.0,2.7109,4.7409,3.65439,2.41698
verb_to_third_person,train,0.0,0.10976,0.18275,0.17468,0.11421,0.0,0.05135,0.07711,0.07647,0.05613,0.0,11.6421,18.91786,17.14331,10.48617,0.0,6.09998,8.55804,7.40577,4.49807
word_polarity,heldout,0.0,0.05384,0.13019,0.10783,0.06954,0.0,0.03053,0.06373,0.0557,0.04058,0.0,5.41245,12.53707,9.85864,5.99765,0.0,3.2292,6.11982,4.74084,3.01713
