task,group,cf_task,zero_shot,n1_baseline,n1_attnmask,n1_mean_ablation,n1_zero_ablation,n1_cf_mean_ablation,n1_cf_zero_ablation,n6_baseline,n6_attnmask,n6_mean_ablation,n6_zero_ablation,n6_cf_mean_ablation,n6_cf_zero_ablation
present-past,train,smaller_of_pair,0.0133,0.24,0.0,0.1,0.0067,0.2267,0.0867,0.78,0.0,0.6733,0.0,0.8667,0.3
prev_number_digits,train,person_place_thing,0.0,0.0867,0.0,0.06,0.0,0.1333,0.0067,0.8133,0.02,0.82,0.0,0.8867,0.2067
product-company,train,gerund_to_past,0.0,0.1,0.04,0.08,0.0,0.1133,0.0267,0.4733,0.1933,0.42,0.0,0.48,0.2867
sentiment,train,park-country,0.0,0.2267,0.0,0.14,0.0,0.2267,0.0467,0.6667,0.0,0.6933,0.0,0.7267,0.5533
singular-plural,train,city-country,0.0,0.4667,0.0067,0.4,0.0,0.46,0.0467,0.9,0.02,0.7933,0.0067,0.9133,0.4467
singular_or_plural,train,animal_plant_object,0.0,0.1533,0.0,0.1667,0.0,0.0933,0.0467,0.6133,0.0,0.6,0.0,0.5933,0.2733
smaller_of_pair,heldout,country-capital,0.0,0.2867,0.0133,0.1867,0.0,0.26,0.04,0.4933,0.0333,0.4267,0.0,0.42,0.1733
spanish-english,heldout,plural_to_singular,0.0,0.4667,0.1333,0.42,0.0133,0.4467,0.0467,0.7133,0.2,0.6933,0.0133,0.7,0.0933
spanish_noun_gender,train,english-french,0.0,0.1667,0.0,0.06,0.0,0.1533,0.0467,0.62,0.0,0.54,0.0,0.58,0.3933
starts_with_vowel,train,past_to_base,0.0,0.0867,0.0,0.0933,0.0067,0.0933,0.0667,0.46,0.0,0.52,0.0,0.4333,0.3533
third_person_to_base,train,initials_two_words,0.0,0.2267,0.02,0.1733,0.0133,0.3267,0.0133,0.8533,0.0867,0.74,0.0267,0.8133,0.2867
titlecase_phrase,train,verb_tense_label,0.0,0.1667,0.0,0.1133,0.0,0.16,0.0133,0.92,0.0,0.8333,0.0,0.9,0.1667
uppercase_word,heldout,english-spanish,0.0,0.22,0.0,0.2867,0.0,0.34,0.0067,0.9267,0.02,0.9333,0.0067,0.9333,0.6267
us-city-state,train,starts_with_vowel,0.0,0.4333,0.0267,0.28,0.0,0.36,0.1067,0.6533,0.0,0.6467,0.0,0.6867,0.3333
verb_tense_label,train,word_polarity,0.0,0.0667,0.0,0.0667,0.0133,0.06,0.0267,0.32,0.0,0.2533,0.02,0.32,0.14
verb_to_third_person,train,next_month_of_date,0.0,0.2867,0.0067,0.2,0.0,0.32,0.0067,0.7667,0.0133,0.6733,0.0,0.76,0.34
word_polarity,heldout,capitalize_first_letter,0.0,0.18,0.0,0.16,0.0,0.1533,0.0533,0.68,0.0,0.54,0.0,0.68,0.28
