task,group,cf_task,zero_shot,n1_baseline,n1_attnmask,n1_mean_ablation,n1_zero_ablation,n1_cf_mean_ablation,n1_cf_zero_ablation,n6_baseline,n6_attnmask,n6_mean_ablation,n6_zero_ablation,n6_cf_mean_ablation,n6_cf_zero_ablation
adjective_to_adverb,train,french-english,0.0,0.2533,0.0067,0.1667,0.0,0.2,0.0133,0.7067,0.0067,0.5067,0.0,0.6533,0.1067
adjective_to_noun,train,english-portuguese,0.0,0.12,0.0067,0.1133,0.0067,0.1067,0.0267,0.3133,0.1,0.3,0.0,0.44,0.1
ag_news,heldout,english-french,0.0,0.1533,0.02,0.12,0.0067,0.1533,0.06,0.3333,0.04,0.32,0.0067,0.4067,0.18
agent_noun_to_verb,train,number_word_to_digits,0.0,0.2333,0.0133,0.1533,0.0,0.16,0.0333,0.5867,0.0667,0.5733,0.0267,0.5867,0.2333
animal_class,train,spanish-english,0.0,0.2333,0.02,0.1867,0.0067,0.1733,0.04,0.6533,0.0067,0.6333,0.0067,0.7,0.06
animal_plant_object,train,antonym,0.0,0.08,0.0067,0.0933,0.0,0.0733,0.0333,0.5933,0.0067,0.4467,0.0267,0.5,0.1467
antonym,train,next_number_digits,0.0133,0.0333,0.02,0.0267,0.0,0.0333,0.0133,0.32,0.1067,0.2933,0.0133,0.3267,0.16
article_choice,train,prev_number_digits,0.0,0.06,0.0067,0.06,0.0,0.06,0.0333,0.5333,0.0,0.4733,0.0133,0.58,0.2933
capitalize,train,prev_number_digits,0.0,0.2733,0.0,0.2467,0.0,0.28,0.02,0.9067,0.0067,0.8467,0.02,0.8533,0.34
capitalize_first_letter,train,sentiment,0.0,0.0733,0.0067,0.0867,0.0,0.0667,0.0333,0.6067,0.0,0.5733,0.0,0.62,0.36
city-country,train,english-italian,0.0067,0.3533,0.02,0.2867,0.0067,0.36,0.0667,0.74,0.0267,0.6933,0.0133,0.7267,0.2333
compound_first,train,person-sport,0.0,0.1133,0.0867,0.0933,0.0133,0.1267,0.0133,0.5467,0.24,0.46,0.0267,0.5333,0.2133
concrete_abstract,train,verb_tense_label,0.0,0.02,0.0,0.0467,0.0,0.06,0.0133,0.4267,0.0,0.5067,0.0067,0.5267,0.1067
contains_letter_e,train,iso_date_to_month,0.0267,0.2267,0.02,0.1733,0.0133,0.1667,0.1533,0.54,0.0067,0.5133,0.0467,0.4467,0.44
country-capital,train,sentiment,0.0,0.46,0.0933,0.44,0.02,0.5,0.3,0.7533,0.2067,0.6933,0.0,0.74,0.52
day_after_textual_date,train,first_digit,0.0,0.4267,0.02,0.3467,0.0,0.4067,0.02,0.9533,0.0533,0.94,0.0,0.9667,0.26
ends_with_ing,heldout,next_month_of_date,0.0067,0.26,0.02,0.2467,0.0267,0.26,0.1467,0.5133,0.0133,0.44,0.0133,0.4067,0.4667
english-french,heldout,lowercase_word,0.0,0.1867,0.02,0.2133,0.0,0.24,0.0067,0.5533,0.06,0.54,0.02,0.5267,0.2333
english-italian,train,plural_to_singular,0.0,0.2333,0.0067,0.24,0.0,0.2,0.0,0.5467,0.0667,0.52,0.0,0.48,0.0667
english-portuguese,train,adjective_to_adverb,0.0,0.28,0.0,0.2933,0.0,0.2467,0.0067,0.54,0.1333,0.6333,0.0,0.4933,0.22
english-spanish,train,adjective_to_adverb,0.0,0.2933,0.0133,0.28,0.0,0.32,0.0067,0.5667,0.0733,0.5667,0.0,0.5733,0.2067
first_digit,heldout,word_polarity,0.0067,0.06,0.0333,0.0467,0.02,0.0533,0.02,0.6067,0.0467,0.4533,0.04,0.6,0.12
first_three_letters,train,singular_or_plural,0.0,0.1,0.0467,0.0533,0.0,0.0733,0.0133,0.3067,0.1667,0.3133,0.0067,0.3067,0.26
french-english,heldout,language_identification,0.0,0.4533,0.0867,0.3067,0.0133,0.4,0.0267,0.62,0.1933,0.6067,0.02,0.6667,0.2133
french_noun_gender,train,english-italian,0.0,0.1867,0.0,0.12,0.0,0.2067,0.1533,0.6533,0.0,0.4467,0.0,0.64,0.5067
german-english,train,german_noun_gender,0.0,0.2933,0.0667,0.2733,0.0067,0.34,0.0667,0.6533,0.0733,0.6667,0.0067,0.6267,0.3667
german_noun_gender,train,first_three_letters,0.0,0.0933,0.0,0.0867,0.0,0.08,0.0067,0.38,0.0,0.3667,0.0267,0.4733,0.1067
gerund_to_base,heldout,spanish-english,0.0,0.2133,0.0333,0.2533,0.0,0.26,0.0,0.72,0.0267,0.7067,0.0133,0.7667,0.1533
gerund_to_past,train,compound_first,0.0,0.1733,0.0067,0.1467,0.0,0.1533,0.0133,0.6067,0.0133,0.4333,0.0,0.5867,0.0867
hypernym_category,train,english-french,0.0,0.12,0.0267,0.0867,0.0067,0.0933,0.0133,0.32,0.02,0.28,0.0,0.3733,0.08
initials_two_words,heldout,person-instrument,0.0,0.04,0.0,0.0267,0.0,0.0267,0.0,0.6933,0.0,0.5067,0.0,0.6267,0.2933
iso_date_to_month,train,product-company,0.0,0.3333,0.0267,0.1933,0.0,0.2533,0.0467,0.9733,0.06,0.9267,0.0,0.9667,0.5533
iso_date_year_plus_one,train,initials_two_words,0.0,0.1133,0.0267,0.1067,0.0,0.1533,0.0067,0.8467,0.0267,0.78,0.0,0.8667,0.2533
landmark-country,train,adjective_to_adverb,0.0,0.1533,0.02,0.1333,0.0,0.1867,0.0333,0.5,0.0267,0.4267,0.0067,0.52,0.2933
language_identification,train,german_noun_gender,0.0,0.12,0.0,0.0867,0.0,0.1133,0.06,0.7667,0.0,0.56,0.0,0.66,0.2133
larger_of_pair,train,singular_or_plural,0.0,0.24,0.04,0.2267,0.0133,0.26,0.1133,0.56,0.02,0.5333,0.0,0.5,0.3333
larger_than_1000,train,past_to_base,0.0,0.18,0.0067,0.2333,0.0333,0.1067,0.1067,0.5267,0.02,0.52,0.0267,0.5733,0.4733
lowercase_first_letter,train,country-capital,0.0,0.16,0.0,0.1067,0.0,0.0867,0.0267,0.6533,0.0,0.6067,0.0133,0.68,0.38
lowercase_word,train,product-company,0.0,0.4267,0.0133,0.3533,0.0,0.4467,0.06,0.9733,0.0067,0.9133,0.0733,0.92,0.4467
national_parks,train,past_to_base,0.0,0.2933,0.1067,0.18,0.0,0.2467,0.08,0.5267,0.0933,0.4867,0.0,0.56,0.2133
natural_manmade,train,pos_label,0.0,0.02,0.0,0.0267,0.0,0.0467,0.02,0.6467,0.0,0.58,0.0,0.6,0.26
next_item,train,plural_to_singular,0.0267,0.1133,0.06,0.0933,0.0333,0.1133,0.0267,0.5,0.06,0.3933,0.0133,0.48,0.0267
next_month_of_date,train,verb_tense_label,0.0067,0.1467,0.0333,0.1333,0.0,0.1467,0.1333,0.6733,0.08,0.34,0.0,0.4933,0.24
next_number_digits,train,pos_label,0.0133,0.2533,0.0067,0.1467,0.0,0.2333,0.04,0.8867,0.02,0.82,0.0,0.8867,0.7067
number_word_to_digits,train,person-sport,0.0,0.5467,0.06,0.4333,0.0133,0.5,0.18,0.7067,0.0933,0.7067,0.0067,0.7067,0.5933
park-country,train,german-english,0.0,0.2933,0.04,0.24,0.0133,0.3067,0.0667,0.52,0.1267,0.4333,0.0067,0.54,0.1933
past_to_base,heldout,animal_plant_object,0.0,0.2133,0.0467,0.1867,0.0067,0.2,0.0733,0.76,0.08,0.6733,0.0067,0.7533,0.42
person-instrument,train,antonym,0.0,0.1333,0.0,0.0667,0.0,0.1,0.0133,0.26,0.0,0.1667,0.0,0.28,0.0733
person-sport,train,french_noun_gender,0.0,0.2933,0.0,0.2,0.0,0.2933,0.1067,0.7,0.0,0.54,0.0,0.6667,0.3067
person_place_thing,heldout,gerund_to_base,0.0,0.04,0.0067,0.0733,0.02,0.0667,0.04,0.62,0.0,0.5467,0.0333,0.6067,0.1267
plural_to_singular,train,english-portuguese,0.0,0.1933,0.0333,0.1267,0.0,0.2,0.0067,0.8267,0.0867,0.64,0.0067,0.7267,0.24
pos_label,heldout,larger_of_pair,0.0,0.1267,0.0,0.0867,0.0,0.1,0.0733,0.56,0.0,0.4867,0.0,0.5733,0.46
