task,group,icl_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
ag_news,train,1,-7.71677,-1.52269,5.83306,-15.5374,-10.0539,7.37759,5.03293,-0.507071,5.52922,-10.1252
ag_news,train,2,-14.9144,0.437109,11.2826,-21.9854,-17.8044,17.2198,4.90195,-6.5984,4.05176,-5.1204
ag_news,train,3,-19.2944,-1.0102,12.2212,-22.5862,-18.5099,21.6643,5.89445,-8.65331,3.19669,-2.29535
ag_news,train,4,-20.9553,-1.47616,12.6153,-22.6358,-18.1291,23.1257,5.97854,-9.59032,2.88194,-1.0913
ag_news,train,5,-21.6186,-1.65717,12.5664,-22.5912,-17.9424,23.4145,5.91723,-9.91699,2.70144,-0.768001
ag_news,train,6,-22.3441,-1.82661,12.7772,-22.5519,-18.0267,23.8663,5.94329,-10.417,2.8221,-0.0508925
ag_news,train,7,-22.5759,-1.79871,12.9263,-22.4164,-17.8622,24.0932,5.83997,-10.6151,2.69446,0.241949
ag_news,train,8,-22.8988,-1.77598,13.0577,-22.3254,-17.7619,24.3848,5.77119,-10.8233,2.65658,0.615222
ag_news,train,9,-23.0734,-1.60004,13.265,-22.4236,-17.9369,24.7215,5.70452,-11.0057,2.60417,0.759705
ag_news,train,10,-23.1558,-1.52678,13.3783,-22.2687,-17.6716,24.6739,5.60111,-11.0741,2.57371,0.876824
capitalize_last_letter,train,1,-3.35956,-0.174469,2.77471,-0.701559,-0.840802,3.32721,4.05664,-0.570444,4.46124,-7.21698
capitalize_last_letter,train,2,7.16373,12.1444,0.399748,-0.0806317,-1.13158,1.43504,0.71944,0.216757,1.93361,-1.29484
capitalize_last_letter,train,3,10.0801,16.5238,-3.67456,0.0255936,0.972056,0.348139,-0.185396,1.15106,1.89681,1.11503
capitalize_last_letter,train,4,10.7944,18.7464,-6.4163,-1.51258,2.5726,0.606336,-1.28008,0.907178,1.64695,1.44737
capitalize_last_letter,train,5,10.8729,19.9317,-7.56386,-2.99426,3.7482,1.30197,-2.02286,0.741664,1.4121,1.53521
capitalize_last_letter,train,6,10.9341,20.6048,-8.14905,-3.71124,4.49382,1.59573,-2.88238,0.27141,1.48768,1.793
capitalize_last_letter,train,7,10.6795,21.1467,-8.73868,-4.47769,5.01981,1.87992,-3.08901,0.163945,1.5274,1.95674
capitalize_last_letter,train,8,10.9807,21.8343,-9.11914,-5.03616,5.43146,2.11074,-3.38613,-0.0310421,1.35834,2.05059
capitalize_last_letter,train,9,10.7551,22.0809,-9.359,-5.58737,5.7994,2.31851,-3.69443,0.0111797,1.44458,2.09581
capitalize_last_letter,train,10,10.6738,22.5727,-9.46905,-5.88799,6.1976,2.53252,-3.98775,-0.262435,1.40086,2.21611
capitalize_second_letter,train,1,-3.59755,-0.0866216,2.83742,-0.856807,-0.925757,3.19096,4.05408,-0.419274,4.47997,-7.17521
capitalize_second_letter,train,2,8.0637,10.8281,0.866712,-0.0589622,-1.26127,2.33309,0.11367,0.505908,1.75051,-1.91455
capitalize_second_letter,train,3,10.9463,15.0112,-2.85857,0.438646,0.560463,0.873576,-0.504962,1.31472,1.65331,0.667985
capitalize_second_letter,train,4,11.6516,16.94,-4.80884,-0.928406,2.62285,0.91363,-1.61761,1.35948,1.66195,1.0275
capitalize_second_letter,train,5,11.9013,18.1578,-6.27525,-2.45851,3.68838,1.26735,-2.59041,0.886077,1.60792,1.08686
capitalize_second_letter,train,6,11.0874,19.3091,-7.25304,-3.23413,4.58109,1.53903,-3.10458,0.636069,1.82924,1.5749
capitalize_second_letter,train,7,11.2033,19.9646,-7.73444,-3.83898,5.21178,1.85033,-3.44334,0.501956,1.71898,1.81781
capitalize_second_letter,train,8,11.1743,20.8026,-8.1018,-4.51282,5.59097,1.97003,-3.81681,0.304084,1.75006,1.988
capitalize_second_letter,train,9,11.4617,21.0862,-8.7063,-5.06767,5.66509,2.25741,-3.88835,0.252249,1.52698,1.86587
