family,mean,median,sd,min,max
read_taskunique_v1,-0.0089,-0.0737,0.2236,-0.3460,0.9958
write_centered,-0.0099,-0.0515,0.2634,-0.4781,0.9926
write_raw,0.3926,0.3548,0.1745,0.0499,0.9951
pair_agreement_pearson,0.9317,,,,
pair_agreement_spearman,0.9061,,,,
