family,direction,layer,alpha,target_rate,unsteered,unscorable
num_words,nat2alt,4,0.5,0.06,0.02,0.08
num_words,nat2alt,4,1.0,0.6,0.02,0.08
num_words,nat2alt,4,2.0,0.7,0.02,0.14
num_words,nat2alt,4,4.0,0.72,0.02,0.12
num_words,nat2alt,6,0.5,0.06,0.02,0.08
num_words,nat2alt,6,1.0,0.6,0.02,0.08
num_words,nat2alt,6,2.0,0.78,0.02,0.04
num_words,nat2alt,6,4.0,0.54,0.02,0.24
num_words,nat2alt,8,0.5,0.02,0.02,0.04
num_words,nat2alt,8,1.0,0.64,0.02,0.1
num_words,nat2alt,8,2.0,0.7,0.02,0.08
num_words,nat2alt,8,4.0,0.76,0.02,0.1
num_words,nat2alt,10,0.5,0.04,0.02,0.04
num_words,nat2alt,10,1.0,0.54,0.02,0.08
num_words,nat2alt,10,2.0,0.58,0.02,0.12
num_words,nat2alt,10,4.0,0.64,0.02,0.08
num_words,nat2alt,12,0.5,0.1,0.02,0.06
num_words,nat2alt,12,1.0,0.56,0.02,0.04
num_words,nat2alt,12,2.0,0.56,0.02,0.18
num_words,nat2alt,12,4.0,0.58,0.02,0.16
num_words,nat2alt,16,0.5,0.08,0.02,0.08
num_words,nat2alt,16,1.0,0.62,0.02,0.04
num_words,nat2alt,16,2.0,0.66,0.02,0.12
num_words,nat2alt,16,4.0,0.72,0.02,0.08
num_words,nat2alt,20,0.5,0.0,0.02,0.08
num_words,nat2alt,20,1.0,0.48,0.02,0.04
num_words,nat2alt,20,2.0,0.64,0.02,0.08
num_words,nat2alt,20,4.0,0.68,0.02,0.08
num_words,nat2alt,24,0.5,0.04,0.02,0.04
num_words,nat2alt,24,1.0,0.24,0.02,0.14
num_words,nat2alt,24,2.0,0.64,0.02,0.06
num_words,nat2alt,24,4.0,0.58,0.02,0.06
num_words,alt2nat,2,0.5,0.64,0.46,0.1
num_words,alt2nat,2,1.0,0.96,0.46,0.04
num_words,alt2nat,2,2.0,0.86,0.46,0.08
num_words,alt2nat,2,4.0,0.9,0.46,0.1
num_words,alt2nat,4,0.5,0.64,0.46,0.12
num_words,alt2nat,4,1.0,0.9,0.46,0.06
num_words,alt2nat,4,2.0,0.84,0.46,0.08
num_words,alt2nat,4,4.0,0.88,0.46,0.08
num_words,alt2nat,6,0.5,0.66,0.46,0.06
num_words,alt2nat,6,1.0,0.92,0.46,0.08
num_words,alt2nat,6,2.0,0.88,0.46,0.08
num_words,alt2nat,6,4.0,0.82,0.46,0.08
num_words,alt2nat,8,0.5,0.74,0.46,0.08
num_words,alt2nat,8,1.0,0.84,0.46,0.08
num_words,alt2nat,8,2.0,0.78,0.46,0.12
num_words,alt2nat,8,4.0,0.82,0.46,0.04
num_words,alt2nat,10,0.5,0.7,0.46,0.08
num_words,alt2nat,10,1.0,0.9,0.46,0.08
num_words,alt2nat,10,2.0,0.84,0.46,0.08
num_words,alt2nat,10,4.0,0.8,0.46,0.08
num_words,alt2nat,12,0.5,0.72,0.46,0.06
num_words,alt2nat,12,1.0,0.88,0.46,0.1
num_words,alt2nat,12,2.0,0.8,0.46,0.08
num_words,alt2nat,12,4.0,0.84,0.46,0.02
num_words,alt2nat,16,0.5,0.68,0.46,0.08
num_words,alt2nat,16,1.0,0.94,0.46,0.04
num_words,alt2nat,16,2.0,0.86,0.46,0.08
num_words,alt2nat,16,4.0,0.86,0.46,0.08
num_words,alt2nat,20,0.5,0.76,0.46,0.06
num_words,alt2nat,20,1.0,0.88,0.46,0.04
num_words,alt2nat,20,2.0,0.82,0.46,0.08
num_words,alt2nat,20,4.0,0.76,0.46,0.1
num_words,alt2nat,24,0.5,0.6,0.46,0.08
num_words,alt2nat,24,1.0,0.8,0.46,0.06
num_words,alt2nat,24,2.0,0.8,0.46,0.1
num_words,alt2nat,24,4.0,0.76,0.46,0.06
ordinal_words,nat2alt,2,0.5,0.0,0.0,0.0
ordinal_words,nat2alt,2,1.0,0.98,0.0,0.02
ordinal_words,nat2alt,2,2.0,0.98,0.0,0.0
ordinal_words,nat2alt,2,4.0,0.94,0.0,0.06
ordinal_words,nat2alt,4,0.5,0.04,0.0,0.0
ordinal_words,nat2alt,4,1.0,0.98,0.0,0.02
ordinal_words,nat2alt,4,2.0,0.98,0.0,0.02
ordinal_words,nat2alt,4,4.0,1.0,0.0,0.0
ordinal_words,nat2alt,6,0.5,0.02,0.0,0.0
ordinal_words,nat2alt,6,1.0,0.96,0.0,0.02
ordinal_words,nat2alt,6,2.0,0.92,0.0,0.02
ordinal_words,nat2alt,6,4.0,0.98,0.0,0.0
ordinal_words,nat2alt,8,0.5,0.0,0.0,0.0
ordinal_words,nat2alt,8,1.0,0.96,0.0,0.02
ordinal_words,nat2alt,8,2.0,1.0,0.0,0.0
ordinal_words,nat2alt,8,4.0,1.0,0.0,0.0
ordinal_words,nat2alt,10,0.5,0.04,0.0,0.0
ordinal_words,nat2alt,10,1.0,0.98,0.0,0.0
ordinal_words,nat2alt,10,2.0,1.0,0.0,0.0
ordinal_words,nat2alt,10,4.0,1.0,0.0,0.0
ordinal_words,nat2alt,12,0.5,0.04,0.0,0.0
ordinal_words,nat2alt,12,1.0,0.9,0.0,0.06
ordinal_words,nat2alt,12,2.0,1.0,0.0,0.0
ordinal_words,nat2alt,12,4.0,0.96,0.0,0.04
ordinal_words,nat2alt,16,0.5,0.02,0.0,0.0
ordinal_words,nat2alt,16,1.0,0.98,0.0,0.0
ordinal_words,nat2alt,16,2.0,0.98,0.0,0.0
ordinal_words,nat2alt,16,4.0,0.96,0.0,0.04
ordinal_words,nat2alt,20,0.5,0.0,0.0,0.02
ordinal_words,nat2alt,20,1.0,0.88,0.0,0.02
ordinal_words,nat2alt,20,2.0,1.0,0.0,0.0
ordinal_words,nat2alt,20,4.0,0.98,0.0,0.0
ordinal_words,nat2alt,24,0.5,0.0,0.0,0.0
ordinal_words,nat2alt,24,1.0,0.08,0.0,0.02
ordinal_words,nat2alt,24,2.0,0.68,0.0,0.02
ordinal_words,nat2alt,24,4.0,0.78,0.0,0.02
ordinal_words,alt2nat,2,0.5,0.06,0.02,0.02
ordinal_words,alt2nat,2,1.0,0.9,0.02,0.06
ordinal_words,alt2nat,2,2.0,0.7,0.02,0.26
ordinal_words,alt2nat,2,4.0,0.72,0.02,0.26
ordinal_words,alt2nat,4,0.5,0.06,0.02,0.04
ordinal_words,alt2nat,4,1.0,0.94,0.02,0.04
ordinal_words,alt2nat,4,2.0,0.88,0.02,0.1
ordinal_words,alt2nat,4,4.0,0.86,0.02,0.12
