family,direction,context,target,k_ctx,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,unsteered_accuracy,unsteered_ci_lo,unsteered_ci_hi,unsteered_judge_ok,cf_accuracy,reference,reach,pass_50,sig_vs_unsteered
us_uk,alt2nat,alt,nat,3,16,2.0,200,0.84,0.783,0.884,0.855,0.03,0.115,0.975,0.22,0.168,0.282,0.995,0.815,0.805,1.043,True,True
us_uk,nat2alt,nat,alt,3,12,2.0,200,0.73,0.665,0.787,0.73,0.13,0.14,0.995,0.035,0.017,0.07,0.985,0.7,0.595,1.227,True,True
ise_ize,alt2nat,alt,nat,3,12,1.0,200,0.875,0.822,0.914,0.875,0.005,0.12,0.99,0.12,0.082,0.172,0.99,0.145,0.875,1.0,True,True
ise_ize,nat2alt,nat,alt,3,6,1.0,200,0.655,0.587,0.717,0.66,0.21,0.13,0.995,0.0,0.0,0.019,0.995,0.0,0.685,0.956,True,True
contractions,alt2nat,alt,nat,3,10,2.0,200,0.81,0.75,0.858,0.83,0.1,0.07,0.98,0.26,0.204,0.325,0.97,0.37,0.8,1.012,True,True
contractions,nat2alt,nat,alt,3,6,4.0,200,0.62,0.551,0.684,0.62,0.32,0.06,0.99,0.1,0.066,0.149,0.995,0.18,0.685,0.905,True,True
num_words,alt2nat,alt,nat,3,2,1.0,200,0.92,0.874,0.95,0.94,0.005,0.055,0.975,0.44,0.373,0.509,0.97,0.86,0.925,0.995,True,True
num_words,nat2alt,nat,alt,3,6,2.0,200,0.615,0.546,0.68,0.665,0.235,0.1,0.92,0.015,0.005,0.043,0.99,0.295,0.475,1.295,True,True
ordinal_words,alt2nat,alt,nat,3,4,1.0,200,0.9,0.851,0.934,0.92,0.05,0.03,0.98,0.03,0.014,0.064,0.98,0.025,0.975,0.923,True,True
ordinal_words,nat2alt,nat,alt,3,8,2.0,200,0.925,0.88,0.954,0.99,0.0,0.01,0.935,0.0,0.0,0.019,0.985,0.01,0.92,1.005,True,True
uk_vocab,alt2nat,alt,nat,3,8,2.0,200,0.71,0.644,0.768,0.73,0.1,0.17,0.955,0.47,0.402,0.539,1.0,0.57,0.68,1.044,True,True
uk_vocab,nat2alt,nat,alt,3,8,4.0,200,0.465,0.397,0.534,0.47,0.29,0.24,0.97,0.12,0.082,0.172,0.97,0.095,0.335,1.388,True,True
register,alt2nat,alt,nat,3,2,4.0,200,0.75,0.686,0.805,0.765,0.15,0.085,0.985,0.505,0.436,0.574,0.975,0.62,0.705,1.064,True,True
register,nat2alt,nat,alt,3,12,4.0,200,0.455,0.387,0.524,0.49,0.275,0.235,0.915,0.205,0.155,0.266,0.98,0.165,0.3,1.517,True,True
unit_abbr,alt2nat,alt,nat,3,10,2.0,200,0.985,0.957,0.995,1.0,0.0,0.0,0.985,0.545,0.476,0.613,0.985,0.57,0.96,1.026,True,True
unit_abbr,nat2alt,nat,alt,3,4,4.0,200,0.74,0.675,0.796,0.76,0.155,0.085,0.965,0.015,0.005,0.043,0.98,0.01,0.48,1.542,True,True
diacritics,alt2nat,alt,nat,3,6,4.0,200,0.475,0.407,0.544,0.485,0.27,0.245,0.99,0.41,0.344,0.479,0.985,0.385,0.44,1.08,True,False
diacritics,nat2alt,nat,alt,3,6,2.0,200,0.37,0.306,0.439,0.37,0.4,0.23,0.975,0.3,0.241,0.367,0.97,0.3,0.39,0.949,True,True
latin_plural,alt2nat,alt,nat,3,6,1.0,200,0.555,0.486,0.622,0.59,0.32,0.09,0.95,0.485,0.417,0.554,0.965,0.495,0.56,0.991,True,True
latin_plural,nat2alt,nat,alt,3,16,4.0,200,0.45,0.383,0.519,0.49,0.42,0.09,0.94,0.31,0.25,0.377,0.945,0.31,0.4,1.125,True,True
title_abbr,alt2nat,alt,nat,3,4,4.0,200,0.655,0.587,0.717,0.685,0.18,0.135,0.945,0.345,0.283,0.413,0.935,0.51,0.595,1.101,True,True
title_abbr,nat2alt,nat,alt,3,8,2.0,200,0.405,0.339,0.474,0.42,0.37,0.21,0.95,0.26,0.204,0.325,0.98,0.22,0.435,0.931,True,True
pt_br_eu,alt2nat,alt,nat,3,2,4.0,200,0.875,0.822,0.914,0.93,0.0,0.07,0.94,0.48,0.412,0.549,0.92,0.825,0.83,1.054,True,True
pt_br_eu,nat2alt,nat,alt,3,6,4.0,200,0.6,0.531,0.665,0.63,0.255,0.115,0.905,0.025,0.011,0.057,0.925,0.025,0.335,1.791,True,True
pt_acordo_eu,alt2nat,alt,nat,3,16,2.0,200,0.71,0.644,0.768,0.735,0.105,0.16,0.955,0.35,0.287,0.418,0.955,0.665,0.685,1.036,True,True
pt_acordo_eu,nat2alt,nat,alt,3,12,4.0,200,0.685,0.618,0.745,0.715,0.16,0.125,0.94,0.1,0.066,0.149,0.955,0.71,0.465,1.473,True,True
es_rae2010,alt2nat,alt,nat,3,4,4.0,200,0.7,0.633,0.759,0.76,0.04,0.2,0.915,0.37,0.306,0.439,0.87,0.245,0.635,1.102,True,True
es_rae2010,nat2alt,nat,alt,3,24,4.0,200,0.505,0.436,0.574,0.575,0.26,0.165,0.885,0.04,0.02,0.077,0.92,0.06,0.325,1.554,True,True
