family,direction,context,target,k_ctx,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k,step3_context_k
contractions,nat2alt,nat,alt,3,nat2alt_cf,6,2.0,num_words,200,0.18,0.133,0.239,0.18,0.715,0.105,0.95,0.0,4.9,0.685,0.8
contractions,alt2nat,alt,nat,3,base,0,0.0,,200,0.26,0.204,0.325,0.26,0.665,0.075,0.97,0.0,4.8,0.8,0.685
contractions,alt2nat,alt,nat,3,alt2nat_top1,10,2.0,,200,0.81,0.75,0.858,0.83,0.1,0.07,0.98,0.0,4.8,0.8,0.685
contractions,alt2nat,alt,nat,3,alt2nat_top2,2,4.0,,200,0.795,0.734,0.845,0.825,0.085,0.09,0.97,0.0,4.8,0.8,0.685
contractions,alt2nat,alt,nat,3,alt2nat_cf,10,2.0,num_words,200,0.37,0.306,0.439,0.375,0.555,0.07,0.995,0.005,4.8,0.8,0.685
num_words,nat2alt,nat,alt,3,base,0,0.0,,200,0.015,0.005,0.043,0.015,0.935,0.05,0.99,0.0,6.3,0.475,0.925
num_words,nat2alt,nat,alt,3,nat2alt_top1,6,2.0,,200,0.615,0.546,0.68,0.665,0.235,0.1,0.92,0.005,6.3,0.475,0.925
num_words,nat2alt,nat,alt,3,nat2alt_top2,8,4.0,,200,0.56,0.491,0.627,0.65,0.28,0.07,0.84,0.005,6.3,0.475,0.925
num_words,nat2alt,nat,alt,3,nat2alt_cf,6,2.0,ordinal_words,200,0.295,0.236,0.362,0.335,0.49,0.175,0.855,0.0,6.3,0.475,0.925
num_words,alt2nat,alt,nat,3,base,0,0.0,,200,0.44,0.373,0.509,0.45,0.475,0.075,0.97,0.0,3.0,0.925,0.475
num_words,alt2nat,alt,nat,3,alt2nat_top1,2,1.0,,200,0.92,0.874,0.95,0.94,0.005,0.055,0.975,0.0,3.0,0.925,0.475
num_words,alt2nat,alt,nat,3,alt2nat_top2,16,1.0,,200,0.895,0.845,0.93,0.905,0.035,0.06,0.99,0.0,3.0,0.925,0.475
num_words,alt2nat,alt,nat,3,alt2nat_cf,2,1.0,ordinal_words,200,0.86,0.805,0.901,0.875,0.085,0.04,0.965,0.005,3.0,0.925,0.475
ordinal_words,nat2alt,nat,alt,3,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.99,0.01,0.985,0.015,9.0,0.92,0.975
ordinal_words,nat2alt,nat,alt,3,nat2alt_top1,8,2.0,,200,0.925,0.88,0.954,0.99,0.0,0.01,0.935,0.005,9.0,0.92,0.975
ordinal_words,nat2alt,nat,alt,3,nat2alt_top2,10,2.0,,200,0.92,0.874,0.95,0.995,0.0,0.005,0.925,0.0,9.0,0.92,0.975
ordinal_words,nat2alt,nat,alt,3,nat2alt_cf,8,2.0,uk_vocab,200,0.01,0.003,0.036,0.01,0.99,0.0,0.97,0.015,9.0,0.92,0.975
ordinal_words,alt2nat,alt,nat,3,base,0,0.0,,200,0.03,0.014,0.064,0.03,0.96,0.01,0.98,0.01,3.0,0.975,0.92
ordinal_words,alt2nat,alt,nat,3,alt2nat_top1,6,1.0,,200,0.88,0.828,0.918,0.905,0.05,0.045,0.955,0.015,3.0,0.975,0.92
ordinal_words,alt2nat,alt,nat,3,alt2nat_top2,4,1.0,,200,0.9,0.851,0.934,0.92,0.05,0.03,0.98,0.015,3.0,0.975,0.92
ordinal_words,alt2nat,alt,nat,3,alt2nat_cf,6,1.0,uk_vocab,200,0.025,0.011,0.057,0.025,0.94,0.035,0.94,0.01,3.0,0.975,0.92
uk_vocab,nat2alt,nat,alt,3,base,0,0.0,,200,0.12,0.082,0.172,0.12,0.675,0.205,0.97,0.0,4.0,0.335,0.68
uk_vocab,nat2alt,nat,alt,3,nat2alt_top1,8,4.0,,200,0.465,0.397,0.534,0.47,0.29,0.24,0.97,0.0,4.0,0.335,0.68
uk_vocab,nat2alt,nat,alt,3,nat2alt_top2,16,2.0,,200,0.405,0.339,0.474,0.41,0.365,0.225,0.995,0.0,4.0,0.335,0.68
uk_vocab,nat2alt,nat,alt,3,nat2alt_cf,8,4.0,register,200,0.095,0.062,0.144,0.095,0.625,0.28,0.945,0.0,4.0,0.335,0.68
uk_vocab,alt2nat,alt,nat,3,base,0,0.0,,200,0.47,0.402,0.539,0.47,0.32,0.21,1.0,0.0,4.7,0.68,0.335
uk_vocab,alt2nat,alt,nat,3,alt2nat_top1,6,2.0,,200,0.7,0.633,0.759,0.705,0.095,0.2,0.98,0.0,4.7,0.68,0.335
uk_vocab,alt2nat,alt,nat,3,alt2nat_top2,8,2.0,,200,0.71,0.644,0.768,0.73,0.1,0.17,0.955,0.0,4.7,0.68,0.335
uk_vocab,alt2nat,alt,nat,3,alt2nat_cf,6,2.0,register,200,0.57,0.501,0.637,0.575,0.205,0.22,0.97,0.0,4.7,0.68,0.335
register,nat2alt,nat,alt,3,base,0,0.0,,200,0.205,0.155,0.266,0.205,0.715,0.08,0.98,0.0,3.5,0.3,0.705
register,nat2alt,nat,alt,3,nat2alt_top1,12,4.0,,200,0.455,0.387,0.524,0.49,0.275,0.235,0.915,0.0,3.5,0.3,0.705
register,nat2alt,nat,alt,3,nat2alt_top2,10,2.0,,200,0.395,0.33,0.464,0.395,0.455,0.15,0.985,0.0,3.5,0.3,0.705
register,nat2alt,nat,alt,3,nat2alt_cf,12,4.0,diacritics,200,0.165,0.12,0.223,0.175,0.75,0.075,0.98,0.0,3.5,0.3,0.705
register,alt2nat,alt,nat,3,base,0,0.0,,200,0.505,0.436,0.574,0.515,0.355,0.13,0.975,0.0,3.1,0.705,0.3
register,alt2nat,alt,nat,3,alt2nat_top1,6,2.0,,200,0.73,0.665,0.787,0.74,0.18,0.08,0.985,0.0,3.1,0.705,0.3
register,alt2nat,alt,nat,3,alt2nat_top2,2,4.0,,200,0.75,0.686,0.805,0.765,0.15,0.085,0.985,0.0,3.1,0.705,0.3
register,alt2nat,alt,nat,3,alt2nat_cf,6,2.0,diacritics,200,0.62,0.551,0.684,0.635,0.26,0.105,0.975,0.005,3.1,0.705,0.3
