model,vector,n_tasks,n_pairs,mean,median,p5,p95
GPT-J,label_mean,69,2346,0.7267,0.7118,0.6007,0.9011
GPT-J,task_fv,69,2346,0.3926,0.3548,0.1717,0.743
GPT-J,task_specific_u,69,2346,-0.0042,-0.0769,-0.2458,0.4509
