condition,mean_logit_diff,recovery
baseline,-1.5073,
demo2_prelabel.open,-1.4361,0.0151
demo2_prelabel.isolated,-1.5542,-0.0099
both_labels.open,3.0429,0.9613
both_labels.isolated,3.0030,0.9528
target_ceiling,3.2262,
