layer,carrier_cue,carrier_target,carrier_input,v1_cue,v1_target,v1_input,write_cue,write_target,write_input
0,0.65818,0.63101,0.62206,0.00566,0.11845,0.01310,0.07647,0.07588,0.08498
1,0.63609,0.60545,0.57986,0.00515,0.15358,0.01675,0.07236,0.06851,0.07740
2,0.60118,0.58059,0.53880,0.00466,0.19072,0.02027,0.06261,0.06046,0.06987
3,0.60824,0.62553,0.56947,0.01122,0.22623,0.03003,0.08004,0.07422,0.08003
4,0.64366,0.68842,0.62152,0.00986,0.25420,0.03433,0.11573,0.09393,0.08985
5,0.65420,0.68742,0.62172,0.01896,0.32716,0.05063,0.13024,0.10823,0.10048
6,0.64169,0.70995,0.63182,0.02533,0.35813,0.05654,0.18566,0.13828,0.11602
7,0.61431,0.67197,0.59973,0.02529,0.37878,0.05900,0.18847,0.13782,0.11663
8,0.57834,0.64452,0.57044,0.02633,0.34518,0.05816,0.23992,0.18456,0.12475
9,0.51481,0.59804,0.52617,0.03023,0.32696,0.05757,0.25634,0.21480,0.13452
10,0.49428,0.55683,0.48518,0.03002,0.31278,0.05625,0.24135,0.20282,0.12776
11,0.45784,0.50452,0.43417,0.03043,0.29528,0.05497,0.26399,0.21429,0.14467
12,0.39856,0.45297,0.38444,0.02900,0.28591,0.05495,0.27836,0.20461,0.13383
13,0.36713,0.42686,0.35687,0.02945,0.27476,0.05303,0.30673,0.22031,0.14389
14,0.33027,0.40903,0.33287,0.03258,0.26818,0.05181,0.28690,0.21038,0.13943
15,0.30805,0.39599,0.32326,0.03044,0.25581,0.05026,0.29924,0.21959,0.14746
16,0.28793,0.38348,0.31894,0.02945,0.24375,0.04796,0.29345,0.21656,0.14664
17,0.24743,0.35443,0.29638,0.02833,0.23878,0.04771,0.28308,0.21053,0.14403
18,0.23905,0.34977,0.29310,0.02703,0.22401,0.04562,0.28005,0.21644,0.14807
19,0.22470,0.32428,0.27265,0.02557,0.21107,0.04398,0.27275,0.21296,0.14529
20,0.20356,0.29596,0.26133,0.02531,0.19580,0.04267,0.26848,0.22754,0.15459
21,0.18545,0.27416,0.24502,0.02396,0.18348,0.03998,0.25668,0.21752,0.15083
22,0.17596,0.26154,0.23727,0.02211,0.17427,0.03782,0.25231,0.21203,0.14931
23,0.18212,0.26124,0.23576,0.02128,0.16477,0.03568,0.24986,0.21151,0.15065
24,0.15917,0.22794,0.20026,0.02020,0.15236,0.03279,0.24368,0.20713,0.14777
25,0.14828,0.20316,0.17043,0.01822,0.13189,0.02834,0.23741,0.20029,0.14431
26,0.10416,0.16808,0.13205,0.01368,0.10654,0.02246,0.21880,0.19193,0.14146
27,0.12900,0.19039,0.15006,0.01095,0.09713,0.01930,0.20783,0.19751,0.15008
