gap,n,near_miss,underscore,empty,own_pool,other_pool,other
fullmean_right_swap_wrong (swap's category),2122,35,174,59,432,256,1166
swap_right_fullmean_wrong (fullmean's category),1350,12,41,9,381,225,682
