task,swap_cond,fullmean_cond,swap_correct,swap_near_miss,swap_underscore,swap_empty,swap_own_pool,swap_other_pool,swap_other,fullmean_correct,fullmean_near_miss,fullmean_underscore,fullmean_empty,fullmean_own_pool,fullmean_other_pool,fullmean_other,gap_fm_right_sw_wrong
natural_manmade,dummy6_swap1_a32.0,dummy6_steer_a4.0,24,0,2,3,14,24,83,13,0,1,4,3,47,82,9
next_item,dummy6_swap1_a32.0,dummy6_steer_a4.0,47,2,4,1,44,13,39,55,4,4,0,45,23,19,31
next_month_of_date,dummy6_swap1_a32.0,dummy6_steer_a4.0,14,0,0,2,92,5,37,20,0,1,2,60,4,63,19
next_number_digits,dummy6_swap1_a32.0,dummy6_steer_a4.0,92,0,9,1,28,13,7,134,0,1,0,11,2,2,48
number_word_to_digits,dummy6_swap1_a32.0,dummy6_steer_a4.0,69,0,2,1,25,29,24,56,0,0,1,33,39,21,11
park-country,dummy6_swap1_a16.0,dummy6_steer_a4.0,38,0,62,2,28,4,16,47,0,0,7,62,2,32,27
past_to_base,dummy6_swap1_a64.0,dummy6_steer_a2.0,103,3,3,0,3,15,23,112,0,4,1,4,13,16,30
person-instrument,dummy6_swap1_a32.0,dummy6_steer_a4.0,11,2,11,3,25,3,95,30,1,1,2,35,5,76,25
person-sport,dummy6_swap1_a32.0,dummy6_steer_a4.0,45,5,10,2,15,8,65,47,1,0,5,25,8,64,23
person_place_thing,dummy6_swap1_a32.0,dummy6_steer_a4.0,43,0,5,2,23,15,62,25,0,5,1,31,28,60,15
plural_to_singular,dummy6_swap1_a32.0,dummy6_steer_a4.0,106,1,2,1,0,8,32,131,0,0,0,1,2,16,35
pos_label,dummy6_swap1_a32.0,dummy6_steer_a4.0,51,0,24,5,26,8,36,23,0,2,0,46,21,58,14
present-past,dummy6_swap1_a64.0,dummy6_steer_a4.0,91,1,0,2,0,22,34,114,0,0,0,0,26,10,39
prev_number_digits,dummy6_swap1_a48.0,dummy6_steer_a4.0,122,0,0,0,22,4,2,66,0,1,0,61,15,7,12
product-company,dummy6_swap1_a32.0,dummy6_steer_a4.0,31,0,3,3,31,1,81,38,1,0,1,27,2,81,23
