method,n,correct_frac,near_miss_frac,underscore_frac,empty_frac,own_pool_frac,other_pool_frac,other_frac
swap,10350,0.3725,0.0051,0.0553,0.0178,0.1449,0.0781,0.3264
fullmean,10350,0.4471,0.003,0.0182,0.007,0.1365,0.095,0.2933
