target,unsteered,k4,L24_a2,L24_a2_judge_ok,L24_a2_n_fams_gain_ge_.20,L24_a4,L24_a4_judge_ok,L24_a4_n_fams_gain_ge_.20,L26_a2,L26_a2_judge_ok,L26_a2_n_fams_gain_ge_.20,L26_a4,L26_a4_judge_ok,L26_a4_n_fams_gain_ge_.20
nat,0.4268,0.7504,0.5977,0.8582,21,0.5736,0.8109,19,0.5709,0.8455,21,0.5018,0.7691,15
alt,0.1405,0.6851,0.4918,0.8295,37,0.4905,0.8036,37,0.4677,0.8182,39,0.4464,0.7532,33
both,0.2836,0.7178,0.5448,0.8439,38,0.532,0.8073,32,0.5193,0.8318,36,0.4741,0.7611,28
