alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.20194,0.29802,0.0,0.0,19.28323,28.429,0.0,0.0
0.0,heldout,0.22559,0.30176,0.0,0.0,21.54548,28.81718,0.0,0.0
0.0,all,0.20674,0.29878,0.0,0.0,19.74223,28.50776,0.0,0.0
0.5,train,0.27227,0.33344,0.07033,0.03542,26.26188,32.13858,6.97865,3.70958
0.5,heldout,0.29403,0.33598,0.06844,0.03422,28.51821,32.56777,6.97274,3.75059
0.5,all,0.27668,0.33396,0.06994,0.03518,26.71969,32.22566,6.97745,3.7179
1.0,train,0.3388,0.35504,0.13686,0.05702,32.45608,34.00927,13.17285,5.58028
1.0,heldout,0.35345,0.35928,0.12786,0.05752,34.21365,34.7531,12.66817,5.93591
1.0,all,0.34177,0.3559,0.13503,0.05712,32.81269,34.16019,13.07046,5.65243
2.0,train,0.32436,0.34827,0.12242,0.05025,30.35715,32.58751,11.07392,4.15851
2.0,heldout,0.34188,0.35453,0.11629,0.05277,32.45763,33.61817,10.91215,4.80099
2.0,all,0.32792,0.34954,0.12117,0.05076,30.78333,32.79663,11.0411,4.28887
4.0,train,0.28765,0.33297,0.08571,0.03495,26.46875,30.62603,7.18552,2.19704
4.0,heldout,0.3085,0.33944,0.08291,0.03767,28.91314,31.77243,7.36766,2.95525
4.0,all,0.29188,0.33428,0.08514,0.0355,26.96471,30.85864,7.22248,2.35088
