task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.09704,0.15927,0.13744,0.09536,0.0,0.03897,0.04944,0.04432,0.03677,0.0,10.16234,15.45869,12.92942,8.67346,0.0,4.66677,4.79769,3.85919,2.88092
adjective_to_noun,train,0.0,0.07686,0.13979,0.13825,0.09562,0.0,0.03863,0.06874,0.07594,0.0549,0.0,8.4924,15.03789,14.09498,9.33594,0.0,4.88593,8.15891,8.09229,5.42805
ag_news,heldout,0.0,0.03764,0.1457,0.15079,0.12456,0.0,0.0245,0.07347,0.07357,0.0649,0.0,3.72988,14.12297,13.91137,10.48382,0.0,2.6416,7.64997,7.02696,5.20734
agent_noun_to_verb,train,0.0,0.08765,0.15748,0.14414,0.10154,0.0,0.04534,0.07161,0.07166,0.04823,0.0,9.34003,16.31873,13.92279,9.238,0.0,5.30942,7.93211,6.84505,3.97967
animal_class,train,0.0,0.076,0.15557,0.14768,0.11302,0.0,0.0308,0.06331,0.06224,0.04648,0.0,7.45882,15.35027,13.80308,9.70564,0.0,3.25538,6.665,5.76633,3.39169
animal_plant_object,train,0.0,0.04657,0.13014,0.11377,0.08213,0.0,0.03068,0.06757,0.06244,0.04744,0.0,4.78952,12.92177,10.70823,7.23393,0.0,3.36705,7.01883,5.83279,3.86108
antonym,train,0.0,0.04703,0.11049,0.11764,0.10806,0.0,0.03197,0.06041,0.04964,0.03743,0.0,5.1927,12.06097,11.84753,10.73093,0.0,3.75418,7.12213,5.21097,3.85875
article_choice,train,0.0,0.03197,0.04855,0.03186,0.01128,0.0,0.02384,0.03882,0.04061,0.03573,0.0,2.89481,4.34396,2.46325,0.42119,0.0,2.0575,3.32892,3.18856,2.63696
capitalize,train,0.0,0.05642,0.11409,0.10441,0.06199,0.0,0.03838,0.06636,0.05892,0.04184,0.0,5.87897,11.40377,9.47081,5.13935,0.0,4.26708,6.87561,5.01803,3.00518
capitalize_first_letter,train,0.0,0.04252,0.06069,0.0427,0.00948,0.0,0.01996,0.03562,0.0385,0.03109,0.0,3.91475,5.52994,3.49792,0.22077,0.0,1.71733,3.08346,3.01331,2.14901
