layer,train_accuracy,test_accuracy,train_log_loss,test_log_loss
0,1.0,0.5171480144404332,0.0015001302056485847,0.7978958657630599
1,1.0,0.5631768953068592,0.0015415845755754867,0.8691529244053631
2,1.0,0.5361010830324909,0.0015310050501966307,0.8509498218414924
3,1.0,0.555956678700361,0.0015635851018033571,0.8531294746127699
4,1.0,0.5451263537906137,0.0015108384690195164,0.8712992542575987
5,1.0,0.6326714801444043,0.0015002811047440197,0.6897226323518835
6,1.0,0.766245487364621,0.0014296176288886005,0.4982433979775124
7,1.0,0.8492779783393501,0.001342124350350741,0.3703002856570072
8,1.0,0.8880866425992779,0.0012305804381565137,0.27333081828466355
9,1.0,0.9151624548736462,0.0012355344442480983,0.2264455814710727
10,1.0,0.9259927797833934,0.0012176358727161813,0.1937150566147008
11,1.0,0.9648014440433214,0.0011814993995777562,0.13751518140987987
12,1.0,0.9765342960288809,0.001196050943608927,0.11763000103946308
13,1.0,0.9747292418772563,0.0011957117725366281,0.09717902063588371
14,1.0,0.9810469314079422,0.0011814069562685679,0.09860860200858446
15,1.0,0.98014440433213,0.0011992059700106172,0.11093754192867193
16,1.0,0.9774368231046932,0.0012209790032205272,0.12203988781706807
17,1.0,0.9720216606498195,0.0012227530814932985,0.12951426113926467
18,1.0,0.9675090252707581,0.001258592616342059,0.14043427594846927
19,1.0,0.9638989169675091,0.0012875289589336539,0.15336652367864026
20,1.0,0.9675090252707581,0.0012899744608559148,0.15583002499947168
21,1.0,0.9566787003610109,0.001292760016671389,0.16997390986632144
22,1.0,0.9413357400722022,0.001308267549325116,0.1915704893839967
23,1.0,0.9395306859205776,0.0013081757746748871,0.20266241664853962
24,1.0,0.9332129963898917,0.0013145185621822163,0.20954943761674694
25,1.0,0.9323104693140795,0.0013253772085140953,0.21290776304921766
26,1.0,0.9305054151624549,0.0013270069360610773,0.21911412616941042
27,1.0,0.9287003610108303,0.0013241434417247805,0.2243128879650891
28,1.0,0.9223826714801444,0.0013169411243554824,0.23472761983120213
