family,lang,style,k,n,accuracy,style_only,judge_ok,unscorable,ci_lo,ci_hi,label
pt_br_eu,Portuguese,nat,0,45,0.7777777777777778,0.8,0.9777777777777777,0.17777777777777778,0.637304262026367,0.8745544813399436,"Brazilian Portuguese (ônibus, econômico, celular)"
pt_br_eu,Portuguese,nat,4,45,0.8444444444444444,0.9555555555555556,0.8666666666666667,0.044444444444444446,0.712158094887512,0.9225467468867133,"Brazilian Portuguese (ônibus, econômico, celular)"
pt_br_eu,Portuguese,alt,0,45,0.022222222222222223,0.022222222222222223,0.9555555555555556,0.13333333333333333,0.003933497522757505,0.11566946388718813,"European Portuguese (autocarro, económico, telemóvel)"
pt_br_eu,Portuguese,alt,4,45,0.3111111111111111,0.35555555555555557,0.8888888888888888,0.13333333333333333,0.19528525463541907,0.4566507998754897,"European Portuguese (autocarro, económico, telemóvel)"
pt_acordo_eu,Portuguese,nat,0,58,0.7586206896551724,0.8103448275862069,0.9482758620689655,0.10344827586206896,0.6346977437031315,0.8504126027303373,"post-1990 European spelling (ação, ótimo, atual)"
pt_acordo_eu,Portuguese,nat,4,58,0.7068965517241379,0.7413793103448276,0.9655172413793104,0.10344827586206896,0.5798685554332221,0.8082197217135527,"post-1990 European spelling (ação, ótimo, atual)"
pt_acordo_eu,Portuguese,alt,0,58,0.06896551724137931,0.06896551724137931,0.8620689655172413,0.15517241379310345,0.027143807598168326,0.16433894834605045,"pre-1990 European spelling (acção, óptimo, actual)"
pt_acordo_eu,Portuguese,alt,4,58,0.5689655172413793,0.6206896551724138,0.9137931034482759,0.10344827586206896,0.44117876705727427,0.6881839919916508,"pre-1990 European spelling (acção, óptimo, actual)"
pt_acordo_br,Portuguese,nat,0,45,0.5555555555555556,0.5777777777777777,0.8888888888888888,0.26666666666666666,0.4117588341636533,0.6906129145096089,"post-1990 Brazilian spelling (ideia, voo, frequente)"
pt_acordo_br,Portuguese,nat,4,45,0.5555555555555556,0.6,0.8888888888888888,0.3333333333333333,0.4117588341636533,0.6906129145096089,"post-1990 Brazilian spelling (ideia, voo, frequente)"
pt_acordo_br,Portuguese,alt,0,45,0.13333333333333333,0.13333333333333333,0.9555555555555556,0.2,0.0625706363434968,0.2617758224129731,"pre-1990 Brazilian spelling (idéia, vôo, freqüente)"
pt_acordo_br,Portuguese,alt,4,45,0.08888888888888889,0.08888888888888889,0.9111111111111111,0.37777777777777777,0.035110548134203154,0.20733851168365702,"pre-1990 Brazilian spelling (idéia, vôo, freqüente)"
es_rae2010,Spanish,nat,0,60,0.45,0.5166666666666667,0.85,0.4,0.33093453853760824,0.575082854510185,"post-2010 RAE (solo, este, guion)"
es_rae2010,Spanish,nat,4,60,0.65,0.7666666666666667,0.8666666666666667,0.13333333333333333,0.5236238380947751,0.7583239827618451,"post-2010 RAE (solo, este, guion)"
es_rae2010,Spanish,alt,0,60,0.1,0.1,0.8333333333333334,0.3333333333333333,0.04664219945723587,0.20149694492511044,"pre-2010 accents (sólo, éste, guión)"
es_rae2010,Spanish,alt,4,60,0.3,0.3333333333333333,0.8666666666666667,0.23333333333333334,0.19898010252726892,0.42508946966390415,"pre-2010 accents (sólo, éste, guión)"
fr_1990,French,nat,0,49,0.5510204081632653,0.6122448979591837,0.8571428571428571,0.3469387755102041,0.41314866799678107,0.6814737507036366,"traditional spelling (coût, connaître, oignon)"
fr_1990,French,nat,4,49,0.5102040816326531,0.6326530612244898,0.8367346938775511,0.32653061224489793,0.37467331533409215,0.6442511684059913,"traditional spelling (coût, connaître, oignon)"
fr_1990,French,alt,0,49,0.02040816326530612,0.02040816326530612,0.8571428571428571,0.30612244897959184,0.003611579538530696,0.10693768467754147,"1990 rectifications (cout, connaitre, ognon)"
fr_1990,French,alt,4,49,0.08163265306122448,0.1836734693877551,0.6938775510204082,0.30612244897959184,0.032202296241712225,0.19189387041486136,"1990 rectifications (cout, connaitre, ognon)"
de_1996,German,nat,0,50,0.42,0.54,0.62,0.46,0.2937479723456693,0.5576680331222217,"reformed spelling (dass, muss, Fluss)"
de_1996,German,nat,4,50,0.64,0.76,0.8,0.24,0.5014076201030195,0.7586143703281711,"reformed spelling (dass, muss, Fluss)"
de_1996,German,alt,0,50,0.0,0.0,0.66,0.4,0.0,0.07135003417431873,"pre-1996 spelling (daß, muß, Fluß)"
de_1996,German,alt,4,50,0.3,0.38,0.7,0.24,0.1910338908960936,0.4375061227736339,"pre-1996 spelling (daß, muß, Fluß)"
zh_simp_trad,Chinese,nat,0,60,0.2833333333333333,0.95,0.2833333333333333,0.03333333333333333,0.1850667860430859,0.40767525049735165,"Simplified Chinese (这个, 软件, 说)"
zh_simp_trad,Chinese,nat,4,60,0.9166666666666666,0.95,0.95,0.05,0.8193083153188752,0.9638800759495141,"Simplified Chinese (这个, 软件, 说)"
zh_simp_trad,Chinese,alt,0,60,0.0,0.0,0.3,0.016666666666666666,-6.938893903907228e-18,0.06017393047793289,"Traditional Chinese (這個, 軟體, 說)"
zh_simp_trad,Chinese,alt,4,60,0.8333333333333334,0.9833333333333333,0.85,0.016666666666666666,0.7196814850279217,0.9068692279867897,"Traditional Chinese (這個, 軟體, 說)"
zh_tw_hk,Chinese,nat,0,46,0.2608695652173913,0.32608695652173914,0.8260869565217391,0.43478260869565216,0.15600735194449333,0.402594298082793,"Taiwan Traditional (裡, 著, 軟體)"
zh_tw_hk,Chinese,nat,4,46,0.41304347826086957,0.41304347826086957,0.8478260869565217,0.45652173913043476,0.2828839329710102,0.5566075761298211,"Taiwan Traditional (裡, 著, 軟體)"
zh_tw_hk,Chinese,alt,0,46,0.17391304347826086,0.32608695652173914,0.717391304347826,0.30434782608695654,0.09085683568889254,0.3072363234392253,"Hong Kong Traditional (裏, 着, 軟件)"
zh_tw_hk,Chinese,alt,4,46,0.30434782608695654,0.34782608695652173,0.8695652173913043,0.2826086956521739,0.19079670807448904,0.4480591874023817,"Hong Kong Traditional (裏, 着, 軟件)"
