icl_example_index,token_role,layer,activation_k,fv_k,feature_dim,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
1,pre_label_token,0,16,16,32,2600,1170,1878.5013427734375,1922.1085205078125,14.663477897644043,15.1942138671875,0.1967194378376007
1,pre_label_token,1,16,16,32,2600,1170,16.266746520996094,12.83158016204834,0.131520614027977,0.2950582504272461,0.1967194378376007
1,pre_label_token,2,16,16,32,2600,1170,14.990077018737793,13.227718353271484,0.12184145301580429,0.2985122501850128,0.1967194378376007
1,pre_label_token,3,16,16,32,2600,1170,14.302896499633789,13.42552375793457,0.11651821434497833,0.2998788058757782,0.1967194378376007
1,pre_label_token,4,16,16,32,2600,1170,13.796293258666992,14.594823837280273,0.1125970259308815,0.3085698187351227,0.1967194378376007
1,pre_label_token,5,16,16,32,2600,1170,14.16436767578125,14.60684585571289,0.11492879688739777,0.3056788146495819,0.1967194378376007
1,pre_label_token,6,16,16,32,2600,1170,13.784149169921875,14.487751960754395,0.11192533373832703,0.30519551038742065,0.1967194378376007
1,pre_label_token,7,16,16,32,2600,1170,13.70195198059082,14.344539642333984,0.11129830032587051,0.30386602878570557,0.1967194378376007
1,pre_label_token,8,16,16,32,2600,1170,13.545709609985352,14.414634704589844,0.11018984019756317,0.30584028363227844,0.1967194378376007
1,pre_label_token,9,16,16,32,2600,1170,13.571521759033203,14.711451530456543,0.10980594158172607,0.3071967661380768,0.1967194378376007
1,pre_label_token,10,16,16,32,2600,1170,13.509095191955566,14.420137405395508,0.1095544770359993,0.3047732412815094,0.1967194378376007
1,pre_label_token,11,16,16,32,2600,1170,13.356426239013672,14.249261856079102,0.10835661739110947,0.30376774072647095,0.1967194378376007
1,pre_label_token,12,16,16,32,2600,1170,13.103805541992188,14.93466567993164,0.10634307563304901,0.30863964557647705,0.1967194378376007
1,pre_label_token,13,16,16,32,2600,1170,12.888786315917969,16.013303756713867,0.10388816148042679,0.3139605224132538,0.1967194378376007
1,pre_label_token,14,16,16,32,2600,1170,12.68652629852295,16.721691131591797,0.1011897549033165,0.31690168380737305,0.1967194378376007
1,pre_label_token,15,16,16,32,2600,1170,12.729674339294434,16.700870513916016,0.10205461084842682,0.3189610242843628,0.1967194378376007
1,pre_label_token,16,16,16,32,2600,1170,12.861358642578125,16.805986404418945,0.10276465862989426,0.3191457688808441,0.1967194378376007
1,pre_label_token,17,16,16,32,2600,1170,12.957911491394043,16.704612731933594,0.10325242578983307,0.3178463876247406,0.1967194378376007
1,pre_label_token,18,16,16,32,2600,1170,12.904194831848145,16.52280616760254,0.10302247107028961,0.3165517747402191,0.1967194378376007
1,pre_label_token,19,16,16,32,2600,1170,13.0669527053833,16.578439712524414,0.10408603399991989,0.3163951635360718,0.1967194378376007
1,pre_label_token,20,16,16,32,2600,1170,12.899932861328125,17.694120407104492,0.10304202884435654,0.32457593083381653,0.1967194378376007
1,pre_label_token,21,16,16,32,2600,1170,12.637796401977539,17.631513595581055,0.10134328901767731,0.32500970363616943,0.1967194378376007
1,pre_label_token,22,16,16,32,2600,1170,12.65285873413086,17.888317108154297,0.1015770211815834,0.32729923725128174,0.1967194378376007
1,pre_label_token,23,16,16,32,2600,1170,12.57768440246582,17.922191619873047,0.1010679304599762,0.3277258276939392,0.1967194378376007
1,pre_label_token,24,16,16,32,2600,1170,12.546891212463379,17.87543487548828,0.100855253636837,0.327575147151947,0.1967194378376007
