task,origin,lane,n_shots,n_prompts,accuracy,ci_lo,ci_hi
adjective_to_adverb,new,morphology-derivation,0,50,0.0,0.0,0.0714
adjective_to_adverb,new,morphology-derivation,1,50,0.16,0.0834,0.2851
adjective_to_adverb,new,morphology-derivation,2,50,0.58,0.4423,0.7063
adjective_to_adverb,new,morphology-derivation,3,50,0.54,0.404,0.6703
adjective_to_adverb,new,morphology-derivation,4,50,0.62,0.4815,0.7414
adjective_to_adverb,new,morphology-derivation,5,50,0.62,0.4815,0.7414
adjective_to_adverb,new,morphology-derivation,6,50,0.8,0.6696,0.8876
adjective_to_noun,new,morphology_lexical,0,50,0.02,0.0035,0.105
adjective_to_noun,new,morphology_lexical,1,50,0.12,0.0562,0.2381
adjective_to_noun,new,morphology_lexical,2,50,0.3,0.191,0.4375
adjective_to_noun,new,morphology_lexical,3,50,0.3,0.191,0.4375
adjective_to_noun,new,morphology_lexical,4,50,0.24,0.143,0.3741
adjective_to_noun,new,morphology_lexical,5,50,0.36,0.2414,0.4986
adjective_to_noun,new,morphology_lexical,6,50,0.46,0.3297,0.596
adverb_to_adjective,new,morphology-derivation,0,50,0.0,0.0,0.0714
adverb_to_adjective,new,morphology-derivation,1,50,0.06,0.0206,0.1622
adverb_to_adjective,new,morphology-derivation,2,50,0.16,0.0834,0.2851
adverb_to_adjective,new,morphology-derivation,3,50,0.24,0.143,0.3741
adverb_to_adjective,new,morphology-derivation,4,50,0.28,0.1747,0.4167
adverb_to_adjective,new,morphology-derivation,5,50,0.18,0.0977,0.308
adverb_to_adjective,new,morphology-derivation,6,50,0.26,0.1587,0.3955
ag_news,original_abstractive,,0,50,0.0,0.0,0.0714
ag_news,original_abstractive,,1,50,0.1,0.0435,0.2136
ag_news,original_abstractive,,2,50,0.28,0.1747,0.4167
ag_news,original_abstractive,,3,50,0.36,0.2414,0.4986
ag_news,original_abstractive,,4,50,0.28,0.1747,0.4167
ag_news,original_abstractive,,5,50,0.42,0.2937,0.5577
ag_news,original_abstractive,,6,50,0.5,0.3664,0.6336
agent_noun,new,morphology-derivation,0,50,0.02,0.0035,0.105
agent_noun,new,morphology-derivation,1,50,0.02,0.0035,0.105
agent_noun,new,morphology-derivation,2,50,0.16,0.0834,0.2851
agent_noun,new,morphology-derivation,3,50,0.28,0.1747,0.4167
agent_noun,new,morphology-derivation,4,50,0.42,0.2937,0.5577
agent_noun,new,morphology-derivation,5,50,0.36,0.2414,0.4986
agent_noun,new,morphology-derivation,6,50,0.42,0.2937,0.5577
agent_noun_to_verb,new,morphology-derivation,0,50,0.0,0.0,0.0714
agent_noun_to_verb,new,morphology-derivation,1,50,0.14,0.0695,0.2619
agent_noun_to_verb,new,morphology-derivation,2,50,0.32,0.2076,0.4581
