variant,bucket,n_points,mean_acc,sem_acc
L24,[0.25,0.35),30,0.1938,0.0411
L24,[0.35,0.45),210,0.4264,0.0247
L24,[0.45,0.55),326,0.6775,0.0154
L24,[0.55,0.65),106,0.8040,0.0172
maxL9-20,[0.25,0.35),40,0.0018,0.0010
maxL9-20,[0.35,0.45),282,0.5264,0.0216
maxL9-20,[0.45,0.55),342,0.7220,0.0118
maxL9-20,[0.55,0.65),8,0.7508,0.0279
meanL9-20,[0.15,0.25),1,0.0000,0.0000
meanL9-20,[0.25,0.35),233,0.4826,0.0257
meanL9-20,[0.35,0.45),422,0.6618,0.0136
meanL9-20,[0.45,0.55),16,0.6092,0.0405
