task,group,cos_to_grandmean,fv_norm,within_task_rho,presence_n0,presence_n1,presence_n2,presence_n3,presence_n4,presence_n5,presence_n6,acc_n0,acc_n1,acc_n2,acc_n3,acc_n4,acc_n5,acc_n6
adjective_to_adverb,train,0.7929,86.13,0.9910,0.3587,0.4105,0.4257,0.4309,0.4325,0.4332,0.4334,0.0000,0.5933,0.7733,0.8667,0.9000,0.9267,0.9267
adjective_to_noun,train,0.8748,86.15,1.0000,0.3657,0.4140,0.4308,0.4350,0.4353,0.4351,0.4353,0.0000,0.2733,0.4533,0.6067,0.6533,0.6400,0.6867
adverb_to_adjective,train,0.8678,88.96,0.8571,0.3846,0.4296,0.4420,0.4451,0.4455,0.4459,0.4450,0.0133,0.7600,0.8400,0.9067,0.8733,0.9400,0.9333
ag_news,train,0.6949,91.13,0.8571,0.3213,0.3702,0.3850,0.3871,0.3848,0.3845,0.3829,0.0000,0.4933,0.5733,0.5400,0.5267,0.5133,0.5333
agent_noun_to_verb,train,0.8623,90.57,0.8108,0.3636,0.4075,0.4238,0.4276,0.4276,0.4279,0.4273,0.0000,0.4600,0.7267,0.8333,0.8400,0.9267,0.9267
animal_class,train,0.8021,97.28,1.0000,0.3460,0.3883,0.4078,0.4168,0.4193,0.4215,0.4234,0.0000,0.4600,0.5533,0.7267,0.7533,0.8200,0.8533
animal_plant_object,train,0.8128,103.91,0.9643,0.3677,0.3919,0.4107,0.4188,0.4191,0.4206,0.4193,0.0000,0.2000,0.3667,0.5867,0.6800,0.8133,0.8400
antonym,train,0.8597,75.03,0.7857,0.3544,0.4004,0.4175,0.4248,0.4293,0.4323,0.4333,0.0133,0.4800,0.5400,0.5467,0.5733,0.5267,0.5933
article_choice,train,0.8347,89.18,0.8214,0.3241,0.3396,0.3544,0.3641,0.3659,0.3664,0.3656,0.0000,0.0933,0.6267,0.7867,0.7600,0.8667,0.8800
capitalize,train,0.8597,80.59,0.7207,0.3622,0.3954,0.4069,0.4088,0.4090,0.4092,0.4083,0.0000,0.7600,0.9467,0.9733,0.9800,0.9667,0.9800
capitalize_first_letter,train,0.8134,82.20,1.0000,0.2886,0.3251,0.3480,0.3597,0.3642,0.3685,0.3699,0.0000,0.4000,0.8400,0.9333,0.9600,0.9733,0.9933
city-country,train,0.7994,81.78,0.1982,0.3322,0.3711,0.3880,0.3950,0.3965,0.3975,0.3982,0.0000,0.8000,0.8733,0.8467,0.7733,0.8333,0.8000
commonsense_qa,train,0.7944,119.59,0.7500,0.3959,0.4080,0.4143,0.4142,0.4117,0.4101,0.4093,0.0133,0.6333,0.7533,0.7000,0.6467,0.6600,0.7200
compound_first,train,0.8682,87.76,0.9643,0.3757,0.4164,0.4347,0.4405,0.4425,0.4444,0.4439,0.0000,0.2667,0.5400,0.5800,0.6333,0.6933,0.7867
compound_head,train,0.8429,89.27,0.9643,0.3633,0.4063,0.4288,0.4393,0.4444,0.4473,0.4482,0.0000,0.2933,0.6733,0.7467,0.7667,0.8533,0.8400
concrete_abstract,train,0.7366,112.43,0.8929,0.3296,0.3426,0.3581,0.3660,0.3685,0.3716,0.3700,0.0000,0.0267,0.5133,0.7267,0.8867,0.8800,0.9267
contains_letter_e,heldout,0.7214,120.82,0.8929,0.3392,0.3549,0.3618,0.3669,0.3680,0.3695,0.3701,0.0000,0.1733,0.3600,0.4600,0.4067,0.4467,0.4933
count_digits,heldout,0.7533,89.81,-0.2143,0.2522,0.2888,0.2771,0.2734,0.2696,0.2681,0.2688,0.0067,0.2333,0.5267,0.5800,0.7067,0.7133,0.7667
count_words,train,0.8132,94.23,0.9643,0.3503,0.3641,0.3664,0.3713,0.3720,0.3738,0.3732,0.0000,0.1400,0.2867,0.3933,0.4933,0.5667,0.6333
country-capital,train,0.7246,71.89,0.1982,0.2720,0.3240,0.3485,0.3600,0.3669,0.3713,0.3739,0.0400,0.8333,0.8733,0.8733,0.7867,0.8133,0.8400
day_after_textual_date,train,0.7218,101.91,0.8469,0.2805,0.3383,0.3396,0.3400,0.3395,0.3417,0.3418,0.0000,0.4467,0.9200,0.9867,0.9733,0.9867,0.9800
double_no_carry,heldout,0.7505,94.53,0.2523,0.2952,0.3309,0.3207,0.3212,0.3177,0.3195,0.3200,0.0067,0.8667,0.9333,0.9200,0.9200,0.8933,0.9000
double_number,train,0.7322,97.76,0.2857,0.2799,0.3076,0.2979,0.2957,0.2933,0.2911,0.2938,0.0067,0.7933,0.8933,0.8533,0.8667,0.8267,0.9200
ends_with_ing,train,0.7342,118.91,0.6429,0.3437,0.3637,0.3677,0.3719,0.3716,0.3714,0.3714,0.0000,0.3733,0.4067,0.5333,0.6133,0.6267,0.6933
english-french,train,0.8283,66.99,0.8469,0.3263,0.3749,0.3938,0.4020,0.4061,0.4084,0.4088,0.0000,0.6133,0.7133,0.7133,0.7333,0.7267,0.7200
