variant,median_within_task_rho,n_positive,n_tasks
L0,-0.8610,1,96
L1,-0.9370,2,96
L2,-0.1166,34,96
L3,0.9328,95,96
L4,-0.4643,11,96
L5,0.9370,95,96
L6,0.9460,95,96
L7,0.9370,95,96
L8,0.8290,85,96
L9,0.7928,80,96
L10,0.6216,75,96
L11,0.3678,66,96
L12,0.7175,75,96
L13,0.4286,62,96
L14,0.8700,82,96
L15,0.8131,81,96
L16,0.8571,92,96
L17,0.8520,91,96
L18,0.7893,83,96
L19,0.8508,90,96
L20,0.8879,94,96
L21,0.8929,94,96
L22,0.8929,93,96
L23,0.8700,89,96
L24,0.8469,83,96
L25,0.8430,79,96
L26,0.6726,69,96
L27,0.5023,67,96
maxL9-20,0.8610,93,96
meanL9-20,0.8469,82,96
