layer,mean_cos_n0,mean_cos_n1,mean_cos_n2,mean_cos_n3,mean_cos_n4,mean_cos_n5,mean_cos_n6
0,0.1790,0.1755,0.1744,0.1733,0.1730,0.1728,0.1726
1,0.2241,0.2186,0.2155,0.2129,0.2118,0.2107,0.2095
2,0.2438,0.2495,0.2485,0.2471,0.2467,0.2464,0.2463
3,0.1622,0.1782,0.1824,0.1843,0.1855,0.1866,0.1870
4,0.1906,0.1985,0.1977,0.1941,0.1904,0.1875,0.1851
5,0.1620,0.2019,0.2264,0.2365,0.2421,0.2459,0.2484
6,0.1952,0.2261,0.2496,0.2590,0.2646,0.2681,0.2704
7,0.2093,0.2419,0.2637,0.2729,0.2778,0.2813,0.2837
8,0.2210,0.2197,0.2353,0.2418,0.2448,0.2470,0.2478
9,0.2692,0.2861,0.3034,0.3092,0.3104,0.3115,0.3118
10,0.3000,0.3051,0.3200,0.3228,0.3221,0.3214,0.3203
11,0.3116,0.3279,0.3303,0.3278,0.3268,0.3265,0.3257
12,0.3131,0.3230,0.3335,0.3392,0.3422,0.3436,0.3440
13,0.3080,0.3185,0.3241,0.3236,0.3228,0.3236,0.3240
14,0.3215,0.3673,0.3803,0.3865,0.3885,0.3901,0.3911
15,0.3254,0.3570,0.3668,0.3725,0.3742,0.3761,0.3768
16,0.3217,0.3681,0.3778,0.3848,0.3880,0.3908,0.3921
17,0.3423,0.4033,0.4164,0.4242,0.4264,0.4288,0.4304
18,0.3507,0.4122,0.4229,0.4311,0.4335,0.4357,0.4365
19,0.3459,0.4238,0.4409,0.4502,0.4530,0.4551,0.4567
20,0.3429,0.4262,0.4513,0.4626,0.4675,0.4708,0.4730
21,0.3441,0.4188,0.4445,0.4554,0.4596,0.4624,0.4653
22,0.3527,0.4327,0.4586,0.4721,0.4777,0.4817,0.4858
23,0.3721,0.4416,0.4595,0.4694,0.4731,0.4767,0.4806
24,0.4129,0.4675,0.4805,0.4880,0.4908,0.4939,0.4975
25,0.4104,0.4580,0.4707,0.4787,0.4822,0.4856,0.4896
26,0.4382,0.4605,0.4683,0.4730,0.4753,0.4788,0.4817
27,0.0665,0.1190,0.1315,0.1364,0.1380,0.1407,0.1475
