variant,n_shots,spearman_rho,spearman_p,pearson_r,pearson_p
L0,0,0.1562,1.286e-01,-0.0234,8.207e-01
L0,1,0.1546,1.326e-01,0.1410,1.705e-01
L0,2,-0.0392,7.045e-01,0.0122,9.061e-01
L0,3,-0.0798,4.398e-01,-0.0127,9.024e-01
L0,4,-0.1029,3.185e-01,-0.0280,7.866e-01
L0,5,-0.0938,3.633e-01,-0.0434,6.747e-01
L0,6,-0.1140,2.687e-01,-0.0463,6.543e-01
L0,pooled,-0.1065,5.706e-03,-0.0764,4.765e-02
L1,0,0.1185,2.502e-01,0.0103,9.209e-01
L1,1,0.1164,2.588e-01,0.1032,3.170e-01
L1,2,-0.0607,5.569e-01,-0.0286,7.822e-01
L1,3,-0.0979,3.427e-01,-0.0450,6.633e-01
L1,4,-0.1224,2.350e-01,-0.0680,5.103e-01
L1,5,-0.0970,3.474e-01,-0.0598,5.628e-01
L1,6,-0.1069,2.997e-01,-0.0593,5.658e-01
L1,pooled,-0.1658,1.564e-05,-0.1541,6.008e-05
L2,0,0.0851,4.095e-01,-0.0193,8.520e-01
L2,1,0.1287,2.114e-01,0.1179,2.526e-01
L2,2,-0.0694,5.014e-01,-0.0297,7.737e-01
L2,3,-0.1105,2.839e-01,-0.0556,5.907e-01
L2,4,-0.1408,1.711e-01,-0.0888,3.895e-01
L2,5,-0.1254,2.234e-01,-0.0808,4.341e-01
L2,6,-0.1582,1.237e-01,-0.0945,3.597e-01
L2,pooled,-0.0453,2.405e-01,0.0000,9.998e-01
L3,0,0.0809,4.334e-01,0.0213,8.365e-01
L3,1,0.1734,9.104e-02,0.1570,1.267e-01
L3,2,-0.0096,9.264e-01,0.0195,8.505e-01
L3,3,-0.0542,5.998e-01,-0.0112,9.136e-01
L3,4,-0.0883,3.922e-01,-0.0480,6.425e-01
L3,5,-0.0740,4.736e-01,-0.0441,6.698e-01
L3,6,-0.1088,2.914e-01,-0.0587,5.701e-01
L3,pooled,0.1586,3.611e-05,0.2130,2.485e-08
L4,0,0.0385,7.094e-01,-0.0076,9.417e-01
L4,1,0.1509,1.422e-01,0.1334,1.950e-01
L4,2,-0.0259,8.025e-01,-0.0021,9.836e-01
L4,3,-0.0552,5.933e-01,-0.0118,9.091e-01
L4,4,-0.0713,4.901e-01,-0.0288,7.803e-01
L4,5,-0.0524,6.123e-01,-0.0109,9.159e-01
L4,6,-0.0789,4.449e-01,-0.0258,8.028e-01
L4,pooled,-0.0427,2.689e-01,-0.0139,7.194e-01
L5,0,0.0663,5.211e-01,-0.0226,8.270e-01
L5,1,0.2768,6.322e-03,0.2429,1.708e-02
L5,2,0.0326,7.526e-01,0.0733,4.779e-01
L5,3,-0.0425,6.813e-01,0.0211,8.381e-01
L5,4,-0.1045,3.109e-01,-0.0498,6.301e-01
L5,5,-0.0869,4.001e-01,-0.0435,6.737e-01
L5,6,-0.1403,1.727e-01,-0.0789,4.448e-01
L5,pooled,0.4091,1.681e-28,0.5054,7.496e-45
L6,0,0.0811,4.322e-01,-0.0150,8.843e-01
L6,1,0.2023,4.811e-02,0.1899,6.381e-02
L6,2,0.0148,8.862e-01,0.0555,5.909e-01
L6,3,-0.0281,7.856e-01,0.0408,6.932e-01
L6,4,-0.0546,5.975e-01,0.0048,9.633e-01
L6,5,-0.0305,7.679e-01,0.0189,8.552e-01
L6,6,-0.0744,4.713e-01,-0.0095,9.266e-01
L6,pooled,0.3954,1.443e-26,0.4881,1.600e-41
L7,0,0.0260,8.016e-01,-0.0284,7.838e-01
L7,1,0.1478,1.508e-01,0.1466,1.539e-01
L7,2,-0.0275,7.906e-01,0.0273,7.921e-01
L7,3,-0.0680,5.104e-01,-0.0029,9.773e-01
L7,4,-0.1012,3.264e-01,-0.0449,6.643e-01
L7,5,-0.0760,4.616e-01,-0.0323,7.546e-01
L7,6,-0.1259,2.215e-01,-0.0728,4.806e-01
L7,pooled,0.3335,6.460e-19,0.4311,8.524e-32
L8,0,-0.0096,9.261e-01,-0.0616,5.513e-01
L8,1,0.2029,4.737e-02,0.1954,5.637e-02
L8,2,0.0020,9.848e-01,0.0344,7.394e-01
L8,3,-0.0306,7.676e-01,-0.0021,9.837e-01
L8,4,-0.0785,4.473e-01,-0.0521,6.139e-01
L8,5,-0.0475,6.461e-01,-0.0270,7.937e-01
L8,6,-0.0856,4.072e-01,-0.0633,5.403e-01
L8,pooled,0.1602,3.035e-05,0.2011,1.461e-07
L9,0,-0.0390,7.057e-01,-0.1173,2.551e-01
L9,1,0.1279,2.144e-01,0.1111,2.813e-01
L9,2,-0.0573,5.794e-01,-0.0331,7.489e-01
L9,3,-0.0760,4.616e-01,-0.0445,6.670e-01
L9,4,-0.1129,2.735e-01,-0.0840,4.158e-01
L9,5,-0.0786,4.464e-01,-0.0562,5.868e-01
L9,6,-0.1269,2.178e-01,-0.0947,3.585e-01
L9,pooled,0.1692,1.038e-05,0.2277,2.350e-09
L10,0,0.0298,7.732e-01,-0.0895,3.858e-01
L10,1,0.1307,2.043e-01,0.1118,2.783e-01
L10,2,-0.0839,4.165e-01,-0.0565,5.847e-01
L10,3,-0.1267,2.187e-01,-0.0905,3.803e-01
L10,4,-0.1679,1.019e-01,-0.1439,1.620e-01
L10,5,-0.1438,1.622e-01,-0.1233,2.312e-01
L10,6,-0.1926,6.013e-02,-0.1668,1.044e-01
L10,pooled,0.0527,1.728e-01,0.0965,1.237e-02
L11,0,0.0117,9.103e-01,-0.0625,5.450e-01
L11,1,0.1317,2.010e-01,0.1172,2.554e-01
L11,2,-0.0633,5.403e-01,-0.0329,7.506e-01
L11,3,-0.0829,4.221e-01,-0.0659,5.237e-01
L11,4,-0.1327,1.974e-01,-0.1152,2.638e-01
L11,5,-0.1150,2.643e-01,-0.0999,3.326e-01
L11,6,-0.1598,1.199e-01,-0.1382,1.795e-01
L11,pooled,0.0205,5.961e-01,0.0503,1.930e-01
L12,0,0.0193,8.522e-01,-0.0784,4.475e-01
L12,1,0.0986,3.390e-01,0.0725,4.828e-01
L12,2,-0.1004,3.306e-01,-0.0792,4.432e-01
L12,3,-0.1614,1.161e-01,-0.1208,2.411e-01
L12,4,-0.2088,4.117e-02,-0.1786,8.172e-02
L12,5,-0.1955,5.631e-02,-0.1572,1.261e-01
L12,6,-0.2474,1.508e-02,-0.1975,5.370e-02
L12,pooled,0.0494,2.006e-01,0.1000,9.479e-03
L13,0,0.0221,8.306e-01,-0.0824,4.250e-01
L13,1,0.0848,4.116e-01,0.0586,5.704e-01
L13,2,-0.1064,3.022e-01,-0.0858,4.060e-01
L13,3,-0.1796,7.996e-02,-0.1407,1.714e-01
L13,4,-0.2612,1.015e-02,-0.2144,3.594e-02
L13,5,-0.2523,1.316e-02,-0.1941,5.816e-02
L13,6,-0.3043,2.575e-03,-0.2412,1.789e-02
L13,pooled,-0.0283,4.641e-01,0.0137,7.232e-01
L14,0,0.0554,5.922e-01,-0.0855,4.077e-01
L14,1,0.1504,1.435e-01,0.1337,1.940e-01
L14,2,-0.0977,3.439e-01,-0.0602,5.604e-01
L14,3,-0.1570,1.266e-01,-0.1177,2.532e-01
L14,4,-0.2247,2.775e-02,-0.1839,7.294e-02
L14,5,-0.2076,4.241e-02,-0.1654,1.074e-01
L14,6,-0.2526,1.304e-02,-0.2094,4.055e-02
L14,pooled,0.2015,1.378e-07,0.2998,2.005e-15
L15,0,0.0834,4.194e-01,-0.0744,4.710e-01
L15,1,0.1216,2.379e-01,0.1109,2.819e-01
L15,2,-0.0891,3.878e-01,-0.0582,5.735e-01
L15,3,-0.1564,1.280e-01,-0.1052,3.076e-01
L15,4,-0.2095,4.049e-02,-0.1704,9.689e-02
L15,5,-0.1916,6.152e-02,-0.1513,1.412e-01
L15,6,-0.2330,2.231e-02,-0.1942,5.794e-02
L15,pooled,0.1356,4.231e-04,0.2127,2.577e-08
L16,0,0.0764,4.592e-01,-0.0616,5.511e-01
L16,1,0.1855,7.041e-02,0.1954,5.640e-02
L16,2,-0.0469,6.499e-01,-0.0167,8.714e-01
L16,3,-0.1166,2.581e-01,-0.0760,4.619e-01
L16,4,-0.1963,5.524e-02,-0.1623,1.142e-01
L16,5,-0.1826,7.490e-02,-0.1456,1.569e-01
L16,6,-0.2336,2.197e-02,-0.1975,5.372e-02
L16,pooled,0.2319,1.169e-09,0.3367,2.857e-19
L17,0,0.0926,3.697e-01,-0.0654,5.264e-01
L17,1,0.1821,7.582e-02,0.1914,6.174e-02
L17,2,-0.0498,6.297e-01,-0.0237,8.185e-01
L17,3,-0.1009,3.281e-01,-0.0816,4.293e-01
L17,4,-0.1623,1.140e-01,-0.1495,1.460e-01
L17,5,-0.1555,1.302e-01,-0.1305,2.050e-01
L17,6,-0.2131,3.715e-02,-0.1794,8.024e-02
L17,pooled,0.2706,9.608e-13,0.3853,3.257e-25
L18,0,0.0936,3.643e-01,-0.0018,9.865e-01
L18,1,0.2046,4.555e-02,0.1902,6.346e-02
L18,2,-0.0798,4.395e-01,-0.0694,5.015e-01
L18,3,-0.1655,1.070e-01,-0.1244,2.274e-01
L18,4,-0.2392,1.892e-02,-0.1983,5.283e-02
L18,5,-0.2209,3.054e-02,-0.1782,8.234e-02
L18,6,-0.2764,6.417e-03,-0.2324,2.271e-02
L18,pooled,0.2290,1.918e-09,0.3406,1.029e-19
L19,0,0.1673,1.032e-01,0.0361,7.269e-01
L19,1,0.3875,9.590e-05,0.4028,4.725e-05
L19,2,0.0081,9.375e-01,0.0528,6.091e-01
L19,3,-0.1121,2.769e-01,-0.0620,5.483e-01
L19,4,-0.2056,4.444e-02,-0.1670,1.040e-01
L19,5,-0.2049,4.523e-02,-0.1580,1.241e-01
L19,6,-0.2700,7.805e-03,-0.2116,3.848e-02
L19,pooled,0.3262,4.023e-18,0.4794,6.473e-40
L20,0,0.2208,3.063e-02,0.0363,7.254e-01
