L,alpha,baseline_alt2nat,baseline_nat2alt,cf_property,cfprop_cue_nat2alt,cuediff_cue_alt2nat,cuediff_cue_nat2alt,cuediff_cue_nat2alt_best,headsum_cue_nat2alt_a1.0,headsum_cue_nat2alt_a2.0,headsum_cue_nat2alt_a4.0,headsum_cue_nat2alt_a8.0,meandiff_cue_alt2nat,meandiff_cue_nat2alt,meandiff_cue_nat2alt_best,property,rawalt_cue_cue_nat2alt_a0.5,rawalt_cue_cue_nat2alt_a1.0,rawalt_cue_cue_nat2alt_a2.0,rawalt_cue_nat2alt_a0.5,rawalt_cue_nat2alt_a1.0,rawalt_cue_nat2alt_a2.0,vector
20,16.0,0.0989,0.0016,em_dash,0.0079,0.9777,0.9009,,0.0373,0.298,0.818,0.9855,,,0.7905,all_caps,0.0079,0.0158,0.0565,,,,cuediff
12,32.0,0.4848,0.0,num_words,0.0,1.0,0.9795,,0.0393,0.3381,0.9279,1.0,,,0.9291,ampersand,0.0047,0.0,0.0,,,,cuediff
16,16.0,0.1825,0.2094,ordinal_words,0.3164,0.968,0.9652,,0.5351,0.8436,0.9801,0.9868,,,0.9048,contractions,0.1795,0.2445,0.3042,,,,cuediff
8,16.0,0.0304,0.0,oxford_comma,0.0051,,,0.4096,0.0065,0.0303,0.3932,0.5142,0.7857,0.6522,,curly_quotes,,,,0.0063,0.0,0.0079,meandiff
16,32.0,0.2715,0.0,percent_sign,0.0016,1.0,0.9906,,0.0238,0.3721,0.7642,0.7701,,,0.4279,double_space,0.008,0.012,0.0978,,,,cuediff
20,32.0,0.0182,0.0,quote_punct,0.0588,1.0,0.9757,,0.1887,0.8447,0.878,0.9675,,,0.8172,em_dash,0.0,0.0461,0.0355,,,,cuediff
16,32.0,0.1814,0.1667,sentence_caps,nan,1.0,1.0,,0.3182,0.7908,1.0,1.0,,,0.3,num_words,0.1346,0.1584,0.2308,,,,cuediff
16,16.0,0.0143,0.6034,us_uk,0.5938,0.7609,1.0,,0.6923,0.7907,0.9735,0.992,,,0.9474,ordinal_words,0.619,0.5263,0.7018,,,,cuediff
16,16.0,0.3646,0.1304,all_caps,nan,1.0,0.9964,,0.4673,0.8041,0.955,1.0,,,1.0,oxford_comma,0.2108,0.2367,0.3467,,,,cuediff
6,16.0,0.1449,0.0764,ampersand,0.0619,1.0,1.0,,0.1884,0.5121,1.0,1.0,,,1.0,percent_sign,0.0547,0.0556,0.0723,,,,cuediff
20,16.0,0.2612,0.0114,contractions,0.0084,0.7427,1.0,,0.169,0.6786,0.9159,0.9794,,,0.8098,quote_punct,0.0219,0.1127,0.3169,,,,cuediff
10,16.0,0.3294,0.0034,curly_quotes,0.0017,0.8909,0.9895,,0.3007,0.7186,0.9628,0.8981,,,0.998,sentence_caps,0.0067,0.0017,0.0299,,,,cuediff
20,32.0,0.2605,0.0248,double_space,0.037,0.7123,0.9153,,0.1379,0.3243,0.8056,0.9541,,,0.8929,us_uk,0.034,0.032,0.0619,,,,cuediff
