task,group,icl_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
ag_news,train,1,0.636001,4.15936,-11.0617,-7.18974,27.6722,4.78096,7.99994,8.3142,11.2646,-0.812949
ag_news,train,2,4.25372,7.29433,-6.97504,-12.7931,25.8569,8.69696,12.8151,5.15632,15.4043,-1.59886
ag_news,train,3,5.80891,10.7758,-3.26652,-15.024,23.9921,11.3195,16.5318,1.60722,17.0307,-2.53005
ag_news,train,4,6.47264,11.4824,-2.08112,-15.6563,23.0065,11.7276,17.2071,0.403547,17.8253,-2.6613
ag_news,train,5,6.77966,12.1818,-1.45542,-15.8675,22.8619,11.8868,17.4289,-0.236078,18.2523,-2.74687
ag_news,train,6,6.98882,12.8467,-0.487927,-16.351,22.7578,12.8879,18.6957,-0.70408,17.7823,-3.58012
ag_news,train,7,7.49276,13.5525,0.757087,-16.6917,22.5926,13.1437,19.1926,-1.0299,18.162,-3.93094
ag_news,train,8,7.58636,13.9605,1.1104,-16.6131,22.4149,13.4728,19.5642,-1.26269,17.6775,-4.03605
ag_news,train,9,7.96323,13.5376,1.45162,-17.1423,21.7796,12.7146,18.6037,-1.33897,18.904,-3.65646
ag_news,train,10,7.73051,13.7958,1.35038,-16.6949,21.9642,13.2142,18.9349,-1.26998,18.1058,-3.63101
capitalize_last_letter,train,1,10.4165,-7.78668,-13.2826,3.40448,18.9246,-4.85805,-5.317,7.43896,2.45325,2.47089
capitalize_last_letter,train,2,20.3313,-11.7843,-8.47675,7.74319,7.9882,-5.71972,0.115289,2.45531,0.672277,1.23821
capitalize_last_letter,train,3,24.1705,-11.1407,-5.2318,9.70518,0.631911,-6.3817,2.69261,-4.36487,0.0507709,-0.694805
capitalize_last_letter,train,4,26.0417,-10.1138,-2.7991,10.1033,-3.01204,-5.79435,3.46446,-7.38622,0.405812,-1.81502
capitalize_last_letter,train,5,26.2651,-10.2651,-2.6986,9.86501,-3.07662,-5.29517,3.46231,-8.60276,0.818536,-2.07537
capitalize_last_letter,train,6,26.6787,-10.0024,-2.23431,10.0115,-4.14902,-4.84622,4.07536,-9.97459,1.11661,-2.44529
capitalize_last_letter,train,7,26.647,-9.18985,-1.23054,9.41107,-4.39887,-4.66261,3.71304,-10.196,1.37376,-2.59862
capitalize_last_letter,train,8,27.3101,-9.56555,-1.22298,9.4338,-4.66868,-4.55022,4.07057,-11.0592,1.54339,-2.96984
capitalize_last_letter,train,9,27.6074,-8.59392,0.177823,8.92469,-4.65184,-4.45011,3.55998,-11.7259,1.80414,-3.13561
capitalize_last_letter,train,10,27.1228,-8.91698,-0.111337,8.83168,-4.70762,-4.03057,3.8445,-11.6406,1.95056,-3.16449
capitalize_second_letter,train,1,9.33851,-8.80947,-12.1991,2.06105,18.5644,-4.66572,-4.51157,8.12559,2.63383,2.54113
capitalize_second_letter,train,2,16.7083,-11.8012,-8.09363,5.48639,9.22281,-4.56421,-0.527481,3.8494,1.27242,1.87778
capitalize_second_letter,train,3,21.0469,-11.0899,-4.20976,7.7075,2.15969,-5.68952,1.48792,-2.31743,0.729386,0.247767
capitalize_second_letter,train,4,23.5511,-10.9005,-2.75133,8.84936,-0.986354,-5.57962,2.22271,-5.58626,0.870492,-0.88574
capitalize_second_letter,train,5,24.3736,-10.2094,-1.44089,8.78714,-2.63798,-5.26257,2.75608,-7.27053,1.22308,-1.36986
capitalize_second_letter,train,6,24.6597,-10.2488,-1.79534,8.71457,-2.71965,-4.65353,2.74916,-8.21287,1.54773,-1.51776
capitalize_second_letter,train,7,25.4604,-9.66658,-0.649671,8.6056,-3.24254,-4.7589,2.93298,-9.28527,1.80973,-2.00373
capitalize_second_letter,train,8,25.5606,-9.86287,-0.509383,8.39416,-3.87843,-4.06229,3.03224,-9.48014,1.81044,-1.93286
capitalize_second_letter,train,9,25.8341,-9.19143,0.466367,8.04979,-4.00113,-3.99151,2.71652,-10.1293,2.08173,-2.20602
capitalize_second_letter,train,10,25.9236,-9.67935,0.0154271,8.14653,-4.09827,-3.94164,3.25341,-10.6204,2.28042,-2.42848
commonsense_qa,train,1,16.7846,-2.8965,-5.54878,-7.85298,11.8409,11.2027,-17.1047,7.8766,-2.63101,5.52936
commonsense_qa,train,2,24.4947,-0.448715,3.00176,-16.1872,-0.377609,23.8878,-22.9897,4.23632,-4.90503,6.65413
commonsense_qa,train,3,26.4226,0.0566866,5.37607,-18.2518,-2.73787,26.2204,-23.4177,2.29189,-4.64165,6.06115
commonsense_qa,train,4,28.237,0.122914,7.37343,-19.5391,-4.91399,28.4464,-24.0148,0.695595,-4.52042,5.81064
commonsense_qa,train,5,28.9425,0.0824615,8.26707,-20.0933,-5.6105,29.0882,-23.9504,0.0558278,-4.32265,5.7031
commonsense_qa,train,6,28.9767,-0.0804154,8.70301,-20.025,-5.89519,28.8848,-23.3196,-0.448833,-3.9123,5.39228
commonsense_qa,train,7,29.6457,0.0838225,9.41385,-20.6638,-6.73246,30.0831,-23.8736,-0.962966,-3.93239,5.32385
commonsense_qa,train,8,29.4716,0.0439528,9.36043,-20.7282,-6.70447,30.1134,-23.7429,-1.10621,-3.88967,5.26036
commonsense_qa,train,9,29.3639,-0.135761,9.58404,-20.4572,-6.6757,29.444,-23.0978,-1.37124,-3.50171,5.04237
commonsense_qa,train,10,29.7561,0.110057,9.8192,-20.7881,-6.99941,30.3261,-23.58,-1.54306,-3.76062,5.1162
country-capital,train,1,-11.3397,4.12372,-23.0399,-5.36262,3.85095,-4.10398,-13.1755,15.6732,12.0234,-15.1604
country-capital,train,2,-14.1826,2.72323,-20.6429,-5.90181,-6.69588,-2.34774,-11.1575,13.2481,12.981,-18.51
country-capital,train,3,-13.9929,2.52612,-18.7744,-5.27956,-9.82905,-2.41348,-10.0762,10.3659,13.792,-19.8818
country-capital,train,4,-13.8524,2.33354,-17.9181,-5.32298,-10.9702,-2.13343,-9.60758,8.95363,14.5248,-20.388
country-capital,train,5,-13.3739,1.76067,-17.8839,-5.46504,-10.8417,-2.23667,-9.39764,8.47619,15.0278,-20.8545
country-capital,train,6,-13.2813,1.57787,-17.6102,-5.62037,-11.3407,-1.97355,-9.01757,7.90316,15.0842,-21.4119
country-capital,train,7,-13.2191,1.45065,-16.966,-5.61158,-11.934,-1.58021,-8.72531,7.42746,15.4571,-21.7894
